LID,Glottocode,Language,WordOrderAPLex,WordOrderAPVLexFlexible,VFinalLex,VFinalOrFreeLex,VInitialLex,VMedialLex,WordOrderAPVBasicLex,WordOrderSVBasicLex,WordOrderAPBasicLex,WordOrderAVBasicLex,WordOrderPVBasicLex,PositionVBasicLex,PositionVBasicLexIsFinal,PositionVBasicLexIsFinalFree,PositionVBasicLexIsInitial,PositionVBasicLexIsMedial,WordOrderAPVSecondaryLex,WordOrderSVSecondaryLex,WordOrderAPSecondaryLex,WordOrderAVSecondaryLex,WordOrderPVSecondaryLex,PositionVSecondaryLex,PositionVSecondaryLexIsFinal,PositionVSecondaryLexIsFinalFree,PositionVSecondaryLexIsInitial,PositionVSecondaryLexIsMedial
34,beja1238,Beja,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
360,sume1241,Sumerian,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
73,elam1244,Elamite,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
108,hurr1240,Hurrian,OA,rigid,final,final_or_free,other,other,OAV,,OA,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
32,basq1248,Basque,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
100,hitt1242,Hittite,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
301,tokh1241,Tocharian,,,,,,,,,,,,,,,,,,,,,,,,,,
79,stan1290,French (colloquial),,free,,final_or_free,other,other,free,,,,,free,,TRUE,FALSE,FALSE,,,,,,,,,,
25,nucl1235,Armenian (Eastern),AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
74,stan1293,English,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
340,russ1263,Russian,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
396,waig1243,Waigali,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
325,osse1243,Ossetic,mixed,flexible,mixed,mixed,mixed,mixed,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE
17,tosk1239,Albanian,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
114,ingu1240,Ingush,mixed,flexible,mixed,mixed,mixed,mixed,V-2,,AO,,,V=2,FALSE,FALSE,FALSE,TRUE,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE
413,khin1240,Xinalug,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
389,udii1243,Udi,,,,,,,,,,,,,,,,,,,,,,,,,,
162,lezg1247,Lezgi,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
145,darg1241,Dargi (Kubachi),AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
155,lakk1252,Lak,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
7,abkh1244,Abkhaz,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
205,nene1249,Nenets (Tundra),AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
107,hung1274,Hungarian,mixed,flexible,mixed,mixed,mixed,mixed,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE
139,komi1268,Komi (Zyrian),mixed,flexible,mixed,mixed,mixed,mixed,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE
