LID,Glottocode,Language,VerbInflectionExponenceType,VerbInflectionMaxCategoryCount,VerbInflectionMaxCategorySansAgreementCount,VerbInflectionMaxFormativeCount,VerbInflectionMaxFormativeSansAgreementCount,VerbHasBipartiteStem,VerbIsSyntacticallyCoherent,VerbSyntacticCoherencyNotes,VerbIsProsodicallyCoherent,VerbProsodicCoherencyNotes,VerbIsPhonologicallyCoherent,VerbPhonologicalCoherencyNotes,VerbIncorporation,VerbHasAnyIncorporation,VerbHasNounIncorporation,VerbHasVerbIncorporation,VerbHasNounOrVerbIncorporation,IsVerbInflectionSurveyComplete,VerbInflectionCategory,VerbInflectionMacrocategory,VerbInflectionMarkerPosition,VerbInflectionMarkerPositionBinned4,VerbInflectionMarkerPositionBinned5,VerbInflectionMarkerHasPreposedExponent,VerbInflectionMarkerHasPostposedExponent,VerbInflectionMarkerHasMultipleExponents,IsVerbAgreementSurveyComplete,VerbAgreementMicrorelation,VerbAgreementMarkerPosition,VerbAgreementMarkerPositionBinned4,VerbAgreementMarkerPositionBinned5,VerbAgreementMarkerHasPreposedExponent,VerbAgreementMarkerHasPostposedExponent,VerbAgreementMarkerHasMultipleExponents
107,hung1274,Hungarian,cumulative,6,4,4,3,FALSE,FALSE,detached particles that are part of the lexeme,FALSE,,,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,Referential,pragmatic,post,post,post,FALSE,TRUE,FALSE,TRUE,A-default,post,post,post,FALSE,TRUE,FALSE
107,hung1274,Hungarian,cumulative,6,4,4,3,FALSE,FALSE,detached particles that are part of the lexeme,FALSE,,,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,Referential,pragmatic,post,post,post,FALSE,TRUE,FALSE,TRUE,U-default,,,,,,
107,hung1274,Hungarian,cumulative,6,4,4,3,FALSE,FALSE,detached particles that are part of the lexeme,FALSE,,,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,TAM,TAM+,post,post,post,FALSE,TRUE,FALSE,TRUE,A-default,post,post,post,FALSE,TRUE,FALSE
107,hung1274,Hungarian,cumulative,6,4,4,3,FALSE,FALSE,detached particles that are part of the lexeme,FALSE,,,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,TAM,TAM+,post,post,post,FALSE,TRUE,FALSE,TRUE,U-default,,,,,,
107,hung1274,Hungarian,cumulative,6,4,4,3,FALSE,FALSE,detached particles that are part of the lexeme,FALSE,,,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,Voice,valence,post,post,post,FALSE,TRUE,FALSE,TRUE,A-default,post,post,post,FALSE,TRUE,FALSE
107,hung1274,Hungarian,cumulative,6,4,4,3,FALSE,FALSE,detached particles that are part of the lexeme,FALSE,,,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,Voice,valence,post,post,post,FALSE,TRUE,FALSE,TRUE,U-default,,,,,,
107,hung1274,Hungarian,cumulative,6,4,4,3,FALSE,FALSE,detached particles that are part of the lexeme,FALSE,,,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,Causative,valence,post,post,post,FALSE,TRUE,FALSE,TRUE,A-default,post,post,post,FALSE,TRUE,FALSE
107,hung1274,Hungarian,cumulative,6,4,4,3,FALSE,FALSE,detached particles that are part of the lexeme,FALSE,,,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,Causative,valence,post,post,post,FALSE,TRUE,FALSE,TRUE,U-default,,,,,,
74,stan1293,English,cumulative,2,1,1,1,FALSE,FALSE,detached particles that are part of the lexeme,FALSE,,,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,TAM,TAM+,post (in),post,post,FALSE,TRUE,FALSE,TRUE,A-default,post,post,post,FALSE,TRUE,FALSE
404,warl1254,Warlpiri,distributive,4,2,6,,FALSE,FALSE,AGR and part of TAM are Wackernagel clitics; rest is flexive on the verb,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,TAM,TAM+,,,,,,,TRUE,A-default,Wackernagel,,,,,
