LID,Glottocode,Language,Macrorelation,LocusOfMarking,LocusOfMarkingBinned5,LocusOfMarkingBinned6
61,lowe1415,Dani (Lower Grand Valley),POSS,H,H,H
61,lowe1415,Dani (Lower Grand Valley),S,H,H,H
63,kumi1248,Diegueño,A,H+D,2,2
63,kumi1248,Diegueño,ATTR,Ø,Ø,Ø
63,kumi1248,Diegueño,P,H+D,2,2
63,kumi1248,Diegueño,POSS,H,H,H
63,kumi1248,Diegueño,S,H+D,2,2
64,dier1241,Diyari,A,D,D,D
64,dier1241,Diyari,ATTR,Ø,Ø,Ø
64,dier1241,Diyari,P,D,D,D
64,dier1241,Diyari,POSS,D,D,D
64,dier1241,Diyari,S,D,D,D
65,dizi1235,Dizi,A,H+D,2,2
65,dizi1235,Dizi,P,D,D,D
65,dizi1235,Dizi,POSS,H+D,2,2
65,dizi1235,Dizi,S,H+D,2,2
66,dhuw1249,Djapu,A,D,D,D
66,dhuw1249,Djapu,ATTR,D,D,D
66,dhuw1249,Djapu,P,D,D,D
66,dhuw1249,Djapu,POSS,D,D,D
66,dhuw1249,Djapu,S,D,D,D
68,djin1251,Djingili,A,H+D,2,2
68,djin1251,Djingili,ATTR,D,D,D
68,djin1251,Djingili,P,H+D,2,2
68,djin1251,Djingili,POSS,H+D,2,2
68,djin1251,Djingili,S,H+D,2,2
69,nubi1251,Nubian (Dongolese),A,H+D,2,2
69,nubi1251,Nubian (Dongolese),P,D,D,D
69,nubi1251,Nubian (Dongolese),POSS,D,D,D
69,nubi1251,Nubian (Dongolese),S,H+D,2,2
71,dyir1250,Dyirbal,A,D,D,D
71,dyir1250,Dyirbal,P,D,D,D
71,dyir1250,Dyirbal,POSS,D,D,D
71,dyir1250,Dyirbal,S,D,D,D
72,east2545,Pomo (Eastern),A,D,D,D
72,east2545,Pomo (Eastern),ATTR,Ø,Ø,Ø
72,east2545,Pomo (Eastern),P,D,D,D
72,east2545,Pomo (Eastern),POSS,D,D,D
72,east2545,Pomo (Eastern),S,h+D,D,2
74,stan1293,English,A,H+d,H,2
