LID,Glottocode,Language,Macrorelation,LocusOfMarking,LocusOfMarkingBinned5,LocusOfMarkingBinned6
211,ngka1235,Ngkalmpw Knwme,POSS,D,D,D
211,ngka1235,Ngkalmpw Knwme,S,H+D,2,2
221,diga1241,Mishmi,A,H,H,H
221,diga1241,Mishmi,ATTR,Ø,Ø,Ø
221,diga1241,Mishmi,P,Ø,Ø,Ø
221,diga1241,Mishmi,POSS,Ø,Ø,Ø
221,diga1241,Mishmi,S,H,H,H
225,lahu1253,Lahu,A,D,D,D
225,lahu1253,Lahu,ATTR,D,D,D
225,lahu1253,Lahu,P,D,D,D
225,lahu1253,Lahu,POSS,D,D,D
225,lahu1253,Lahu,S,D,D,D
232,usar1243,Usarufa,A,H,H,H
232,usar1243,Usarufa,ATTR,Ø,Ø,Ø
232,usar1243,Usarufa,P,Ø,Ø,Ø
232,usar1243,Usarufa,POSS,D,D,D
232,usar1243,Usarufa,S,H,H,H
299,nand1266,Nandi,A,H+D,2,2
299,nand1266,Nandi,ATTR,D,D,D
299,nand1266,Nandi,P,H+D,2,2
299,nand1266,Nandi,POSS,D on H,FloatingorClitic,D on H
299,nand1266,Nandi,S,H+D,2,2
305,izon1238,Ijo,A,Ø,Ø,Ø
305,izon1238,Ijo,P,Ø,Ø,Ø
305,izon1238,Ijo,POSS,Ø,Ø,Ø
305,izon1238,Ijo,S,Ø,Ø,Ø
317,nuuc1236,Nuuchahnulth,A,H,H,H
317,nuuc1236,Nuuchahnulth,P,Ø,Ø,Ø
317,nuuc1236,Nuuchahnulth,POSS,H,H,H
317,nuuc1236,Nuuchahnulth,S,H,H,H
318,nung1290,Nunggubuyu,A,H+D,2,2
318,nung1290,Nunggubuyu,ATTR,D,D,D
318,nung1290,Nunggubuyu,P,H+D,2,2
318,nung1290,Nunggubuyu,POSS,D,D,D
318,nung1290,Nunggubuyu,S,H+D,2,2
319,nyig1240,Nyigina,A,H+D,2,2
319,nyig1240,Nyigina,P,H+D,2,2
319,nyig1240,Nyigina,POSS,D,D,D
319,nyig1240,Nyigina,S,H+D,2,2
323,tega1236,Orig,A,H,H,H
323,tega1236,Orig,ATTR,D,D,D
323,tega1236,Orig,P,Ø,Ø,Ø
323,tega1236,Orig,POSS,D,D,D
323,tega1236,Orig,S,H,H,H
324,east2652,Oromo,A,H+D,2,2
324,east2652,Oromo,ATTR,D,D,D
324,east2652,Oromo,P,Ø,Ø,Ø
324,east2652,Oromo,POSS,F,FloatingorClitic,F
324,east2652,Oromo,S,H+D,2,2
325,osse1243,Ossetic,A,H+D,2,2
325,osse1243,Ossetic,P,H+D,2,2
325,osse1243,Ossetic,POSS,D,D,D
325,osse1243,Ossetic,S,H+D,2,2
326,paez1247,Paez,A,H+D,2,2
326,paez1247,Paez,P,D,D,D
326,paez1247,Paez,POSS,H,H,H
326,paez1247,Paez,S,H+D,2,2
327,paiw1248,Paiwan,A,H+D,2,2
327,paiw1248,Paiwan,ATTR,,,
327,paiw1248,Paiwan,P,H+D,2,2
327,paiw1248,Paiwan,POSS,h+D,D,2
327,paiw1248,Paiwan,S,H+D,2,2
329,paum1247,Paumarí,A,H+D,2,2
329,paum1247,Paumarí,P,H+D,2,2
329,paum1247,Paumarí,POSS,H,H,H
329,paum1247,Paumarí,S,H+D,2,2
331,pawn1254,Pawnee,A,H,H,H
331,pawn1254,Pawnee,P,H,H,H
331,pawn1254,Pawnee,POSS,H,H,H
331,pawn1254,Pawnee,S,H,H,H
332,pipi1250,Pipil,A,H,H,H
332,pipi1250,Pipil,P,H,H,H
332,pipi1250,Pipil,POSS,H,H,H
332,pipi1250,Pipil,S,H,H,H
333,pira1253,Pirahã,A,Ø,Ø,Ø
333,pira1253,Pirahã,ATTR,Ø,Ø,Ø
333,pira1253,Pirahã,P,Ø,Ø,Ø
333,pira1253,Pirahã,POSS,Ø,Ø,Ø
333,pira1253,Pirahã,S,Ø,Ø,Ø
337,kich1262,Quiche,A,H,H,H
337,kich1262,Quiche,P,H,H,H
337,kich1262,Quiche,S,H,H,H
338,quil1240,Quileute,A,H+D,2,2
338,quil1240,Quileute,P,H+D,2,2
338,quil1240,Quileute,POSS,H,H,H
338,quil1240,Quileute,S,H+D,2,2
340,russ1263,Russian,A,H+D,2,2
340,russ1263,Russian,P,D,D,D
340,russ1263,Russian,S,H+D,2,2
343,sahu1245,Sahu,A,H,H,H
343,sahu1245,Sahu,ATTR,Ø,Ø,Ø
343,sahu1245,Sahu,P,H,H,H
343,sahu1245,Sahu,POSS,H,H,H
343,sahu1245,Sahu,S,H,H,H
345,salt1242,Salt-Yui,A,H,H,H
345,salt1242,Salt-Yui,ATTR,Ø,Ø,Ø
345,salt1242,Salt-Yui,P,Ø,Ø,Ø
345,salt1242,Salt-Yui,POSS,Ø,Ø,Ø
345,salt1242,Salt-Yui,S,H,H,H
347,sand1273,Sandawe,A,H,H,H
347,sand1273,Sandawe,P,Ø,Ø,Ø
347,sand1273,Sandawe,POSS,Ø,Ø,Ø
347,sand1273,Sandawe,S,H,H,H
348,sanu1240,Sanuma,A,h+D,D,2
348,sanu1240,Sanuma,ATTR,Ø,Ø,Ø
348,sanu1240,Sanuma,P,h,H,H
348,sanu1240,Sanuma,POSS,D,D,D
348,sanu1240,Sanuma,S,Ø,Ø,Ø
350,nucl1632,Sentani,A,H,H,H
350,nucl1632,Sentani,ATTR,Ø,Ø,Ø
350,nucl1632,Sentani,P,H,H,H
350,nucl1632,Sentani,POSS,Ø,Ø,Ø
350,nucl1632,Sentani,S,H,H,H
352,shua1257,Shuar,A,H+D,2,2
352,shua1257,Shuar,P,H+D,2,2
352,shua1257,Shuar,POSS,H+D,2,2
352,shua1257,Shuar,S,H+D,2,2
354,nort2942,Slave,A,H,H,H
354,nort2942,Slave,ATTR,Ø,Ø,Ø
354,nort2942,Slave,P,H,H,H
354,nort2942,Slave,POSS,hh,H,H
354,nort2942,Slave,S,H,H,H
356,sout2985,Miwok (Southern Sierra),A,H+D,2,2
356,sout2985,Miwok (Southern Sierra),ATTR,D,D,D
356,sout2985,Miwok (Southern Sierra),P,H+D,2,2
356,sout2985,Miwok (Southern Sierra),POSS,H+D,2,2
356,sout2985,Miwok (Southern Sierra),S,H+D,2,2
357,squa1248,Squamish,A,H+D,2,2
357,squa1248,Squamish,ATTR,Ø,Ø,Ø
357,squa1248,Squamish,P,H+D,2,2
357,squa1248,Squamish,POSS,H,H,H
357,squa1248,Squamish,S,H+D,2,2
358,suen1241,Suena,A,H,H,H
358,suen1241,Suena,ATTR,Ø,Ø,Ø
358,suen1241,Suena,P,Ø,Ø,Ø
358,suen1241,Suena,POSS,D,D,D
358,suen1241,Suena,S,H,H,H
359,sulk1246,Sulka,A,H,H,H
359,sulk1246,Sulka,ATTR,D,D,D
359,sulk1246,Sulka,P,Ø,Ø,Ø
359,sulk1246,Sulka,POSS,H,H,H
359,sulk1246,Sulka,S,H,H,H
361,swah1253,Swahili,A,H,H,H
361,swah1253,Swahili,ATTR,D,D,D
361,swah1253,Swahili,P,H,H,H
361,swah1253,Swahili,POSS,DD,D,D
361,swah1253,Swahili,S,H,H,H
362,taga1270,Tagalog,A,H+D,2,2
362,taga1270,Tagalog,ATTR,F,FloatingorClitic,F
362,taga1270,Tagalog,P,H+D,2,2
362,taga1270,Tagalog,POSS,F,FloatingorClitic,F
362,taga1270,Tagalog,S,H+D,2,2
362,taga1270,Tagalog,,H+D,2,2
363,take1257,Takelma,A,H,H,H
363,take1257,Takelma,P,H,H,H
363,take1257,Takelma,POSS,H,H,H
363,take1257,Takelma,S,H,H,H
364,kula1280,Tanglapui,A,H,H,H
364,kula1280,Tanglapui,ATTR,Ø,Ø,Ø
364,kula1280,Tanglapui,P,H,H,H
364,kula1280,Tanglapui,POSS,H,H,H
364,kula1280,Tanglapui,S,H,H,H
365,pure1242,Tarascan,A,H+D,2,2
365,pure1242,Tarascan,ATTR,D,D,D
365,pure1242,Tarascan,P,D,D,D
365,pure1242,Tarascan,POSS,D,D,D
365,pure1242,Tarascan,S,H+D,2,2
367,tauy1241,Tauya,A,H+D,2,2
367,tauy1241,Tauya,P,H+D,2,2
367,tauy1241,Tauya,POSS,D,D,D
367,tauy1241,Tauya,S,H+D,2,2
368,tawa1275,Tawala,A,H,H,H
368,tawa1275,Tawala,P,H,H,H
368,tawa1275,Tawala,POSS,H,H,H
368,tawa1275,Tawala,S,H,H,H
369,tehi1237,Tehit,A,H,H,H
369,tehi1237,Tehit,P,Ø,Ø,Ø
369,tehi1237,Tehit,POSS,H,H,H
369,tehi1237,Tehit,S,H,H,H
370,tele1256,Telefol,A,H,H,H
370,tele1256,Telefol,ATTR,Ø,Ø,Ø
370,tele1256,Telefol,P,h,H,H
370,tele1256,Telefol,POSS,H,H,H
370,tele1256,Telefol,S,H,H,H
373,tera1251,Tera,A,Ø,Ø,Ø
373,tera1251,Tera,ATTR,Ø,Ø,Ø
373,tera1251,Tera,P,Ø,Ø,Ø
373,tera1251,Tera,POSS,D,D,D
373,tera1251,Tera,S,Ø,Ø,Ø
374,thai1261,Thai,A,Ø,Ø,Ø
374,thai1261,Thai,ATTR,Ø,Ø,Ø
374,thai1261,Thai,P,Ø,Ø,Ø
374,thai1261,Thai,POSS,D,D,D
374,thai1261,Thai,S,Ø,Ø,Ø
375,tibe1272,Tibetan (Standard Spoken),A,D,D,D
375,tibe1272,Tibetan (Standard Spoken),ATTR,Ø,Ø,Ø
375,tibe1272,Tibetan (Standard Spoken),P,D,D,D
375,tibe1272,Tibetan (Standard Spoken),POSS,D,D,D
375,tibe1272,Tibetan (Standard Spoken),S,h+D,D,2
377,timu1245,Timucua,A,H,H,H
377,timu1245,Timucua,P,H,H,H
377,timu1245,Timucua,POSS,H,H,H
377,timu1245,Timucua,S,H,H,H
378,tiwi1244,Tiwi,A,H,H,H
378,tiwi1244,Tiwi,P,H,H,H
378,tiwi1244,Tiwi,POSS,Ø,Ø,Ø
378,tiwi1244,Tiwi,S,H,H,H
379,tlin1245,Tlingit,A,H,H,H
379,tlin1245,Tlingit,P,H,H,H
379,tlin1245,Tlingit,POSS,H,H,H
379,tlin1245,Tlingit,S,H,H,H
382,tonk1249,Tonkawa,A,H+D,2,2
382,tonk1249,Tonkawa,P,H+D,2,2
382,tonk1249,Tonkawa,POSS,D,D,D
382,tonk1249,Tonkawa,S,H+D,2,2
383,trum1247,Trumaí,A,D,D,D
383,trum1247,Trumaí,ATTR,Ø,Ø,Ø
383,trum1247,Trumaí,P,D,D,D
383,trum1247,Trumaí,POSS,D,D,D
383,trum1247,Trumaí,S,D,D,D
384,tuka1249,Tukang Besi,A,Hh+D,2,2
384,tuka1249,Tukang Besi,ATTR,Ø,Ø,Ø
384,tuka1249,Tukang Besi,P,D on H,FloatingorClitic,D on H
384,tuka1249,Tukang Besi,POSS,D on H,FloatingorClitic,D on H
384,tuka1249,Tukang Besi,S,Hh+D,2,2
385,shos1248,Tümpisa Shoshone,A,D,D,D
385,shos1248,Tümpisa Shoshone,P,D,D,D
385,shos1248,Tümpisa Shoshone,POSS,D,D,D
385,shos1248,Tümpisa Shoshone,S,D,D,D
386,tuni1252,Tunica,A,H,H,H
386,tuni1252,Tunica,P,H,H,H
386,tuni1252,Tunica,POSS,H,H,H
386,tuni1252,Tunica,S,H,H,H
387,tuvi1240,Tuva,A,H+D,2,2
387,tuvi1240,Tuva,ATTR,Ø,Ø,Ø
387,tuvi1240,Tuva,P,D,D,D
387,tuvi1240,Tuva,POSS,H+D,2,2
387,tuvi1240,Tuva,S,H+D,2,2
388,tzut1248,Tzutujil,A,H,H,H
388,tzut1248,Tzutujil,ATTR,Ø,Ø,Ø
388,tzut1248,Tzutujil,P,H,H,H
388,tzut1248,Tzutujil,POSS,H,H,H
388,tzut1248,Tzutujil,S,H,H,H
390,ngar1284,Ungarinjin,A,H,H,H
390,ngar1284,Ungarinjin,P,H,H,H
390,ngar1284,Ungarinjin,POSS,D,D,D
390,ngar1284,Ungarinjin,S,H,H,H
391,urad1238,Uradhi,A,D,D,D
391,urad1238,Uradhi,P,D,D,D
391,urad1238,Uradhi,POSS,DD,D,D
391,urad1238,Uradhi,S,D,D,D
393,usan1239,Usan,A,H,H,H
393,usan1239,Usan,ATTR,Ø,Ø,Ø
393,usan1239,Usan,P,h,H,H
393,usan1239,Usan,POSS,H,H,H
393,usan1239,Usan,S,H,H,H
395,vani1248,Vanimo,A,H,H,H
395,vani1248,Vanimo,ATTR,Ø,Ø,Ø
395,vani1248,Vanimo,P,Ø,Ø,Ø
395,vani1248,Vanimo,POSS,H,H,H
395,vani1248,Vanimo,S,H,H,H
397,waor1240,Waorani,A,H,H,H
397,waor1240,Waorani,P,Ø,Ø,Ø
397,waor1240,Waorani,POSS,Ø,Ø,Ø
397,waor1240,Waorani,S,H,H,H
398,wapp1239,Wappo,A,D,D,D
398,wapp1239,Wappo,P,D,D,D
398,wapp1239,Wappo,POSS,D,D,D
398,wapp1239,Wappo,S,D,D,D
399,wara1303,Warao,A,d,D,D
399,wara1303,Warao,P,d,D,D
399,wara1303,Warao,POSS,H/D,2,
399,wara1303,Warao,S,d,D,D
400,wara1290,Waray,A,H+D,2,2
400,wara1290,Waray,P,H+D,2,2
400,wara1290,Waray,POSS,D,D,D
400,wara1290,Waray,S,H+D,2,2
401,ward1246,Wardaman,A,H+D,2,2
401,ward1246,Wardaman,P,H+D,2,2
401,ward1246,Wardaman,POSS,D,D,D
401,ward1246,Wardaman,S,H+D,2,2
402,ware1253,Warembori,A,H,H,H
402,ware1253,Warembori,ATTR,H,H,H
402,ware1253,Warembori,P,h,H,H
402,ware1253,Warembori,POSS,H,H,H
402,ware1253,Warembori,S,H,H,H
404,warl1254,Warlpiri,A,H+D,2,2
404,warl1254,Warlpiri,P,H+D,2,2
404,warl1254,Warlpiri,POSS,D,D,D
404,warl1254,Warlpiri,S,H+D,2,2
405,wand1263,Warndarang,A,H,H,H
405,wand1263,Warndarang,P,H,H,H
405,wand1263,Warndarang,POSS,H,H,H
405,wand1263,Warndarang,S,H,H,H
406,wash1253,Washo,A,H,H,H
406,wash1253,Washo,P,H,H,H
406,wash1253,Washo,POSS,H,H,H
406,wash1253,Washo,S,H,H,H
407,wask1241,Waskia,A,H+d,H,2
407,wask1241,Waskia,ATTR,Ø,Ø,Ø
407,wask1241,Waskia,P,H+d,H,2
407,wask1241,Waskia,POSS,H,H,H
407,wask1241,Waskia,S,H+d,H,2
408,west2443,Wemba Wemba,A,F+D,2,2
408,west2443,Wemba Wemba,P,F+D,2,2
408,west2443,Wemba Wemba,POSS,H+D,2,2
408,west2443,Wemba Wemba,S,F+D,2,2
409,wint1259,Wintu,A,H+D,2,2
409,wint1259,Wintu,P,F+D,2,2
409,wint1259,Wintu,POSS,D,D,D
409,wint1259,Wintu,S,H+D,2,2
411,wasc1239,Wishram,A,H,H,H
411,wasc1239,Wishram,ATTR,,,
411,wasc1239,Wishram,P,H,H,H
411,wasc1239,Wishram,POSS,H,H,H
411,wasc1239,Wishram,S,H,H,H
413,khin1240,Xinalug,A,D,D,D
413,khin1240,Xinalug,ATTR,D,D,D
413,khin1240,Xinalug,P,H+D,2,2
413,khin1240,Xinalug,POSS,D,D,D
413,khin1240,Xinalug,S,H+D,2,2
414,yagu1244,Yagua,A,H,H,H
414,yagu1244,Yagua,ATTR,Ø,Ø,Ø
414,yagu1244,Yagua,P,f,FloatingorClitic,F
414,yagu1244,Yagua,POSS,H,H,H
414,yagu1244,Yagua,S,H,H,H
415,nini1235,retire_Yali,A,H,H,H
415,nini1235,retire_Yali,P,H,H,H
415,nini1235,retire_Yali,POSS,H,H,H
415,nini1235,retire_Yali,S,H,H,H
416,yank1247,Yankunytjara,A,D,D,D
416,yank1247,Yankunytjara,P,D,D,D
416,yank1247,Yankunytjara,POSS,D,D,D
416,yank1247,Yankunytjara,S,D,D,D
418,yoku1256,Yokuts (Yawelmani),A,D,D,D
418,yoku1256,Yokuts (Yawelmani),ATTR,D,D,D
418,yoku1256,Yokuts (Yawelmani),P,D,D,D
418,yoku1256,Yokuts (Yawelmani),POSS,D,D,D
418,yoku1256,Yokuts (Yawelmani),S,D,D,D
419,yess1239,Yessan-Mayo,A,Ø,Ø,Ø
419,yess1239,Yessan-Mayo,P,Ø,Ø,Ø
419,yess1239,Yessan-Mayo,POSS,H,H,H
419,yess1239,Yessan-Mayo,S,Ø,Ø,Ø
420,yima1243,Yimas,A,H,H,H
420,yima1243,Yimas,P,H,H,H
420,yima1243,Yimas,POSS,D,D,D
420,yima1243,Yimas,S,H,H,H
421,yoru1245,Yoruba,A,Ø,Ø,Ø
421,yoru1245,Yoruba,P,H+D,2,2
421,yoru1245,Yoruba,POSS,H,H,H
421,yoru1245,Yoruba,S,Ø,Ø,Ø
422,yuch1247,Yuchi,A,H,H,H
422,yuch1247,Yuchi,P,H,H,H
422,yuch1247,Yuchi,POSS,H,H,H
422,yuch1247,Yuchi,S,H,H,H
423,nort2745,Yukagir (Tundra),A,H+D,2,2
423,nort2745,Yukagir (Tundra),P,D,D,D
423,nort2745,Yukagir (Tundra),POSS,Ø,Ø,Ø
423,nort2745,Yukagir (Tundra),S,H+D,2,2
428,yuro1248,Yurok,A,H,H,H
428,yuro1248,Yurok,ATTR,,,
428,yuro1248,Yurok,P,H,H,H
428,yuro1248,Yurok,POSS,H,H,H
428,yuro1248,Yurok,S,H,H,H
429,zuni1245,Zuni,A,H,H,H
429,zuni1245,Zuni,P,H+D,2,2
429,zuni1245,Zuni,POSS,H,H,H
429,zuni1245,Zuni,S,H,H,H
432,coos1249,Hanis (Coos),A,H+D,2,2
432,coos1249,Hanis (Coos),P,H,H,H
432,coos1249,Hanis (Coos),POSS,H,H,H
432,coos1249,Hanis (Coos),S,H,H,H
433,gily1242,Nivkh,A,Ø,Ø,Ø
433,gily1242,Nivkh,ATTR,H,H,H
433,gily1242,Nivkh,P,HH,H,H
433,gily1242,Nivkh,POSS,H,H,H
433,gily1242,Nivkh,S,H,H,H
438,maib1239,Maybrat,A,H,H,H
438,maib1239,Maybrat,P,P,,
438,maib1239,Maybrat,POSS,D,D,D
438,maib1239,Maybrat,S,H,H,H
442,sius1254,Siuslaw (Lower Umpqua),A,H+D,2,2
442,sius1254,Siuslaw (Lower Umpqua),P,H+D,2,2
442,sius1254,Siuslaw (Lower Umpqua),POSS,D,D,D
442,sius1254,Siuslaw (Lower Umpqua),S,H+D,2,2
443,koyr1240,Songhai (Koyra Chiini),A,d,D,D
443,koyr1240,Songhai (Koyra Chiini),ATTR,Ø,Ø,Ø
443,koyr1240,Songhai (Koyra Chiini),P,d,D,D
443,koyr1240,Songhai (Koyra Chiini),POSS,d,D,D
443,koyr1240,Songhai (Koyra Chiini),S,d,D,D
454,rama1270,Rama,A,H,H,H
454,rama1270,Rama,ATTR,Ø,Ø,Ø
454,rama1270,Rama,P,h+d,2,2
454,rama1270,Rama,POSS,H/D/DH,2,
454,rama1270,Rama,S,H,H,H
455,cent2127,Yup’ik (Central),A,H+D,2,2
455,cent2127,Yup’ik (Central),P,H+D,2,2
455,cent2127,Yup’ik (Central),POSS,D,D,D
455,cent2127,Yup’ik (Central),S,H+D,2,2
456,west2369,Persian,A,H+D,2,2
456,west2369,Persian,ATTR,H,H,H
456,west2369,Persian,P,H+D,2,2
456,west2369,Persian,POSS,H,H,H
456,west2369,Persian,S,H+D,2,2
460,popt1235,Jacaltec,A,H,H,H
460,popt1235,Jacaltec,ATTR,Ø,Ø,Ø
460,popt1235,Jacaltec,P,H,H,H
460,popt1235,Jacaltec,POSS,H,H,H
460,popt1235,Jacaltec,S,H,H,H
461,onei1249,Oneida,A,H,H,H
461,onei1249,Oneida,P,H,H,H
461,onei1249,Oneida,POSS,H,H,H
461,onei1249,Oneida,S,H,H,H
463,nucl1310,Burmese,A,d,D,D
463,nucl1310,Burmese,ATTR,Ø,Ø,Ø
463,nucl1310,Burmese,P,d,D,D
463,nucl1310,Burmese,POSS,d,D,D
463,nucl1310,Burmese,S,d,D,D
464,mode1248,Greek (modern),A,H+D,2,2
464,mode1248,Greek (modern),ATTR,D,D,D
464,mode1248,Greek (modern),P,h+D,D,2
464,mode1248,Greek (modern),POSS,h+D,D,2
464,mode1248,Greek (modern),S,H+D,2,2
465,mari1440,Maricopa,A,H+D,2,2
465,mari1440,Maricopa,ATTR,Ø,Ø,Ø
465,mari1440,Maricopa,P,H+D,2,2
465,mari1440,Maricopa,POSS,H,H,H
465,mari1440,Maricopa,S,H+D,2,2
466,sang1328,Sango,A,h,H,H
466,sang1328,Sango,ATTR,Ø,Ø,Ø
466,sang1328,Sango,P,Ø,Ø,Ø
466,sang1328,Sango,POSS,D,D,D
466,sang1328,Sango,S,h,H,H
469,awac1239,Awa Pit,A,h+D,D,2
469,awac1239,Awa Pit,ATTR,Ø,Ø,Ø
469,awac1239,Awa Pit,P,h+D,D,2
469,awac1239,Awa Pit,POSS,d,D,D
469,awac1239,Awa Pit,S,h+D,D,2
481,svan1243,Svan,A,H+D,2,2
481,svan1243,Svan,P,H+D,2,2
481,svan1243,Svan,POSS,D,D,D
481,svan1243,Svan,S,H+D,2,2
491,mala1537,Malagasy,A,H+F,H,H
491,mala1537,Malagasy,ATTR,Ø,Ø,Ø
491,mala1537,Malagasy,P,d,D,D
491,mala1537,Malagasy,POSS,f,FloatingorClitic,F
491,mala1537,Malagasy,S,H+F,H,H
492,copa1236,Zoque (Copainalá),A,H+D,2,2
492,copa1236,Zoque (Copainalá),ATTR,D,D,D
492,copa1236,Zoque (Copainalá),P,H+D,2,2
492,copa1236,Zoque (Copainalá),POSS,H+D,2,2
492,copa1236,Zoque (Copainalá),S,H+D,2,2
493,bara1380,Barasano,A,H,H,H
493,bara1380,Barasano,ATTR,D,D,D
493,bara1380,Barasano,P,H+D,2,2
493,bara1380,Barasano,POSS,H,H,H
493,bara1380,Barasano,S,H,H,H
494,viet1252,Vietnamese,A,Ø,Ø,Ø
494,viet1252,Vietnamese,ATTR,Ø,Ø,Ø
494,viet1252,Vietnamese,P,Ø,Ø,Ø
494,viet1252,Vietnamese,POSS,Ø,Ø,Ø
494,viet1252,Vietnamese,S,Ø,Ø,Ø
495,kron1241,Krongo,A,H,H,H
495,kron1241,Krongo,ATTR,D,D,D
495,kron1241,Krongo,P,P,,
495,kron1241,Krongo,POSS,D,D,D
495,kron1241,Krongo,S,H,H,H
496,indo1316,Indonesian,A,Ø,Ø,Ø
496,indo1316,Indonesian,ATTR,Ø,Ø,Ø
496,indo1316,Indonesian,P,Ø,Ø,Ø
496,indo1316,Indonesian,POSS,Ø,Ø,Ø
496,indo1316,Indonesian,S,Ø,Ø,Ø
497,supy1237,Supyire,A,Ø,Ø,Ø
497,supy1237,Supyire,ATTR,D,D,D
497,supy1237,Supyire,P,Ø,Ø,Ø
497,supy1237,Supyire,POSS,H,H,H
497,supy1237,Supyire,S,Ø,Ø,Ø
498,mezq1235,Otomi (Mezquital),A,H,H,H
498,mezq1235,Otomi (Mezquital),ATTR,Ø,Ø,Ø
498,mezq1235,Otomi (Mezquital),P,H,H,H
498,mezq1235,Otomi (Mezquital),POSS,H,H,H
498,mezq1235,Otomi (Mezquital),S,H,H,H
499,buki1249,Bukiyip,A,H,H,H
499,buki1249,Bukiyip,P,H,H,H
499,buki1249,Bukiyip,POSS,DD,D,D
499,buki1249,Bukiyip,S,H,H,H
500,hmon1264,Hmong Njua,A,Ø,Ø,Ø
500,hmon1264,Hmong Njua,P,Ø,Ø,Ø
500,hmon1264,Hmong Njua,POSS,d,D,D
500,hmon1264,Hmong Njua,S,Ø,Ø,Ø
501,mani1292,Meithei,A,d,D,D
501,mani1292,Meithei,ATTR,D,D,D
501,mani1292,Meithei,P,d,D,D
501,mani1292,Meithei,POSS,D,D,D
501,mani1292,Meithei,S,d,D,D
502,nucl1301,Turkish,A,H+D,2,2
502,nucl1301,Turkish,ATTR,Ø,Ø,Ø
502,nucl1301,Turkish,P,d,D,D
502,nucl1301,Turkish,POSS,H+d,H,2
502,nucl1301,Turkish,S,H+D,2,2
503,yaqu1251,Yaqui,A,h+d,2,2
503,yaqu1251,Yaqui,ATTR,D,D,D
503,yaqu1251,Yaqui,P,h+d,2,2
503,yaqu1251,Yaqui,POSS,h+D,D,2
503,yaqu1251,Yaqui,S,hh+d,2,2
504,greb1256,Grebo,A,d,D,D
504,greb1256,Grebo,ATTR,d,D,D
504,greb1256,Grebo,P,d,D,D
504,greb1256,Grebo,POSS,D,D,D
504,greb1256,Grebo,S,d,D,D
505,daga1275,Daga,A,H,H,H
505,daga1275,Daga,ATTR,Ø,Ø,Ø
505,daga1275,Daga,P,H,H,H
505,daga1275,Daga,POSS,H,H,H
505,daga1275,Daga,S,H,H,H
511,kala1399,Greenlandic Eskimo (West),A,H+D,2,2
511,kala1399,Greenlandic Eskimo (West),P,H+D,2,2
511,kala1399,Greenlandic Eskimo (West),POSS,H+D,2,2
511,kala1399,Greenlandic Eskimo (West),S,H+D,2,2
512,apur1254,Apurina,A,H,H,H
512,apur1254,Apurina,P,H,H,H
512,apur1254,Apurina,POSS,h,H,H
512,apur1254,Apurina,S,H,H,H
514,cent2142,Aymara,A,H+D,2,2
514,cent2142,Aymara,ATTR,Ø,Ø,Ø
514,cent2142,Aymara,P,H+D,2,2
514,cent2142,Aymara,POSS,H+D,2,2
514,cent2142,Aymara,S,H+D,2,2
515,bagi1246,Bagirmi,A,H,H,H
515,bagi1246,Bagirmi,P,d on h,FloatingorClitic,D on H
515,bagi1246,Bagirmi,POSS,Ø,Ø,Ø
515,bagi1246,Bagirmi,S,H,H,H
518,brah1256,Brahui,A,H+D,2,2
518,brah1256,Brahui,ATTR,D,D,D
518,brah1256,Brahui,P,D,D,D
518,brah1256,Brahui,POSS,D,D,D
518,brah1256,Brahui,S,H+D,2,2
519,brib1243,Bribri,A,D,D,D
519,brib1243,Bribri,ATTR,Ø,Ø,Ø
519,brib1243,Bribri,P,Ø,Ø,Ø
519,brib1243,Bribri,S,Ø,Ø,Ø
525,ekar1243,Ekari,A,H,H,H
525,ekar1243,Ekari,P,H,H,H
525,ekar1243,Ekari,POSS,Ø,Ø,Ø
525,ekar1243,Ekari,S,H,H,H
526,epen1239,Epena Pedee,A,D,D,D
526,epen1239,Epena Pedee,ATTR,Ø,Ø,Ø
526,epen1239,Epena Pedee,P,D,D,D
526,epen1239,Epena Pedee,POSS,Ø,Ø,Ø
526,epen1239,Epena Pedee,S,D,D,D
527,even1259,Evenki,A,H+D,2,2
527,even1259,Evenki,ATTR,D,D,D
527,even1259,Evenki,P,D,D,D
527,even1259,Evenki,POSS,H+D,2,2
527,even1259,Evenki,S,H+D,2,2
528,garo1247,Garo,A,D,D,D
528,garo1247,Garo,ATTR,Ø,Ø,Ø
528,garo1247,Garo,P,D,D,D
528,garo1247,Garo,POSS,D,D,D
528,garo1247,Garo,S,D,D,D
530,hunz1247,Hunzib,A,D,D,D
530,hunz1247,Hunzib,ATTR,D,D,D
530,hunz1247,Hunzib,P,H+D,2,2
530,hunz1247,Hunzib,POSS,D,D,D
530,hunz1247,Hunzib,S,H+D,2,2
532,arhu1242,Ika,A,H+d,H,2
532,arhu1242,Ika,ATTR,Ø,Ø,Ø
532,arhu1242,Ika,P,Ø,Ø,Ø
532,arhu1242,Ika,POSS,D,D,D
532,arhu1242,Ika,S,H,H,H
533,imba1240,Quechua (Imbabura),A,H+D,2,2
533,imba1240,Quechua (Imbabura),ATTR,Ø,Ø,Ø
533,imba1240,Quechua (Imbabura),P,D,D,D
533,imba1240,Quechua (Imbabura),POSS,D,D,D
533,imba1240,Quechua (Imbabura),S,H+D,2,2
535,nucl1305,Kannada,A,H+D,2,2
535,nucl1305,Kannada,ATTR,Ø,Ø,Ø
535,nucl1305,Kannada,P,D,D,D
