LID,Glottocode,Language,MarkerID,MarkerLabel,MarkerExemplar,MarkerForm,MarkerClausalDomain,MarkerMorphemeType,MarkerIsGrammaticalWord,MarkerIsPersonPortmanteau,MarkerHostRestriction,MarkerIsHostRestricted,MarkerFusion,MarkerFusionBinned6,MarkerFusionIsIsolating,MarkerFusionIsNonlinear,MarkerFusionIsReduplicative,MarkerFusionIsTonal,MarkerIsFlexive,MarkerHasLexicalFlexivity,MarkerStemFlexivity,MarkerFormativeFlexivity,MarkerLocus,MarkerLocusBinned6,MarkerLocusBinned5,MarkerPosition,MarkerPositionBinned4,MarkerPositionBinned5,MarkerHasPreposedExponent,MarkerHasPreposedDefaultExponent,MarkerHasPostposedExponent,MarkerHasMultipleExponents,MarkerHasMultipleDefaultExponents,MarkerBehavior,MarkerBehaviorBinned4,MarkerBehaviorIsSpreading,MarkerPlacement,MarkerSource,MarkerSlot,MarkerIsInOppositionToZero,MarkerHostCategory,MarkerHostProjectionType,MarkerHostSyntacticDomain,MarkerHostClausalDomain,MarkerExpressedMicrorelation,MarkerExpressedMacrorelation,MarkerExpressedCategoriesCount,MarkerExpressesMultipleCategories,MarkerExpressedCategory,MarkerExpressedMacrocategory
2919,diml1238,Dimili,1754,OBL,,"-i- sg. masc. nouns, -ʼər - fem. sg. (seldom used) -ʼan - pl. nouns, suppletive with pronouns",argument,formative,FALSE,FALSE,semi-restricted,FALSE,concatenative_or_suppletive,,,,,,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,1/2sgPro,terminal,nominal,argument,,,3,TRUE,Person,person
2919,diml1238,Dimili,1754,OBL,,"-i- sg. masc. nouns, -ʼər - fem. sg. (seldom used) -ʼan - pl. nouns, suppletive with pronouns",argument,formative,FALSE,FALSE,semi-restricted,FALSE,concatenative_or_suppletive,,,,,,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,1/2sgPro,terminal,nominal,argument,,,3,TRUE,Number,number
2919,diml1238,Dimili,1754,OBL,,"-i- sg. masc. nouns, -ʼər - fem. sg. (seldom used) -ʼan - pl. nouns, suppletive with pronouns",argument,formative,FALSE,FALSE,semi-restricted,FALSE,concatenative_or_suppletive,,,,,,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,3Pro,terminal,nominal,argument,,,3,TRUE,Role,role
2919,diml1238,Dimili,1754,OBL,,"-i- sg. masc. nouns, -ʼər - fem. sg. (seldom used) -ʼan - pl. nouns, suppletive with pronouns",argument,formative,FALSE,FALSE,semi-restricted,FALSE,concatenative_or_suppletive,,,,,,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,3Pro,terminal,nominal,argument,,,3,TRUE,Person,person
2919,diml1238,Dimili,1754,OBL,,"-i- sg. masc. nouns, -ʼər - fem. sg. (seldom used) -ʼan - pl. nouns, suppletive with pronouns",argument,formative,FALSE,FALSE,semi-restricted,FALSE,concatenative_or_suppletive,,,,,,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,3Pro,terminal,nominal,argument,,,3,TRUE,Number,number
2919,diml1238,Dimili,1755,DIR,,"zero with nouns, suppletive with pronouns",argument,formative,FALSE,FALSE,semi-restricted,FALSE,concatenative_or_suppletive,,,,,,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,N,terminal,nominal,argument,,,1,FALSE,Role,role
2919,diml1238,Dimili,1755,DIR,,"zero with nouns, suppletive with pronouns",argument,formative,FALSE,FALSE,semi-restricted,FALSE,concatenative_or_suppletive,,,,,,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,1/2sgPro,terminal,nominal,argument,,,1,FALSE,Role,role
2919,diml1238,Dimili,1755,DIR,,"zero with nouns, suppletive with pronouns",argument,formative,FALSE,FALSE,semi-restricted,FALSE,concatenative_or_suppletive,,,,,,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,3Pro,terminal,nominal,argument,,,1,FALSE,Role,role
2919,diml1238,Dimili,1756,NOM,,zero,argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,1/2plPro,terminal,nominal,argument,,,0,FALSE,,
1103,biri1256,Biri,1757,ABS,,zero,argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,N_or_Pro,terminal,nominal,argument,,,1,FALSE,Role,role
