PoS,ProjectionType,SyntacticDomain,SemanticDomain,ClausalDomain,Definition
N-non-pers,terminal,nominal,noun-like,argument,non-personal noun (common nouns and proper nouns which are not personal names (e.g. toponyms))
3sgPro-high,terminal,nominal,non-SAP,argument,3rd person singular pronoun with a higher discourse rank than ‘3sgPro-low’ (where rank is determined by discourse factors with language-specific weights)
3plPro-high,terminal,nominal,non-SAP,argument,3rd person plural pronoun with a higher discourse rank than ‘3plPro-low’ (where rank is determined by discourse factors with language-specific weights)
3sgPro-low,terminal,nominal,non-SAP,argument,3rd person plural pronoun with a lower discourse rank than ‘3sgPro-high’ (where rank is determined by discourse factors with language-specific weights)
3plPro-low,terminal,nominal,non-SAP,argument,3rd person plural pronoun with a lower discourse rank than ‘3plPro-high’ (where rank is determined by discourse factors with language-specific weights)
N-sg-proper,terminal,nominal,noun-like,argument,proper noun in singular
N-pl-proper,terminal,nominal,noun-like,argument,proper noun in plural
N-common-sg,terminal,nominal,noun-like,argument,common (non-proper) noun in singular
N-common-pl,terminal,nominal,noun-like,argument,common (non-proper) noun in plural
N-common,terminal,nominal,noun-like,argument,common noun
SUP,terminal,verbal,verb-like,predicate,supine (a nonfinite verb form indicating purpose)
N-pers-male,terminal,nominal,noun-like,argument,male personal name
N-pers-female,terminal,nominal,noun-like,argument,female personal name
N-non-hum-pl,terminal,nominal,noun-like,argument,non-human noun in plural
N-non-hum-du,terminal,nominal,noun-like,argument,non-human noun in dual
Pro-dep,terminal,nominal,non-SAP,argument,"dependent pronoun (e.g. procliticized, etc.) if a language has both dependent and independent pronouns"
N-masc-sg87,terminal,nominal,noun-like,argument,German masculine singular noun (case on determiner)
N-fem-sg87,terminal,nominal,noun-like,argument,German feminine singular noun
N-neut-sg87,terminal,nominal,noun-like,argument,German neutral singular noun
3sgPro-masc87,terminal,nominal,non-SAP,argument,German 3rd person masculine pronoun
3sgPro-fem87,terminal,nominal,non-SAP,argument,German 3rd person feminine pronoun
3sgPro-neut87,terminal,nominal,non-SAP,argument,German 3rd person neutral pronoun
1inclPro,terminal,nominal,SAP,argument,1st person (plural) inclusive pronoun
