PoS,ProjectionType,SyntacticDomain,SemanticDomain,ClausalDomain,Definition
N-nsyncr2893,terminal,nominal,,,Latin nouns without NOM = ACC syncretism neither in sg. not in pl.
3sgPro-masc2893,terminal,nominal,,,Latin 3rd person singular masculine pronoun
3sgPro-fem2893,terminal,nominal,,,Latin 3rd person singular feminine pronoun
3sgPro-neu2893,terminal,nominal,,,Latin 3rd person singular neuter pronoun
3plPro-masc2893,terminal,nominal,,,Latin 3rd person plural masculine pronoun
3plPro-fem2893,terminal,nominal,,,Latin 3rd person plural feminine pronoun
3plPro-neu2893,terminal,nominal,,,Latin 3rd person plural neuter pronoun
N-syncr2854,terminal,nominal,,,"High German (old) nouns with NOM = ACC syncretism both in sg. and pl. (nouns of all genders in the vocalic/strong declension, nouns in minor consonantal declensions, neuter nouns of the weak -n-declension)"
N-nsyncr2854,terminal,nominal,,,"High German (old) nouns without NOM/ACC syncretism in sg.(masc. and fem. nouns of the weak declension); pl. is always syncreticvocalic/strong declension, nouns in minor consonantal declensions, neuter nouns of the weak -n-declension)"
3sgPro-masc2854,terminal,nominal,,,High German (old) 3sgPro without NOM/ACC syncretism
3sgPro-fem2854,terminal,nominal,,,High German (old) 3sgPro without NOM/ACC syncretism
3sgPro-neu2854,terminal,nominal,,,High German (old) 3sgPro with NOM = ACC syncretism
2du_masc2378,terminal,verbal,,,Rotokas 2nd person dual masculine agreement
2du_fem2378,terminal,verbal,,,Rotokas 2nd person dual feminine agreement
3sg_masc2378,terminal,verbal,,,Rotokas 3rd person masculine singular agreement
3sg_fem2378,terminal,verbal,,,Rotokas 3rd person feminine singular agreement
3sg_neu2378,terminal,verbal,,,Rotokas 3rd person neuter singular agreement
3du_masc2378,terminal,verbal,,,Rotokas 3rd person masculine dual agreement
3du_fem2378,terminal,verbal,,,Rotokas 3rd person feminine dual agreement
3du_neu2378,terminal,verbal,,,Rotokas 3rd person neuter dual agreement
3pl_masc2378,terminal,verbal,,,Rotokas 3rd person masculine plural agreement
3pl_fem2378,terminal,verbal,,,Rotokas 3rd person feminine plural agreement
3pl_neu2378,terminal,verbal,,,Rotokas 3rd person neuter plural agreement
N_mostclasses2972,terminal,nominal,,,Kambaata majority noun inflection class
N_M8M9classes2972,terminal,nominal,,,Kambaata M8 and M9 noun inflection class
3sg_fem2972,terminal,verbal,,,Kambaata 3rd person feminine singular agreement
3sg_masc2972,terminal,verbal,,,Kambaata 3rd person masculine singular agreement
3pl_fem2972,terminal,verbal,,,Kambaata 3rd person feminine plural agreement
3pl_masc2972,terminal,verbal,,,Kambaata 3rd person masculine plural agreement
2sgHON,,verbal,SAP,,2nd person singular honorific
2plHON,,verbal,SAP,,2nd person plural honorific
3sgHON,,verbal,non-SAP,,3nd person singular honorific
3plHON,,verbal,non-SAP,,3nd person plural honorific
3sg_masc495,terminal,verbal,,,Krongo 3rd person masculine singular agreement
3sg_fem495,terminal,verbal,,,Krongo 3rd person feminine singular agreement
3sg_neu495,terminal,verbal,,,Krongo 3rd person neuter singular agreement
