LID,Glottocode,Language,HasCase,IsCaseCodedForDefaultPredicates,IsCaseCodedForDitransitivePredicates,IsCaseCodedForOtherPredicates,HasAgreement,IsAgreementCodedForDefaultPredicates,IsAgreementCodedForDitransitivePredicates,IsAgreementCodedForOtherPredicates,IsAgreementMarkersCodedForDefaultPredicates,IsAgreementMarkersCodedForDitransitivePredicates,IsAgreementMarkersCodedForOtherPredicates,PersonNumberCategory
25,nucl1235,Armenian (Eastern),TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,2sg
25,nucl1235,Armenian (Eastern),TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,1sg
25,nucl1235,Armenian (Eastern),TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,2pl
25,nucl1235,Armenian (Eastern),TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,1pl
25,nucl1235,Armenian (Eastern),TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,3sg
25,nucl1235,Armenian (Eastern),TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,3pl
26,casu1237,Asmat,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1sg
26,casu1237,Asmat,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2sg
26,casu1237,Asmat,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1pl
26,casu1237,Asmat,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2pl
26,casu1237,Asmat,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3pl
26,casu1237,Asmat,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3sg
27,atak1252,Atakapa,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1sg
27,atak1252,Atakapa,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2sg
27,atak1252,Atakapa,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2pl
27,atak1252,Atakapa,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1pl
27,atak1252,Atakapa,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3sg
27,atak1252,Atakapa,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3pl
28,awtu1239,Awtuw,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,2pl
28,awtu1239,Awtuw,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1pl
28,awtu1239,Awtuw,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3pl
28,awtu1239,Awtuw,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3du
28,awtu1239,Awtuw,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1du
28,awtu1239,Awtuw,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,2du
28,awtu1239,Awtuw,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1sg
28,awtu1239,Awtuw,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3sg
28,awtu1239,Awtuw,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,2sg
29,asha1243,Axininca Campa,TRUE,TRUE,,,TRUE,TRUE,,,FALSE,FALSE,,
31,nucl1630,Barai,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,
32,basq1248,Basque,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,
33,bauz1241,Bauzi,TRUE,FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
34,beja1238,Beja,TRUE,TRUE,,,TRUE,TRUE,,,,,,
36,beri1254,Berik,TRUE,TRUE,,,,,,,,,,
38,kuni1265,Boazi,TRUE,TRUE,FALSE,FALSE,,,,,,,,
39,buru1303,Buru,TRUE,TRUE,TRUE,,,,,,,,,
40,buru1296,Burushaski,TRUE,FALSE,FALSE,,,,,,,,,
44,carn1240,Car,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,
45,cash1254,Cashinahua,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3pl-anim
45,cash1254,Cashinahua,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1sg
45,cash1254,Cashinahua,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,2sg
45,cash1254,Cashinahua,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1pl
45,cash1254,Cashinahua,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,2pl
45,cash1254,Cashinahua,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3pl-inanim
45,cash1254,Cashinahua,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3sg-anim
45,cash1254,Cashinahua,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3sg-inanim
47,cayu1262,Cayuvava,TRUE,TRUE,,,TRUE,FALSE,,,,,,
48,cham1312,Chamorro,TRUE,FALSE,,,TRUE,TRUE,,,,,,
49,chec1245,Chechen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,
50,chic1272,Chichimec,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,1sg
50,chic1272,Chichimec,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,3sg
50,chic1272,Chichimec,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,1pl
50,chic1272,Chichimec,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,2pl
50,chic1272,Chichimec,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,2sg
50,chic1272,Chichimec,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,3pl
50,chic1272,Chichimec,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,1du.incl
