LID,Glottocode,Language,SelectorID,MarkerID,SelectorType,SelectorLabel,ReferentialCondition,CoargumentAtr,CoargumentP,PredicateClassID,MarkerSlot,ClauseRankCondition,CategoryCondition,SyntacticDomainCondition,PolarityCondition,SelectedRoles
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1sg,3sg,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1sg,3sg,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3pl,1pl,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3pl,1pl,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3pl,1sg,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3pl,1sg,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3pl,3pl,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3pl,3pl,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3pl,3sg,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3pl,3sg,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3sg,1pl,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3sg,1pl,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3sg,1sg,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3sg,1sg,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3sg,3pl,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3sg,3pl,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3sg,3sg,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3sg,3sg,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2sg,1pl,,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2sg,1sg,,2,-2,main,,,,P
12,ainu1240,Ainu,2988,3183,agreement (marker),en- '1sP' agreement,1sg,2pl,,2,-1,main,,,,P
12,ainu1240,Ainu,2988,3183,agreement (marker),en- '1sP' agreement,1sg,2sg,,2,-1,main,,,,P
12,ainu1240,Ainu,2988,3183,agreement (marker),en- '1sP' agreement,1sg,3pl,,2,-1,main,,,,P
12,ainu1240,Ainu,2988,3183,agreement (marker),en- '1sP' agreement,1sg,3sg,,2,-1,main,,,,P
12,ainu1240,Ainu,2989,3184,agreement (marker),un- 'PsP' agreement,1pl,2pl,,2,-1,main,,,,P
12,ainu1240,Ainu,2989,3184,agreement (marker),un- 'PsP' agreement,1pl,2sg,,2,-1,main,,,,P
12,ainu1240,Ainu,2989,3184,agreement (marker),un- 'PsP' agreement,1pl,3pl,,2,-1,main,,,,P
12,ainu1240,Ainu,2989,3184,agreement (marker),un- 'PsP' agreement,1pl,3sg,,2,-1,main,,,,P
12,ainu1240,Ainu,2990,3185,agreement (marker),ci- '1pA' agreement,1pl,,3pl,2,-2,main,,,,Atr
12,ainu1240,Ainu,2990,3185,agreement (marker),ci- '1pA' agreement,1pl,,3sg,2,-2,main,,,,Atr
12,ainu1240,Ainu,312,1495,case marker or adposition,NOM case,,,,1,,main,,,,S
12,ainu1240,Ainu,312,1495,case marker or adposition,NOM case,,,,2,,main,,,,Atr
12,ainu1240,Ainu,312,1495,case marker or adposition,NOM case,,,,2,,main,,,,P
12,ainu1240,Ainu,312,1495,case marker or adposition,NOM case,,,,3,,main,,,,Aditr
12,ainu1240,Ainu,312,1495,case marker or adposition,NOM case,,,,3,,main,,,,T
12,ainu1240,Ainu,312,1495,case marker or adposition,NOM case,,,,3,,main,,,,G
14,alam1246,Alamblak,316,4142,agreement (grammatical),agreement,,,,1,,main,,,,S
14,alam1246,Alamblak,316,4142,agreement (grammatical),agreement,,,,2,,main,,,,Atr
14,alam1246,Alamblak,316,4142,agreement (grammatical),agreement,,,,2,,main,,,,P
14,alam1246,Alamblak,316,4142,agreement (grammatical),agreement,,,,3,,main,,,,Aditr
14,alam1246,Alamblak,316,4142,agreement (grammatical),agreement,,,,3,,main,,,,G
14,alam1246,Alamblak,316,4142,agreement (grammatical),agreement,,,,597,,main,,,,Aditr
14,alam1246,Alamblak,316,4142,agreement (grammatical),agreement,,,,597,,main,,,,T
14,alam1246,Alamblak,315,434,case marker or adposition,NOM case,,,,1,,main,,,,S
14,alam1246,Alamblak,315,434,case marker or adposition,NOM case,,,,2,,main,,,,Atr
14,alam1246,Alamblak,315,434,case marker or adposition,NOM case,,,,2,,main,,,,P
14,alam1246,Alamblak,315,434,case marker or adposition,NOM case,,,,3,,main,,,,Aditr
14,alam1246,Alamblak,315,434,case marker or adposition,NOM case,,,,3,,main,,,,T
14,alam1246,Alamblak,315,434,case marker or adposition,NOM case,,,,3,,main,,,,G
14,alam1246,Alamblak,315,434,case marker or adposition,NOM case,,,,527,,main,,,,Aditr
14,alam1246,Alamblak,315,434,case marker or adposition,NOM case,,,,527,,main,,,,T
14,alam1246,Alamblak,2127,,case marker or adposition,LOC case,,,,527,,main,,,,G
15,akka1240,Akkadian,319,2338,agreement (grammatical),S/A agreement,,,,1,,main,,,,S
15,akka1240,Akkadian,319,2338,agreement (grammatical),S/A agreement,,,,2,,main,,,,Atr
15,akka1240,Akkadian,319,2338,agreement (grammatical),S/A agreement,,,,3,,main,,,,Aditr
15,akka1240,Akkadian,317,2335,case marker or adposition,NOM case,,,,1,,main,,,,S
15,akka1240,Akkadian,317,2335,case marker or adposition,NOM case,,,,2,,main,,,,Atr
15,akka1240,Akkadian,317,2335,case marker or adposition,NOM case,,,,3,,main,,,,Aditr
15,akka1240,Akkadian,317,2335,case marker or adposition,NOM case,,,,369,,main,,,,Aditr
15,akka1240,Akkadian,318,2336,case marker or adposition,ACC case,,,,2,,main,,,,P
15,akka1240,Akkadian,318,2336,case marker or adposition,ACC case,,,,3,,main,,,,T
15,akka1240,Akkadian,318,2336,case marker or adposition,ACC case,,,,369,,main,,,,T
15,akka1240,Akkadian,318,2336,case marker or adposition,ACC case,,,,369,,main,,,,G
15,akka1240,Akkadian,1853,2337,case marker or adposition,DAT case,,,,3,,main,,,,G
17,tosk1239,Albanian,322,1541,agreement (grammatical),S/A agreement,,,,1,,main,,,,S
17,tosk1239,Albanian,322,1541,agreement (grammatical),S/A agreement,,,,2,,main,,,,Atr
17,tosk1239,Albanian,322,1541,agreement (grammatical),S/A agreement,,,,3,,main,,,,Aditr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,1plPro,,,1,,main,,,,S
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,1plPro,,,2,,main,,,,Atr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,1plPro,,,2,,main,,,,P
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,1plPro,,,3,,main,,,,Aditr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,1plPro,,,3,,main,,,,T
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,1sgPro,,,1,,main,,,,S
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,1sgPro,,,2,,main,,,,Atr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,1sgPro,,,3,,main,,,,Aditr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,2plPro,,,1,,main,,,,S
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,2plPro,,,2,,main,,,,Atr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,2plPro,,,2,,main,,,,P
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,2plPro,,,3,,main,,,,Aditr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,2plPro,,,3,,main,,,,T
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,2sgPro,,,1,,main,,,,S
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,2sgPro,,,2,,main,,,,Atr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,2sgPro,,,3,,main,,,,Aditr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,3plPro,,,1,,main,,,,S
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,3plPro,,,2,,main,,,,Atr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,3plPro,,,2,,main,,,,P
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,3plPro,,,3,,main,,,,Aditr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,3plPro,,,3,,main,,,,T
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,3sgPro,,,1,,main,,,,S
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,3sgPro,,,2,,main,,,,Atr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,3sgPro,,,3,,main,,,,Aditr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,N-def,,,1,,main,,,,S
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,N-def,,,2,,main,,,,Atr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,N-def,,,3,,main,,,,Aditr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,N-indef,,,1,,main,,,,S
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,N-indef,,,2,,main,,,,Atr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,N-indef,,,2,,main,,,,P
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,N-indef,,,3,,main,,,,Aditr
17,tosk1239,Albanian,320,3217,case marker or adposition,NOM case,N-indef,,,3,,main,,,,T
17,tosk1239,Albanian,321,3216,case marker or adposition,ACC case,1sgPro,,,2,,main,,,,P
17,tosk1239,Albanian,321,3216,case marker or adposition,ACC case,1sgPro,,,3,,main,,,,T
17,tosk1239,Albanian,321,3216,case marker or adposition,ACC case,2sgPro,,,2,,main,,,,P
17,tosk1239,Albanian,321,3216,case marker or adposition,ACC case,2sgPro,,,3,,main,,,,T
17,tosk1239,Albanian,321,3216,case marker or adposition,ACC case,3sgPro,,,2,,main,,,,P
17,tosk1239,Albanian,321,3216,case marker or adposition,ACC case,3sgPro,,,3,,main,,,,T
17,tosk1239,Albanian,321,3216,case marker or adposition,ACC case,N-def,,,2,,main,,,,P
17,tosk1239,Albanian,321,3216,case marker or adposition,ACC case,N-def,,,3,,main,,,,T
17,tosk1239,Albanian,4716,,case marker or adposition,DAT case,1plPro,,,3,,main,,,,G
17,tosk1239,Albanian,4716,,case marker or adposition,DAT case,1sgPro,,,3,,main,,,,G
17,tosk1239,Albanian,4716,,case marker or adposition,DAT case,2plPro,,,3,,main,,,,G
17,tosk1239,Albanian,4716,,case marker or adposition,DAT case,2sgPro,,,3,,main,,,,G
17,tosk1239,Albanian,4716,,case marker or adposition,DAT case,3plPro,,,3,,main,,,,G
17,tosk1239,Albanian,4716,,case marker or adposition,DAT case,3sgPro,,,3,,main,,,,G
