LID,Glottocode,Language,HasNumeralClassifiers,NumeralClassifiersCount
204,nava1243,Navajo,FALSE,0
328,toho1245,O’odham,FALSE,0
441,utes1238,Paiute (Southern),FALSE,0
342,teni1238,Sahaptin,TRUE,2
406,wash1253,Washo,FALSE,0
429,zuni1245,Zuni,FALSE,0
132,kiow1266,Kiowa,FALSE,0
156,lako1247,Lakhota,FALSE,0
331,pawn1254,Pawnee,FALSE,0
27,atak1252,Atakapa,FALSE,0
53,chit1248,Chitimacha,FALSE,0
54,choc1276,Choctaw,FALSE,0
59,plai1258,Cree (Plains),FALSE,0
202,natc1249,Natchez,,
349,sene1264,Seneca,FALSE,0
354,nort2942,Slave,FALSE,0
377,timu1245,Timucua,,
382,tonk1249,Tonkawa,FALSE,0
386,tuni1252,Tunica,FALSE,0
422,yuch1247,Yuchi,FALSE,0
50,chic1272,Chichimec,FALSE,0
55,high1242,Chontal (Highland),FALSE,0
106,sand1278,Huave,,
184,misk1235,Miskito,FALSE,0
185,mixe1286,Mixe,,
186,sanm1295,Mixtec (Chalcatongo),FALSE,0
332,pipi1250,Pipil,FALSE,0
365,pure1242,Tarascan,TRUE,10
372,hueh1236,Tepehua (Huehuetla),,
388,tzut1248,Tzutujil,,
29,asha1243,Axininca Campa,,
45,cash1254,Cashinahua,,
599,chay1248,Chayahuita,,
90,ngab1239,Guaymí,TRUE,14
119,jaqa1244,Jaqaru,FALSE,0
352,shua1257,Shuar,FALSE,0
176,mapu1245,Mapudungun,FALSE,0
194,muin1242,Muinane,,
326,paez1247,Paez,FALSE,0
104,hual1241,Quechua (Huallaga),FALSE,0
339,resi1247,Resígaro,TRUE,56
397,waor1240,Waorani,TRUE,50
414,yagu1244,Yagua,,
620,arao1248,Araona,FALSE,0
43,cane1242,Canela-Krahô,FALSE,0
47,cayu1262,Cayuvava,FALSE,0
89,para1311,Guaraní (Paraguayan),FALSE,0
92,puel1244,Gününa-Küne,,
101,hixk1239,Hixkaryana,FALSE,0
115,iran1263,Iranshe,FALSE,0
180,wich1263,Mataco,FALSE,0
200,sout2994,Nambikwara,TRUE,18
329,paum1247,Paumarí,FALSE,0
333,pira1253,Pirahã,FALSE,0
348,sanu1240,Sanuma,FALSE,0
399,wara1303,Warao,FALSE,0
444,west2515,Futuna (West),FALSE,0
440,naas1242,Nasioi,TRUE,50
437,nort2921,Ku Waru,,
116,itel1242,Itelmen,,
48,cham1312,Chamorro,TRUE,3
70,dehu1237,Drehu,FALSE,0
334,pohn1238,Ponapean,TRUE,29
346,samo1305,Samoan,,
44,carn1240,Car,TRUE,37
64,dier1241,Diyari,FALSE,0
35,belh1239,Belhare,TRUE,2
77,fiji1243,Fijian (Boumaa),FALSE,0
78,finn1318,Finnish,FALSE,0
99,hind1269,Hindi,FALSE,0
87,stan1295,German,FALSE,0
114,ingu1240,Ingush,FALSE,0
128,kaya1319,Kayardild,FALSE,0
135,koas1236,Koasati,FALSE,0
154,haka1240,Hakka Lai,,
159,lang1324,Lango,FALSE,0
225,lahu1253,Lahu,,
177,marg1265,Margi,FALSE,0
112,imon1245,Imonda,FALSE,0
82,gaga1251,Gaagudju,FALSE,0
375,tibe1272,Tibetan (Standard Spoken),FALSE,0
461,onei1249,Oneida,FALSE,0
494,viet1252,Vietnamese,,
497,supy1237,Supyire,FALSE,0
499,buki1249,Bukiyip,FALSE,0
512,apur1254,Apurina,FALSE,0
514,cent2142,Aymara,FALSE,0
518,brah1256,Brahui,FALSE,0
526,epen1239,Epena Pedee,FALSE,0
530,hunz1247,Hunzib,FALSE,0
534,iraq1241,Iraqw,FALSE,0
535,nucl1305,Kannada,FALSE,0
538,east2342,Kayah Li (Eastern),,
550,lavu1241,Lavukaleve,FALSE,0
564,rapa1244,Rapanui,FALSE,0
566,seme1247,Semelai,,
567,ship1254,Shipibo-Konibo,FALSE,0
569,stan1288,Spanish,FALSE,0
571,cent2194,Tamazight (Ayt Ndhir),FALSE,0
576,wari1268,Wari,FALSE,0
580,yidi1250,Yidiny,FALSE,0
642,egyp1253,Arabic (Egyptian),FALSE,0
649,jeri1242,Jeli,FALSE,0
653,xooo1239,!Xõo,FALSE,0
654,nisg1240,Nisgha,TRUE,4
655,gunw1252,Mayali,FALSE,0
668,yecu1235,Totonac (Misantla),TRUE,13
686,daha1245,Dahalo,FALSE,0
1397,ruka1240,Rukai,FALSE,0
2994,sanf1258,Huave (San Francisco del Mar),TRUE,5
2779,yele1255,Yelî Dnye,FALSE,0
192,movi1243,Movima,FALSE,0
551,leal1235,Chinantec (Lealao),FALSE,0
2564,thom1243,Thompson,TRUE,2
