LID,Glottocode,Language,HasClusivity,ClusivityType,HasClusivityAsPerson,HasClusivityWithMinimalNumberSystem
131,kima1246,Kimaama,FALSE,no i/e,FALSE,FALSE
133,kiri1256,Kirikiri,FALSE,no i/e,FALSE,FALSE
211,ngka1235,Ngkalmpw Knwme,FALSE,no i/e,FALSE,FALSE
14,alam1246,Alamblak,FALSE,no i/e,FALSE,FALSE
28,awtu1239,Awtuw,FALSE,no i/e,FALSE,FALSE
38,kuni1265,Boazi,FALSE,no i/e,FALSE,FALSE
103,yaga1260,Hua,FALSE,no i/e,FALSE,FALSE
130,west2599,Kewa,FALSE,no i/e,FALSE,FALSE
136,kobo1249,Kobon,FALSE,no i/e,FALSE,FALSE
138,komb1274,Kombai,FALSE,no i/e,FALSE,FALSE
345,salt1242,Salt-Yui,FALSE,no i/e,FALSE,FALSE
367,tauy1241,Tauya,FALSE,no i/e,FALSE,FALSE
370,tele1256,Telefol,FALSE,no i/e,FALSE,FALSE
403,wari1266,Waris,TRUE,plain i/e type,,
415,nini1235,retire_Yali,FALSE,no i/e,FALSE,FALSE
419,yess1239,Yessan-Mayo,FALSE,no i/e,FALSE,FALSE
420,yima1243,Yimas,FALSE,no i/e,FALSE,FALSE
93,gunw1252,Gunwinggu,TRUE,min/aug type,TRUE,TRUE
170,mull1237,Malak-Malak,TRUE,min/aug type,TRUE,TRUE
178,mari1424,Marrithiyel,TRUE,min/aug type,TRUE,TRUE
181,maun1240,Mawng,TRUE,plain i/e type,FALSE,FALSE
196,murr1258,Murrinh-patha,TRUE,plain i/e type,FALSE,FALSE
198,naka1260,Nakkara,TRUE,min/aug type,TRUE,TRUE
318,nung1290,Nunggubuyu,TRUE,plain i/e type,FALSE,FALSE
378,tiwi1244,Tiwi,TRUE,min/aug type,TRUE,TRUE
390,ngar1284,Ungarinjin,TRUE,plain i/e type,FALSE,FALSE
391,urad1238,Uradhi,TRUE,min/aug type,TRUE,TRUE
405,wand1263,Warndarang,TRUE,plain i/e type,FALSE,FALSE
424,gang1267,Yukulta,TRUE,plain i/e type,FALSE,FALSE
68,djin1251,Djingili,TRUE,plain i/e type,FALSE,FALSE
71,dyir1250,Dyirbal,FALSE,no i/e,FALSE,FALSE
84,gara1269,Garrwa,TRUE,plain i/e type,FALSE,FALSE
149,goon1238,Kuniyanti,TRUE,plain i/e type,FALSE,FALSE
173,mang1381,Mangarayi,TRUE,plain i/e type,FALSE,FALSE
179,mart1255,Martuthunira,TRUE,excl as person type,TRUE,FALSE
210,wang1291,Ngiyambaa,FALSE,no i/e,FALSE,FALSE
319,nyig1240,Nyigina,TRUE,plain i/e type,FALSE,FALSE
408,west2443,Wemba Wemba,TRUE,plain i/e type,FALSE,FALSE
416,yank1247,Yankunytjara,FALSE,no i/e,FALSE,FALSE
48,cham1312,Chamorro,TRUE,plain i/e type,FALSE,FALSE
70,dehu1237,Drehu,TRUE,plain i/e type,,
140,rapo1238,Konua,TRUE,excl as person type,TRUE,FALSE
191,siwa1245,Motuna,TRUE,plain i/e type,FALSE,FALSE
334,pohn1238,Ponapean,TRUE,plain i/e type,,
346,samo1305,Samoan,TRUE,plain i/e type,,
359,sulk1246,Sulka,FALSE,no i/e,FALSE,FALSE
432,coos1249,Hanis (Coos),TRUE,plain i/e type,FALSE,FALSE
88,gitx1241,Gitksan,FALSE,no i/e,FALSE,FALSE
95,sout2956,Haida,FALSE,no i/e,FALSE,FALSE
317,nuuc1236,Nuuchahnulth,FALSE,no i/e,FALSE,FALSE
338,quil1240,Quileute,FALSE,no i/e,FALSE,FALSE
442,sius1254,Siuslaw (Lower Umpqua),TRUE,excl as person type,TRUE,FALSE
357,squa1248,Squamish,FALSE,no i/e,FALSE,FALSE
363,take1257,Takelma,FALSE,no i/e,FALSE,FALSE
379,tlin1245,Tlingit,FALSE,no i/e,FALSE,FALSE
411,wasc1239,Wishram,TRUE,excl as person type,TRUE,FALSE
51,chim1301,Chimariko,TRUE,plain i/e type,FALSE,FALSE
63,kumi1248,Diegueño,FALSE,no i/e,FALSE,FALSE
72,east2545,Pomo (Eastern),FALSE,no i/e,FALSE,FALSE
113,ines1240,Ineseño,FALSE,no i/e,FALSE,FALSE
125,karo1304,Karok,FALSE,no i/e,FALSE,FALSE
166,luis1253,Luiseño,FALSE,no i/e,FALSE,FALSE
168,nort2952,Maidu (Northeast),FALSE,no i/e,FALSE,FALSE
344,sali1253,Salinan,FALSE,no i/e,FALSE,FALSE
351,shas1239,Shasta,FALSE,no i/e,FALSE,FALSE
356,sout2985,Miwok (Southern Sierra),TRUE,min/aug type,TRUE,TRUE
398,wapp1239,Wappo,FALSE,no i/e,FALSE,FALSE
409,wint1259,Wintu,TRUE,excl as person type,TRUE,FALSE
418,yoku1256,Yokuts (Yawelmani),TRUE,excl as person type,TRUE,FALSE
428,yuro1248,Yurok,FALSE,no i/e,FALSE,FALSE
10,west2632,Acoma,FALSE,no i/e,FALSE,FALSE
150,kute1249,Kutenai,FALSE,no i/e,FALSE,FALSE
204,nava1243,Navajo,FALSE,no i/e,FALSE,FALSE
328,toho1245,O’odham,FALSE,no i/e,FALSE,FALSE
441,utes1238,Paiute (Southern),TRUE,min/aug type,TRUE,TRUE
342,teni1238,Sahaptin,TRUE,min/aug type,TRUE,TRUE
406,wash1253,Washo,TRUE,plain i/e type,FALSE,FALSE
429,zuni1245,Zuni,FALSE,no i/e,FALSE,FALSE
132,kiow1266,Kiowa,FALSE,no i/e,FALSE,FALSE
156,lako1247,Lakhota,TRUE,min/aug type,TRUE,TRUE
331,pawn1254,Pawnee,TRUE,min/aug type,TRUE,TRUE
27,atak1252,Atakapa,FALSE,no i/e,FALSE,FALSE
53,chit1248,Chitimacha,FALSE,no i/e,FALSE,FALSE
54,choc1276,Choctaw,TRUE,plain i/e type,,
59,plai1258,Cree (Plains),TRUE,excl as person type,TRUE,FALSE
202,natc1249,Natchez,FALSE,no i/e,FALSE,FALSE
349,sene1264,Seneca,FALSE,no i/e,FALSE,FALSE
354,nort2942,Slave,FALSE,no i/e,FALSE,FALSE
377,timu1245,Timucua,FALSE,no i/e,FALSE,FALSE
382,tonk1249,Tonkawa,FALSE,no i/e,FALSE,FALSE
386,tuni1252,Tunica,FALSE,no i/e,FALSE,FALSE
422,yuch1247,Yuchi,TRUE,plain i/e type,FALSE,FALSE
50,chic1272,Chichimec,TRUE,plain i/e type,FALSE,FALSE
55,high1242,Chontal (Highland),FALSE,no i/e,FALSE,FALSE
106,sand1278,Huave,TRUE,min/aug type,TRUE,TRUE
184,misk1235,Miskito,TRUE,plain i/e type,FALSE,FALSE
185,mixe1286,Mixe,TRUE,excl as person type,TRUE,FALSE
186,sanm1295,Mixtec (Chalcatongo),TRUE,excl as person type,TRUE,FALSE
332,pipi1250,Pipil,FALSE,no i/e,FALSE,FALSE
365,pure1242,Tarascan,FALSE,no i/e,FALSE,FALSE
372,hueh1236,Tepehua (Huehuetla),TRUE,plain i/e type,,
388,tzut1248,Tzutujil,FALSE,no i/e,FALSE,FALSE
29,asha1243,Axininca Campa,TRUE,min/aug type,TRUE,TRUE
45,cash1254,Cashinahua,FALSE,no i/e,FALSE,FALSE
90,ngab1239,Guaymí,FALSE,no i/e,FALSE,FALSE
119,jaqa1244,Jaqaru,TRUE,min/aug type,TRUE,TRUE
176,mapu1245,Mapudungun,FALSE,no i/e,FALSE,FALSE
194,muin1242,Muinane,FALSE,no i/e,FALSE,FALSE
326,paez1247,Paez,FALSE,no i/e,FALSE,
104,hual1241,Quechua (Huallaga),TRUE,plain i/e type,FALSE,FALSE
339,resi1247,Resígaro,TRUE,plain i/e type,,
397,waor1240,Waorani,TRUE,min/aug type,TRUE,TRUE
414,yagu1244,Yagua,TRUE,plain i/e type,FALSE,FALSE
43,cane1242,Canela-Krahô,TRUE,min/aug type,TRUE,TRUE
47,cayu1262,Cayuvava,TRUE,excl as person type,TRUE,FALSE
89,para1311,Guaraní (Paraguayan),TRUE,plain i/e type,FALSE,FALSE
92,puel1244,Gününa-Küne,FALSE,no i/e,FALSE,FALSE
