LID,Glottocode,Language,HasGender,GenderCount,GenderCountBinned4
12,ainu1240,Ainu,FALSE,,
18,aleu1260,Aleut,FALSE,,
56,chuk1273,Chukchi,FALSE,,
527,even1259,Evenki,FALSE,,
116,itel1242,Itelmen,FALSE,,
118,nucl1643,Japanese,FALSE,,
141,kore1280,Korean,FALSE,,
201,nana1257,Nanai,FALSE,,
205,nene1249,Nenets (Tundra),FALSE,,
433,gily1242,Nivkh,FALSE,,
387,tuvi1240,Tuva,FALSE,,
612,cent2128,Yup’ik (Siberian),FALSE,,
6,ambu1247,Ambulas,TRUE,2,2
20,amel1241,Amele,FALSE,,
28,awtu1239,Awtuw,FALSE,,
33,bauz1241,Bauzi,FALSE,,
38,kuni1265,Boazi,TRUE,3,3
103,yaga1260,Hua,FALSE,,
109,iauu1242,Iau,FALSE,,
126,kate1253,Kâte,FALSE,,
130,west2599,Kewa,FALSE,,
131,kima1246,Kimaama,FALSE,,
133,kiri1256,Kirikiri,FALSE,,
134,nort2930,Kiwai,FALSE,,
136,kobo1249,Kobon,FALSE,,
138,komb1274,Kombai,FALSE,,
140,rapo1238,Konua,TRUE,2,2
550,lavu1241,Lavukaleve,TRUE,3,3
211,ngka1235,Ngkalmpw Knwme,FALSE,,
345,salt1242,Salt-Yui,FALSE,,
350,nucl1632,Sentani,FALSE,,
358,suen1241,Suena,FALSE,,
359,sulk1246,Sulka,FALSE,,
367,tauy1241,Tauya,FALSE,,
369,tehi1237,Tehit,TRUE,2,2
370,tele1256,Telefol,TRUE,2,2
393,usan1239,Usan,FALSE,,
407,wask1241,Waskia,FALSE,,
415,nini1235,retire_Yali,FALSE,,
419,yess1239,Yessan-Mayo,FALSE,,
620,arao1248,Araona,FALSE,,
469,awac1239,Awa Pit,FALSE,,
514,cent2142,Aymara,FALSE,,
43,cane1242,Canela-Krahô,FALSE,,
47,cayu1262,Cayuvava,FALSE,,
599,chay1248,Chayahuita,FALSE,,
89,para1311,Guaraní (Paraguayan),FALSE,,
92,puel1244,Gününa-Küne,FALSE,,
101,hixk1239,Hixkaryana,FALSE,,
104,hual1241,Quechua (Huallaga),FALSE,,
176,mapu1245,Mapudungun,FALSE,,
180,wich1263,Mataco,FALSE,,
329,paum1247,Paumarí,TRUE,2,2
333,pira1253,Pirahã,FALSE,,
567,ship1254,Shipibo-Konibo,FALSE,,
352,shua1257,Shuar,FALSE,,
399,wara1303,Warao,FALSE,,
576,wari1268,Wari,TRUE,3,3
9,achi1257,Acehnese,FALSE,,
35,belh1239,Belhare,FALSE,,
463,nucl1310,Burmese,FALSE,,
44,carn1240,Car,,3,3
154,haka1240,Hakka Lai,FALSE,,
99,hind1269,Hindi,TRUE,2,2
500,hmon1264,Hmong Njua,FALSE,,
225,lahu1253,Lahu,FALSE,,
171,mand1415,Mandarin,FALSE,,
197,naha1261,Nahali,FALSE,,
327,paiw1248,Paiwan,FALSE,,
362,taga1270,Tagalog,,,
374,thai1261,Thai,FALSE,,
375,tibe1272,Tibetan (Standard Spoken),FALSE,,
494,viet1252,Vietnamese,FALSE,,
51,chim1301,Chimariko,FALSE,,
63,kumi1248,Diegueño,FALSE,,
95,sout2956,Haida,FALSE,,
432,coos1249,Hanis (Coos),FALSE,,
113,ines1240,Ineseño,FALSE,,
125,karo1304,Karok,FALSE,,
168,nort2952,Maidu (Northeast),FALSE,,
317,nuuc1236,Nuuchahnulth,,,
72,east2545,Pomo (Eastern),FALSE,,
338,quil1240,Quileute,TRUE,2,2
344,sali1253,Salinan,FALSE,,
351,shas1239,Shasta,FALSE,,
442,sius1254,Siuslaw (Lower Umpqua),FALSE,,
356,sout2985,Miwok (Southern Sierra),FALSE,,
357,squa1248,Squamish,FALSE,,
363,take1257,Takelma,FALSE,,
379,tlin1245,Tlingit,FALSE,,
398,wapp1239,Wappo,FALSE,,
406,wash1253,Washo,FALSE,,
418,yoku1256,Yokuts (Yawelmani),FALSE,,
428,yuro1248,Yurok,FALSE,,
429,zuni1245,Zuni,FALSE,,
1739,kusu1250,Kusunda,FALSE,,
1397,ruka1240,Rukai,FALSE,,
1036,siks1238,Blackfoot,TRUE,2,2
534,iraq1241,Iraqw,TRUE,3,3
2974,mina1276,Mina,FALSE,,
15,akka1240,Akkadian,TRUE,2,2
606,naro1249,Nharo,TRUE,3,3
651,anii1246,//Ani,TRUE,3,3
385,shos1248,Tümpisa Shoshone,FALSE,,
412,wiyo1248,Wiyot,FALSE,,
1896,lele1276,Lele,TRUE,2,2
177,marg1265,Margi,FALSE,,
649,jeri1242,Jeli,FALSE,,
305,izon1238,Ijo,TRUE,3,3
553,luva1239,Luvale,TRUE,10,more
466,sang1328,Sango,TRUE,,
497,supy1237,Supyire,TRUE,8,more
226,sgaw1245,Karen (Sgaw),FALSE,,
459,isth1244,Zapotec (Isthmus),FALSE,,
551,leal1235,Chinantec (Lealao),TRUE,2,2
669,gras1249,Koiari,FALSE,,
61,lowe1415,Dani (Lower Grand Valley),FALSE,,
505,daga1275,Daga,FALSE,,
404,warl1254,Warlpiri,FALSE,,
159,lang1324,Lango,FALSE,,
1828,kuot1243,Kuot,TRUE,2,2
512,apur1254,Apurina,TRUE,2,2
400,wara1290,Waray,TRUE,3,3
2469,soqo1240,Soqotri,TRUE,2,2
564,rapa1244,Rapanui,FALSE,,
558,mund1320,Mundari,TRUE,2,2
535,nucl1305,Kannada,TRUE,3,3
566,seme1247,Semelai,FALSE,,
