LID,Glottocode,Language,MarkerPositionBinned4ForTAMPlus,MarkerPositionBinned4ForOperators,MarkerPositionBinned4ForValence,MarkerPositionBinned4ForInterClausal,MarkerPositionBinned4ForOther,MarkerPositionBinned4ForPragmatic,MarkerPositionBinned4ForNumber,MarkerPositionBinned4ForEvidential,MarkerPositionBinned4ForNPRelated,MarkerPositionBinned4ForClassification,MarkerPositionBinned4ForEventSpecs,MarkerPositionBinned4ForRole
17,tosk1239,Albanian,multiple,,,,,,,,,,,
690,mana1288,Manange,,prae,post,,,,,,,,,
664,west2420,Kham,multiple,prae,,,,,,,,,,
674,limb1266,Limbu,post,split,,,,,,,,,,
723,kham1282,Tibetan (Dege),multiple,prae,,,,in/simul,,,,,,
626,kinn1249,Kinnauri,post,post,,,,,,,,,,
685,klam1254,Klamath,post,,prae,,prae,,multiple,,,,post,
223,sout2729,Pumi,multiple,post,,,,post,,,,,,
468,east2773,Newar (Dolakha),post,prae,post,,,,,,,,,
434,west2414,Gurung,post,prae,,,,,,,,,,
169,mait1250,Maithili,post,,,,,post,,,,,,
632,wayu1241,Hayu,post,,,,,,,,,,,
724,east2347,Tamang (Eastern),post,prae,,,,,,,,,,
2826,darg1241,Dargi (standard),multiple,prae,post,,prae,prae,,post,,,,post
677,swed1254,Swedish,post,,post,,,,,,,,,
580,yidi1250,Yidiny,multiple,,post,,,post,,,,,,
2779,yele1255,Yelî Dnye,,,,,,,,,,,,
196,murr1258,Murrinh-patha,multiple,,post,,,,post,,,,,
69,nubi1251,Nubian (Dongolese),multiple,post,,,,,post,,,,,
387,tuvi1240,Tuva,post,post,post,,,,,,,,,
385,shos1248,Tümpisa Shoshone,multiple,post,,,,post,split,,,,,
2944,rabh1238,Rabha,post,post,,,,,,,,,,
177,marg1265,Margi,prae,post,,,,,,,,,,
1531,ghod1238,Godoberi,post,post,post,post,,,,,,,,
2949,darg1241,Dargi (Icari),multiple,prae,post,,prae,prae,post,post,,,,post
208,nezp1238,Nez Perce,post,,prae,,,,multiple,,,,,
192,movi1243,Movima,multiple,,multiple,,,,split,,,,,
392,urar1246,Urarina,post,,multiple,,,,post,,,,,
551,leal1235,Chinantec (Lealao),prae,,,,,,,,,,post,
50,chic1272,Chichimec,,,,,,,,,,,,
3101,assy1241,Neo-Aramaic (Barwar),multiple,prae,split,,,,,,,,,
2393,selk1253,Selkup,multiple,,post,,,,,,,,,
2564,thom1243,Thompson,multiple,,post,,,,post,,,,,post
678,bulg1262,Bulgarian,split,split,,,,,,,,,,
2330,poli1260,Polish,multiple,prae,post,,,,,,,,,
2447,slov1268,Slovene,multiple,prae,,,,,,,,,,
675,kaba1278,Circassian (East),multiple,prae,prae,,,prae,,post,,,,
3229,,Torlak Serbian,split,split,,,,,,,,,,
1890,lith1251,Lithuanian,post,,,,,,,,,,,
549,latv1249,Latvian,multiple,prae,post,,,,,,,,,
683,roma1327,Romanian,split,,split,,,,,,,,,
2471,croa1245,Serbian-Croatian,multiple,,,,,,,,,,,
2412,seri1257,Seri,prae,prae,prae,post,,prae,,post,,,,
2984,mian1256,Mian,post,post,,,,,,,,,,
656,koro1312,Korowai,multiple,in/simul,,post,,,,,,,,
84,gara1269,Garrwa,post,,post,,,,post,,,,,
419,yess1239,Yessan-Mayo,post,,,,,multiple,multiple,,,,,
1364,ngar1235,Bilinara,post,,,,,post,in/simul,,,,,
885,yane1238,Amuesha,post,post,multiple,,,post,post,,,,,
658,yany1243,Yanyuwa,multiple,,prae,,,,,,,,,
66,dhuw1249,Djapu,post,,post,,,,prae,,,,,
1772,gugu1255,Guugu Yimidhirr,post,,post,,,,,,,,,
1363,nang1259,Ngan'gityemerri,post,,,,,,multiple,,,,,
3240,ashe1272,Ashéninka Perené,multiple,post,multiple,,,post,post,post,,,post,
352,shua1257,Shuar,post,post,post,post,,,,,,,,
2050,moco1246,Mocoví,prae,prae,prae,,,,post,,,,post,
426,yura1255,Yurakare,multiple,,multiple,,,,post,post,,,post,
1385,sout2991,Quechua (Cochabamba),post,,post,,,post,post,,,,,
326,paez1247,Paez,post,post,,,,prae,,,,,,
2508,suab1238,Inanwatan,post,post,,,,,,,,,,
2951,kara1500,Karajá,post,post,prae,,,prae,post,,,,,
2900,aves1237,Avestan,post,,post,,,,,,,,,
2726,wels1247,Welsh,,,,,,,,,,,,
2456,sinh1246,Sinhala,post,,in/simul,post,,post,,,,,,
1067,bret1244,Breton,post,,,,,,,,,,,
2832,goth1244,Gothic,post,,in/simul,,,,,,,,,
2856,oldn1244,Old Norse,multiple,split,post,,,,,,,,,
2514,tapi1253,Tapiete,multiple,post,multiple,post,,,,post,,,,
110,icel1247,Icelandic,post,,,,,,,,,,,
633,kash1277,Kashmiri,post,,post,,,,,,,,,
3243,nort2646,Pashto (Northern),multiple,prae,,,,,,,,,,
100,hitt1242,Hittite,post,,,,,,,,,,,
2831,anci1242,Greek (Ancient),multiple,,,,,,,,,,,
2833,olde1238,English (Old),split,,,,,,,,,,,
641,oriy1255,Oriya,post,post,post,,,,,,,,,
844,afri1274,Afrikaans,prae,,,,,,,,,,,
2854,oldh1241,High German (Old),post,,,,,,,,,,,
2855,olds1250,Old Saxon,post,,,,,,,,,,,
699,sans1269,Sanskrit,split,,,,,,,,,,,
2360,caml1239,Camling,post,split,,post,,,,,,,,
672,jing1260,Jingpho,post,prae,,,,,,,,,,
3278,tsho1240,Tshobdun,prae,prae,,,,,,,,,,prae
1694,japh1234,Jiarong,multiple,prae,,,,post,,,,,,
552,lepc1244,Lepcha,post,in/simul,,,,,,,,,,
691,tibe1272,Tibetan (Lhasa),post,prae,,,,in/simul,,,,,,
2617,tsha1245,Tshangla,post,prae,,,,,,,,,,
975,bard1255,Bardi,multiple,,multiple,post,,,in/simul,,,,,
