LID,Glottocode,Language,MarkerHasPostposedExponentForTAM,MarkerHasPostposedExponentForPolarity,MarkerHasPostposedExponentForVoice,MarkerHasPostposedExponentForMood,MarkerHasPostposedExponentForValence,MarkerHasPostposedExponentForAktionsart,MarkerHasPostposedExponentForConnective,MarkerHasPostposedExponentForSemistem,MarkerHasPostposedExponentForReferential,MarkerHasPostposedExponentForCausative,MarkerHasPostposedExponentForAspect,MarkerHasPostposedExponentForTM,MarkerHasPostposedExponentForDeixis,MarkerHasPostposedExponentForMSE,MarkerHasPostposedExponentForQuantificational,MarkerHasPostposedExponentForMA,MarkerHasPostposedExponentForTense,MarkerHasPostposedExponentForTA,MarkerHasPostposedExponentForPotentialis,MarkerHasPostposedExponentForApplicative,MarkerHasPostposedExponentForNumber,MarkerHasPostposedExponentForReflexiveAndReciprocal,MarkerHasPostposedExponentForVersion,MarkerHasPostposedExponentForIllocution,MarkerHasPostposedExponentForMTN,MarkerHasPostposedExponentForStatus,MarkerHasPostposedExponentForEvidential,MarkerHasPostposedExponentForConstruct,MarkerHasPostposedExponentForNominalizer,MarkerHasPostposedExponentForHonorificity,MarkerHasPostposedExponentForFocus,MarkerHasPostposedExponentForSwitchReference,MarkerHasPostposedExponentForSymmetricalVoice,MarkerHasPostposedExponentForRECIP,MarkerHasPostposedExponentForTE,MarkerHasPostposedExponentForReflexive,MarkerHasPostposedExponentForClassifier,MarkerHasPostposedExponentForME,MarkerHasPostposedExponentForRepetition,MarkerHasPostposedExponentForSpatial,MarkerHasPostposedExponentForMotion,MarkerHasPostposedExponentForModality,MarkerHasPostposedExponentForDirection,MarkerHasPostposedExponentForPosterior,MarkerHasPostposedExponentForControl,MarkerHasPostposedExponentForQuotative,MarkerHasPostposedExponentForReversative,MarkerHasPostposedExponentForAffect,MarkerHasPostposedExponentForAE,MarkerHasPostposedExponentForTAME,MarkerHasPostposedExponentForConditional,MarkerHasPostposedExponentForPossessor,MarkerHasPostposedExponentForTAE,MarkerHasPostposedExponentForTN
2984,mian1256,Mian,TRUE,TRUE,,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,koro1312,Korowai,,FALSE,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
84,gara1269,Garrwa,,,,,,,,,,TRUE,,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,yess1239,Yessan-Mayo,,,,,,,,,,,TRUE,,TRUE,,FALSE,,,TRUE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
1364,ngar1235,Bilinara,TRUE,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,yane1238,Amuesha,,TRUE,,,,,,,,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,yany1243,Yanyuwa,TRUE,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,dhuw1249,Djapu,TRUE,,,,,,,,,TRUE,,,,,FALSE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,gugu1255,Guugu Yimidhirr,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,nang1259,Ngan'gityemerri,TRUE,,,,,,,,,,,,,,FALSE,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3240,ashe1272,Ashéninka Perené,,TRUE,,,,,,,TRUE,FALSE,,,,,TRUE,,TRUE,,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
352,shua1257,Shuar,,TRUE,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
2050,moco1246,Mocoví,,FALSE,FALSE,,,FALSE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,
426,yura1255,Yurakare,,,TRUE,,,,,,,,TRUE,,,TRUE,TRUE,,,,,FALSE,,FALSE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,
1385,sout2991,Quechua (Cochabamba),,,,,,TRUE,,,,,,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
326,paez1247,Paez,,TRUE,,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,
2508,suab1238,Inanwatan,,TRUE,,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2951,kara1500,Karajá,,TRUE,FALSE,,FALSE,,,,,,,,FALSE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
2900,aves1237,Avestan,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726,wels1247,Welsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,sinh1246,Sinhala,,,,TRUE,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
1067,bret1244,Breton,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2832,goth1244,Gothic,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2856,oldn1244,Old Norse,,TRUE,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
2514,tapi1253,Tapiete,,TRUE,,FALSE,,,TRUE,,,TRUE,TRUE,,,,,,TRUE,,,,,,,TRUE,,,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
110,icel1247,Icelandic,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,kash1277,Kashmiri,,,,TRUE,,,,,,TRUE,TRUE,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3243,nort2646,Pashto (Northern),,FALSE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,hitt1242,Hittite,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2831,anci1242,Greek (Ancient),,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2833,olde1238,English (Old),,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,oriy1255,Oriya,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,afri1274,Afrikaans,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2854,oldh1241,High German (Old),,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2855,olds1250,Old Saxon,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,sans1269,Sanskrit,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360,caml1239,Camling,,FALSE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,jing1260,Jingpho,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3278,tsho1240,Tshobdun,,FALSE,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,
1694,japh1234,Jiarong,,FALSE,,,,FALSE,,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
552,lepc1244,Lepcha,,FALSE,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,tibe1272,Tibetan (Lhasa),,FALSE,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,
2617,tsha1245,Tshangla,TRUE,FALSE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
975,bard1255,Bardi,,,,,FALSE,TRUE,TRUE,,,,,,,,,,FALSE,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
3312,west2368,Balochi (Western),,FALSE,,,,,,,,,,,,,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716,uppe1395,Sorbian (Upper),,FALSE,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2916,wakh1245,Wakhi,,FALSE,,,,,,,,TRUE,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2893,lati1261,Latin,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1395,vlax1238,Romani (Vlax),,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3213,oldi1245,Irish (Old),TRUE,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,dutc1256,Dutch,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,faro1244,Faroese,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399,dara1250,Darai,TRUE,,,FALSE,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987,jams1239,Dogon (Jamsay),,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3239,atin1240,Laz (Pazar),,,,,,,,,,TRUE,TRUE,,FALSE,,,,TRUE,,,,TRUE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
1964,male1284,Maale,,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,cupe1243,Cupeño,,,,,,,,,,,TRUE,,,,FALSE,,,TRUE,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,lowl1265,Rarámuri,TRUE,,TRUE,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,
3313,tang1334,Tangut,,FALSE,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,karb1241,Mikir,,TRUE,,TRUE,,,,,,FALSE,TRUE,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,
2180,rong1266,Rongmei Naga,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
3315,anuu1241,Hkongso,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,cora1260,Cora,,,TRUE,,,TRUE,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,TRUE,TRUE,,,,,,,,,,,,
368,tawa1275,Tawala,,,,,,,,,,,FALSE,,TRUE,,,,FALSE,,,,,,,,,FALSE,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
68,djin1251,Djingili,,,,,,,,FALSE,,,,,TRUE,,,,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2196,narp1239,Nar-Phu,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2871,nort2732,Northern Tujia,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,pwoe1235,Karen (Pwo),,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,lisu1250,Lisu,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2873,bant1281,Bantawa,,FALSE,,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3032,aton1241,Atong,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,gahr1239,Bunan,,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,chep1245,Chepang,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3326,situ1238,Jiǎomùzú,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,nung1282,Anong,,,,,,,,,,,TRUE,,FALSE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,
767,galo1242,Gallong,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
2563,than1259,Thangmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3298,mong1332,Mongsen Khari,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
1317,dhim1246,Dhimal,,FALSE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3318,kurt1248,Kurtokha,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,raji1240,Raji,,TRUE,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,tang1336,Naga (Tangkhul),,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376,tase1235,Jugli,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662,yaku1245,Yakut,TRUE,TRUE,TRUE,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
18,aleu1260,Aleut,TRUE,,TRUE,,,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
2657,udih1248,Udihe,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
730,thak1245,Thakali,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,esto1258,Estonian,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,
3301,yong1270,Yongning Na,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388,darm1243,Darmiya,,FALSE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,kild1236,Saami (Kildin),TRUE,FALSE,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,shek1245,Sheko,,,TRUE,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,
3173,sida1246,Sidaama,,FALSE,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
2936,phal1254,Palula,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,sout2674,Saami (South),TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,pite1240,Saami (Pite),,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,byan1241,Byangsi,,TRUE,TRUE,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,amdo1237,Amdo,TRUE,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,kulu1253,Kulung,,FALSE,,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,khal1275,Khaling,,FALSE,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3272,zaiw1241,Zaiwa,,FALSE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,rong1264,Rongpo,,FALSE,TRUE,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,lush1249,Mizo (Lushai),,TRUE,,,,,,,,,,,FALSE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2824,clas1254,Tibetan (Classical),,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,thul1246,Thulung (Mukli),,FALSE,,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
3331,guan1266,Khroskyabs,,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
2862,chhi1245,Chintang,TRUE,TRUE,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
