LID,Glottocode,Language,MarkerHasPostposedExponentForADefault,MarkerHasPostposedExponentForUDefault,MarkerHasPostposedExponentForSDefault,MarkerHasPostposedExponentForBDefault,MarkerHasPostposedExponentForPOSSDefault,MarkerHasPostposedExponentForARGNom,MarkerHasPostposedExponentForOAdp,MarkerHasPostposedExponentForAFF,MarkerHasPostposedExponentForTDefault,MarkerHasPostposedExponentForIDefault,MarkerHasPostposedExponentForGDefault,MarkerHasPostposedExponentForCore,MarkerHasPostposedExponentForPat,MarkerHasPostposedExponentForUBDefault
2949,darg1241,Dargi (Icari),FALSE,FALSE,,,,,,,,,,,,
208,nezp1238,Nez Perce,FALSE,FALSE,,,,,,,,,,,,
192,movi1243,Movima,TRUE,,,,,,,,,,,,,
392,urar1246,Urarina,TRUE,,,,,,,,,,,,,
551,leal1235,Chinantec (Lealao),FALSE,,,,,,,,,,,,,
50,chic1272,Chichimec,FALSE,TRUE,,,,,,,,,,,,
3101,assy1241,Neo-Aramaic (Barwar),TRUE,TRUE,,,,,,,,,,,,
2393,selk1253,Selkup,TRUE,TRUE,,,,,,,,,,,,
2564,thom1243,Thompson,TRUE,TRUE,,,,,,,,,,,,
678,bulg1262,Bulgarian,TRUE,FALSE,,FALSE,,,,,,,,,,
2330,poli1260,Polish,TRUE,,,,,,,,,,,,,
2447,slov1268,Slovene,TRUE,,,,,,,,,,,,,
675,kaba1278,Circassian (East),FALSE,FALSE,,FALSE,,,,,,,,,,
3229,,Torlak Serbian,TRUE,FALSE,,FALSE,,,,,,,,,,
1890,lith1251,Lithuanian,TRUE,,,,,,,,,,,,,
549,latv1249,Latvian,TRUE,,,,,,,,,,,,,
683,roma1327,Romanian,TRUE,FALSE,,FALSE,,,,,,,,,,
2471,croa1245,Serbian-Croatian,TRUE,,,,,,,,,,,,,
2412,seri1257,Seri,FALSE,FALSE,,,,,,,,,FALSE,,,
2984,mian1256,Mian,TRUE,FALSE,,TRUE,,,,,,,,,,
656,koro1312,Korowai,TRUE,,,,,,,,,,,,,
1364,ngar1235,Bilinara,,,,,,,,,,,,,,
885,yane1238,Amuesha,FALSE,TRUE,,,,,,,,,,,,
658,yany1243,Yanyuwa,FALSE,FALSE,,,,,,,,,,,,
1363,nang1259,Ngan'gityemerri,FALSE,TRUE,,TRUE,,,,,,,,,,
3240,ashe1272,Ashéninka Perené,FALSE,TRUE,,,,,,,,,,,,
352,shua1257,Shuar,TRUE,TRUE,,,,,,,,,,,,
2050,moco1246,Mocoví,TRUE,TRUE,,,,,,,,,,,,
426,yura1255,Yurakare,TRUE,FALSE,,FALSE,,,,,,,,,,
1385,sout2991,Quechua (Cochabamba),TRUE,TRUE,,,,,,,,,,,,
326,paez1247,Paez,TRUE,,,,,,,,,,,,,
2508,suab1238,Inanwatan,FALSE,,,,,,,,,,,,,
2951,kara1500,Karajá,FALSE,FALSE,,,,,,,,,,,,
2900,aves1237,Avestan,TRUE,,,,,,,,,,,,,
2726,wels1247,Welsh,,,,,,,,,,,,,,
1067,bret1244,Breton,TRUE,,,,,,,,,,,,,
2832,goth1244,Gothic,TRUE,,,,,,,,,,,,,
2856,oldn1244,Old Norse,TRUE,,,,,,,,,,,,,
2514,tapi1253,Tapiete,FALSE,FALSE,,,,,,,,,,,,
110,icel1247,Icelandic,TRUE,,,,,,,,,,,,,
633,kash1277,Kashmiri,TRUE,TRUE,,TRUE,,,,,,,,,,
3243,nort2646,Pashto (Northern),,,,,,,,,,,,TRUE,,
100,hitt1242,Hittite,TRUE,,,,,,,,,,,,,
2831,anci1242,Greek (Ancient),TRUE,,,,,,,,,,,,,
2833,olde1238,English (Old),TRUE,,,,,,,,,,,,,
641,oriy1255,Oriya,TRUE,,,,,,,,,,,,,
2854,oldh1241,High German (Old),TRUE,,,,,,,,,,,,,
2855,olds1250,Old Saxon,TRUE,,,,,,,,,,,,,
699,sans1269,Sanskrit,TRUE,,,,,,,,,,,,,
2360,caml1239,Camling,TRUE,TRUE,,,,,,,,,,,,
3278,tsho1240,Tshobdun,TRUE,FALSE,,,,,,,,,,,,
1694,japh1234,Jiarong,TRUE,TRUE,,,,,,,,,,,,
691,tibe1272,Tibetan (Lhasa),TRUE,,,,,,,,,,,,,
975,bard1255,Bardi,FALSE,TRUE,,TRUE,TRUE,,,,,,,,,
3312,west2368,Balochi (Western),TRUE,,,,,,,,,,,,,
2716,uppe1395,Sorbian (Upper),TRUE,,,,,,,,,,,,,
2916,wakh1245,Wakhi,,,,,,,,,,,,,,
2893,lati1261,Latin,TRUE,,,,,,,,,,,,,
1395,vlax1238,Romani (Vlax),TRUE,,,,,,,,,,,,,
3213,oldi1245,Irish (Old),TRUE,TRUE,,TRUE,,,,,,,,,,
1440,dutc1256,Dutch,TRUE,,,,,,,,,,,,,
710,faro1244,Faroese,TRUE,,,,,,,,,,,,,
1399,dara1250,Darai,TRUE,TRUE,,TRUE,,,,,,,,,,
2987,jams1239,Dogon (Jamsay),TRUE,,,,,,,,,,,,,
3239,atin1240,Laz (Pazar),TRUE,FALSE,,,,,,,,,,,,
1203,cupe1243,Cupeño,TRUE,,,,,,,,,,,,TRUE,
689,lowl1265,Rarámuri,TRUE,,,,,,,,,,,,,
3313,tang1334,Tangut,,TRUE,,TRUE,,,,,,,,,,
2020,karb1241,Mikir,,FALSE,,FALSE,,,,,,,,,,
688,cora1260,Cora,FALSE,FALSE,,,,,,,,,,,,
368,tawa1275,Tawala,FALSE,TRUE,,,,,,,,,,,,
68,djin1251,Djingili,FALSE,FALSE,,,,,,,,,,,,
2873,bant1281,Bantawa,TRUE,FALSE,,,,,,,,,,,,
1004,gahr1239,Bunan,TRUE,TRUE,,,,,,,,,,,,
1130,chep1245,Chepang,TRUE,,,,,,,,,,,,,TRUE
3326,situ1238,Jiǎomùzú,FALSE,TRUE,,,,,,,,,,,,
2217,nung1282,Anong,TRUE,TRUE,,,,,,,,,,,,
2563,than1259,Thangmi,TRUE,TRUE,,,,,,,,,,,,
1317,dhim1246,Dhimal,TRUE,TRUE,,,,,,,,,,,,
735,raji1240,Raji,TRUE,TRUE,,,,,,,,,,,,
1376,tase1235,Jugli,TRUE,TRUE,,,,,,,,,,,,
2662,yaku1245,Yakut,TRUE,,,,,,,,,,,,,
18,aleu1260,Aleut,TRUE,TRUE,,,,,,,,,,,,
2657,udih1248,Udihe,TRUE,,,,,,,,,,,,,
1480,esto1258,Estonian,FALSE,,,,,,,,,,,,,
1388,darm1243,Darmiya,TRUE,,,,,,,,,,,,,
709,kild1236,Saami (Kildin),FALSE,,,,,,,,,,,,,
3006,shek1245,Sheko,TRUE,,,,,,,,,,,,,
3173,sida1246,Sidaama,TRUE,TRUE,,,,,,,,,,,,
2936,phal1254,Palula,TRUE,,,,,,,,,,,,,
701,sout2674,Saami (South),TRUE,,,,,,,,,,,,,
703,pite1240,Saami (Pite),TRUE,,,,,,,,,,,,,
628,byan1241,Byangsi,TRUE,,,,,,,,,,,,,
838,amdo1237,Amdo,TRUE,,,,,,,,,,,,,
1775,kulu1253,Kulung,TRUE,TRUE,,,,,,,,,,,,
1778,khal1275,Khaling,TRUE,TRUE,,,,,,,,,,,,
3272,zaiw1241,Zaiwa,TRUE,,,,,,,,,,,,,
786,rong1264,Rongpo,TRUE,,,,,,,,,,,,,
1914,lush1249,Mizo (Lushai),TRUE,TRUE,,,,,,,,,,,,
667,thul1246,Thulung (Mukli),TRUE,TRUE,,,,,,,,,,,,
3331,guan1266,Khroskyabs,FALSE,FALSE,,,,,,,,,,,,
2862,chhi1245,Chintang,TRUE,TRUE,,,,,,,,,,,,
