LID,Glottocode,Language,MarkerHasMultipleExponentsForADefault,MarkerHasMultipleExponentsForUDefault,MarkerHasMultipleExponentsForSDefault,MarkerHasMultipleExponentsForBDefault,MarkerHasMultipleExponentsForPOSSDefault,MarkerHasMultipleExponentsForARGNom,MarkerHasMultipleExponentsForOAdp,MarkerHasMultipleExponentsForAFF,MarkerHasMultipleExponentsForTDefault,MarkerHasMultipleExponentsForIDefault,MarkerHasMultipleExponentsForGDefault,MarkerHasMultipleExponentsForCore,MarkerHasMultipleExponentsForPat,MarkerHasMultipleExponentsForUBDefault
2949,darg1241,Dargi (Icari),FALSE,FALSE,,,,,,,,,,,,
208,nezp1238,Nez Perce,FALSE,FALSE,,,,,,,,,,,,
192,movi1243,Movima,FALSE,,,,,,,,,,,,,
392,urar1246,Urarina,FALSE,,,,,,,,,,,,,
551,leal1235,Chinantec (Lealao),FALSE,FALSE,,,,,,,,,,,,
50,chic1272,Chichimec,FALSE,FALSE,,,,,,,,,,,,
3101,assy1241,Neo-Aramaic (Barwar),FALSE,FALSE,,,,,,,,,,,,
2393,selk1253,Selkup,FALSE,FALSE,,,,,,,,,,,,
2564,thom1243,Thompson,FALSE,FALSE,,,,,,,,,,,,
678,bulg1262,Bulgarian,FALSE,FALSE,,FALSE,,,,,,,,,,
2330,poli1260,Polish,FALSE,,,,,,,,,,,,,
2447,slov1268,Slovene,FALSE,,,,,,,,,,,,,
675,kaba1278,Circassian (East),FALSE,FALSE,,FALSE,,,,,,,,,,
3229,NA,Torlak Serbian,FALSE,FALSE,,FALSE,,,,,,,,,,
1890,lith1251,Lithuanian,FALSE,,,,,,,,,,,,,
549,latv1249,Latvian,FALSE,,,,,,,,,,,,,
683,roma1327,Romanian,FALSE,FALSE,,FALSE,,,,,,,,,,
2471,croa1245,Serbian-Croatian,FALSE,,,,,,,,,,,,,
2412,seri1257,Seri,FALSE,FALSE,,,,,,,,,FALSE,,,
2984,mian1256,Mian,FALSE,FALSE,,FALSE,,,,,,,,,,
656,koro1312,Korowai,FALSE,,,,,,,,,,,,,
1364,ngar1235,Bilinara,,,,,,,,,,,,,,
885,yane1238,Amuesha,FALSE,FALSE,,,,,,,,,,,,
658,yany1243,Yanyuwa,FALSE,FALSE,,,,,,,,,,,,
1363,nang1259,Ngan'gityemerri,FALSE,FALSE,,FALSE,,,,,,,,,,
3240,ashe1272,Ashéninka Perené,FALSE,FALSE,,,,,,,,,,,,
352,shua1257,Shuar,FALSE,FALSE,,,,,,,,,,,,
2050,moco1246,Mocoví,FALSE,FALSE,,,,,,,,,,,,
426,yura1255,Yurakare,FALSE,FALSE,,FALSE,,,,,,,,,,
1385,sout2991,Quechua (Cochabamba),FALSE,FALSE,,,,,,,,,,,,
326,paez1247,Paez,FALSE,,,,,,,,,,,,,
2508,suab1238,Inanwatan,FALSE,,,,,,,,,,,,,
2951,kara1500,Karajá,FALSE,FALSE,,,,,,,,,,,,
2900,aves1237,Avestan,FALSE,,,,,,,,,,,,,
2726,wels1247,Welsh,,,,,,,,,,,,,,
1067,bret1244,Breton,FALSE,,,,,,,,,,,,,
2832,goth1244,Gothic,FALSE,,,,,,,,,,,,,
2856,oldn1244,Old Norse,FALSE,,,,,,,,,,,,,
2514,tapi1253,Tapiete,FALSE,FALSE,,,,,,,,,,,,
110,icel1247,Icelandic,FALSE,,,,,,,,,,,,,
633,kash1277,Kashmiri,FALSE,FALSE,,FALSE,,,,,,,,,,
3243,nort2646,Pashto (Northern),,,,,,,,,,,,FALSE,,
100,hitt1242,Hittite,FALSE,,,,,,,,,,,,,
2831,anci1242,Greek (Ancient),FALSE,,,,,,,,,,,,,
2833,olde1238,English (Old),FALSE,,,,,,,,,,,,,
641,oriy1255,Oriya,FALSE,,,,,,,,,,,,,
2854,oldh1241,High German (Old),FALSE,,,,,,,,,,,,,
2855,olds1250,Old Saxon,FALSE,,,,,,,,,,,,,
699,sans1269,Sanskrit,FALSE,,,,,,,,,,,,,
2360,caml1239,Camling,FALSE,FALSE,,,,,,,,,,,,
3278,tsho1240,Tshobdun,FALSE,FALSE,,,,,,,,,,,,
1694,japh1234,Jiarong,TRUE,FALSE,,,,,,,,,,,,
691,tibe1272,Tibetan (Lhasa),FALSE,,,,,,,,,,,,,
975,bard1255,Bardi,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,
3312,west2368,Balochi (Western),FALSE,,,,,,,,,,,,,
2716,uppe1395,Sorbian (Upper),FALSE,,,,,,,,,,,,,
2916,wakh1245,Wakhi,,,,,,,,,,,,,,
2893,lati1261,Latin,FALSE,,,,,,,,,,,,,
1395,vlax1238,Romani (Vlax),FALSE,,,,,,,,,,,,,
3213,oldi1245,Irish (Old),FALSE,FALSE,,FALSE,,,,,,,,,,
1440,dutc1256,Dutch,FALSE,,,,,,,,,,,,,
710,faro1244,Faroese,FALSE,,,,,,,,,,,,,
1399,dara1250,Darai,FALSE,FALSE,,FALSE,,,,,,,,,,
2987,jams1239,Dogon (Jamsay),FALSE,,,,,,,,,,,,,
3239,atin1240,Laz (Pazar),FALSE,FALSE,,,,,,,,,,,,
1203,cupe1243,Cupeño,FALSE,,,,,,,,,,,,FALSE,
689,lowl1265,Rarámuri,FALSE,,,,,,,,,,,,,
3313,tang1334,Tangut,FALSE,FALSE,,FALSE,,,,,,,,,,
2020,karb1241,Mikir,,FALSE,,FALSE,,,,,,,,,,
688,cora1260,Cora,FALSE,FALSE,,,,,,,,,,,,
368,tawa1275,Tawala,FALSE,FALSE,,,,,,,,,,,,
68,djin1251,Djingili,FALSE,FALSE,,,,,,,,,,,,
2873,bant1281,Bantawa,FALSE,FALSE,,,,,,,,,,,,
1004,gahr1239,Bunan,FALSE,FALSE,,,,,,,,,,,,
1130,chep1245,Chepang,FALSE,,,,,,,,,,,,,FALSE
3326,situ1238,Jiǎomùzú,FALSE,FALSE,,,,,,,,,,,,
2217,nung1282,Anong,TRUE,TRUE,,,,,,,,,,,,
2563,than1259,Thangmi,FALSE,FALSE,,,,,,,,,,,,
1317,dhim1246,Dhimal,FALSE,FALSE,,,,,,,,,,,,
735,raji1240,Raji,FALSE,FALSE,,,,,,,,,,,,
1376,tase1235,Jugli,FALSE,FALSE,,,,,,,,,,,,
2662,yaku1245,Yakut,FALSE,,,,,,,,,,,,,
18,aleu1260,Aleut,FALSE,FALSE,,,,,,,,,,,,
2657,udih1248,Udihe,FALSE,,,,,,,,,,,,,
1480,esto1258,Estonian,FALSE,,,,,,,,,,,,,
1388,darm1243,Darmiya,FALSE,,,,,,,,,,,,,
709,kild1236,Saami (Kildin),FALSE,,,,,,,,,,,,,
3006,shek1245,Sheko,FALSE,,,,,,,,,,,,,
3173,sida1246,Sidaama,FALSE,FALSE,,,,,,,,,,,,
2936,phal1254,Palula,FALSE,,,,,,,,,,,,,
701,sout2674,Saami (South),FALSE,,,,,,,,,,,,,
703,pite1240,Saami (Pite),FALSE,,,,,,,,,,,,,
628,byan1241,Byangsi,FALSE,,,,,,,,,,,,,
838,amdo1237,Amdo,FALSE,,,,,,,,,,,,,
1775,kulu1253,Kulung,FALSE,FALSE,,,,,,,,,,,,
1778,khal1275,Khaling,FALSE,FALSE,,,,,,,,,,,,
3272,zaiw1241,Zaiwa,FALSE,,,,,,,,,,,,,
786,rong1264,Rongpo,FALSE,,,,,,,,,,,,,
1914,lush1249,Mizo (Lushai),FALSE,FALSE,,,,,,,,,,,,
667,thul1246,Thulung (Mukli),FALSE,FALSE,,,,,,,,,,,,
3331,guan1266,Khroskyabs,FALSE,FALSE,,,,,,,,,,,,
2862,chhi1245,Chintang,FALSE,FALSE,,,,,,,,,,,,
