LID,Glottocode,Language,CaseMarkerMorphemeType,TenseMarkerMorphemeType,NegationMarkerMorphemeType,NounPluralMarkerMorphemeType,CaseMarkerIsPersonPortmanteau,TenseMarkerIsPersonPortmanteau,NegationMarkerIsPersonPortmanteau,NounPluralMarkerIsPersonPortmanteau,CaseMarkerHostRestriction,TenseMarkerHostRestriction,NegationMarkerHostRestriction,NounPluralMarkerHostRestriction,CaseMarkerFusion,TenseMarkerFusion,NegationMarkerFusion,NounPluralMarkerFusion,CaseMarkerFusionBinned6,TenseMarkerFusionBinned6,NegationMarkerFusionBinned6,NounPluralMarkerFusionBinned6,CaseMarkerFusionIsIsolating,TenseMarkerFusionIsIsolating,NegationMarkerFusionIsIsolating,NounPluralMarkerFusionIsIsolating,CaseMarkerFusionIsNonlinear,TenseMarkerFusionIsNonlinear,NegationMarkerFusionIsNonlinear,NounPluralMarkerFusionIsNonlinear,CaseMarkerFusionIsReduplicative,TenseMarkerFusionIsReduplicative,NegationMarkerFusionIsReduplicative,NounPluralMarkerFusionIsReduplicative,CaseMarkerFusionIsTonal,TenseMarkerFusionIsTonal,NegationMarkerFusionIsTonal,NounPluralMarkerFusionIsTonal,CaseMarkerStemFlexivity,TenseMarkerStemFlexivity,NegationMarkerStemFlexivity,NounPluralMarkerStemFlexivity,CaseMarkerFormativeFlexivity,TenseMarkerFormativeFlexivity,NegationMarkerFormativeFlexivity,NounPluralMarkerFormativeFlexivity,CaseMarkerPosition,TenseMarkerPosition,NegationMarkerPosition,NounPluralMarkerPosition,CaseMarkerPositionBinned4,TenseMarkerPositionBinned4,NegationMarkerPositionBinned4,NounPluralMarkerPositionBinned4,CaseMarkerPositionBinned5,TenseMarkerPositionBinned5,NegationMarkerPositionBinned5,NounPluralMarkerPositionBinned5,CaseMarkerHasPreposedExponent,TenseMarkerHasPreposedExponent,NegationMarkerHasPreposedExponent,NounPluralMarkerHasPreposedExponent,CaseMarkerHasPreposedDefaultExponent,TenseMarkerHasPreposedDefaultExponent,NegationMarkerHasPreposedDefaultExponent,NounPluralMarkerHasPreposedDefaultExponent,CaseMarkerHasPostposedExponent,TenseMarkerHasPostposedExponent,NegationMarkerHasPostposedExponent,NounPluralMarkerHasPostposedExponent,CaseMarkerHasMultipleExponents,TenseMarkerHasMultipleExponents,NegationMarkerHasMultipleExponents,NounPluralMarkerHasMultipleExponents,CaseMarkerHasMultipleDefaultExponents,TenseMarkerHasMultipleDefaultExponents,NegationMarkerHasMultipleDefaultExponents,NounPluralMarkerHasMultipleDefaultExponents,CaseMarkerBehavior,TenseMarkerBehavior,NegationMarkerBehavior,NounPluralMarkerBehavior,CaseMarkerBehaviorBinned4,TenseMarkerBehaviorBinned4,NegationMarkerBehaviorBinned4,NounPluralMarkerBehaviorBinned4,CaseMarkerBehaviorIsSpreading,TenseMarkerBehaviorIsSpreading,NegationMarkerBehaviorIsSpreading,NounPluralMarkerBehaviorIsSpreading,CaseMarkerExpressedCategoriesCount,TenseMarkerExpressedCategoriesCount,NegationMarkerExpressedCategoriesCount,NounPluralMarkerExpressedCategoriesCount,CaseMarkerExpressesMultipleCategories,TenseMarkerExpressesMultipleCategories,NegationMarkerExpressesMultipleCategories,NounPluralMarkerExpressesMultipleCategories
175,maor1246,Maori,formative,formative,,,FALSE,FALSE,,,,restricted,,,isolating,concatenative,,,isolating,concatenative,,,TRUE,FALSE,,,TRUE,TRUE,,,FALSE,FALSE,,,FALSE,FALSE,,,none,none,,,none,none,,,prae,prae,,,prae,prae,,,prae,prae,,,TRUE,TRUE,,,TRUE,TRUE,,,FALSE,FALSE,,,FALSE,FALSE,,,FALSE,FALSE,,,initial,inert,,,initial,,,,FALSE,FALSE,,,1,1,,,FALSE,FALSE,,
128,kaya1319,Kayardild,formative,formative,formative,,FALSE,FALSE,FALSE,FALSE,,,restricted,,concatenative,concatenative,concatenative,reduplicative,concatenative,concatenative,concatenative,reduplicative,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,none,,,,none,,post,,post,,post,,post,,post,,post,,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,stacking,,inert,,spreading,,,,TRUE,,FALSE,,2,2,2,1,TRUE,TRUE,TRUE,FALSE
226,sgaw1245,Karen (Sgaw),,,formative,,,,FALSE,,,,restricted,,,,isolating,,,,isolating,,,,TRUE,,,,TRUE,,,,FALSE,,,,FALSE,,,,none,,,,none,,,,circum (prae),,,,in/simul,,,,simul,,,,TRUE,,,,FALSE,,,,FALSE,,,,TRUE,,,,TRUE,,,,inert,,,,,,,,FALSE,,,,1,,,,FALSE,
176,mapu1245,Mapudungun,,formative,formative,,FALSE,FALSE,FALSE,FALSE,,,restricted,restricted,,concatenative,concatenative,,,concatenative,concatenative,,,FALSE,FALSE,,,TRUE,TRUE,,,FALSE,FALSE,,,FALSE,FALSE,,,,none,,,,cat-based,,,post,post,,,post,post,,,post,post,,,FALSE,FALSE,,,FALSE,FALSE,,,TRUE,TRUE,,,FALSE,FALSE,,,FALSE,FALSE,,,,inert,,,,,,,,FALSE,,0,3,1,0,FALSE,TRUE,FALSE,FALSE
56,chuk1273,Chukchi,formative,formative,formative,formative,FALSE,FALSE,FALSE,FALSE,restricted,restricted,restricted,,concatenative,concatenative,isolating,concatenative,concatenative,concatenative,isolating,concatenative,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,none,none,,lex-based,none,cat-based,,post,prae,prae,post,post,prae,prae,post,post,prae,prae,post,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,final,inert,initial,stacking,final,,initial,spreading,FALSE,FALSE,FALSE,TRUE,2,1,2,1,TRUE,FALSE,TRUE,FALSE
464,mode1248,Greek (modern),,formative,formative,formative,,FALSE,FALSE,FALSE,,restricted,restricted,,,concatenative,isolating,concatenative,,concatenative,isolating,concatenative,,FALSE,TRUE,FALSE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,,,,cat-based,,post,prae,post,,post,prae,post,,post,prae,post,,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,,TRUE,FALSE,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,inert,initial,inert,,,initial,,,FALSE,FALSE,FALSE,,5,1,2,,TRUE,FALSE,TRUE
78,finn1318,Finnish,formative,formative,PoSWd,formative,FALSE,FALSE,FALSE,FALSE,,restricted,restricted,,concatenative,concatenative,isolating,concatenative,concatenative,concatenative,isolating,concatenative,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,cat-based,post,post,prae,post,post,post,prae,post,post,post,prae,post,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,inert,inert,inert,,,,,,FALSE,FALSE,FALSE,2,1,1,1,TRUE,FALSE,FALSE,FALSE
32,basq1248,Basque,formative,formative,formative,,FALSE,FALSE,FALSE,FALSE,restricted,restricted,restricted,,concatenative,concatenative,concatenative,,concatenative,concatenative,concatenative,,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,none,,,,none,,,,post,post,prae,post,post,post,prae,post,post,post,prae,post,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,final,inert,inert,,final,,,,FALSE,FALSE,FALSE,,1,1,1,1,FALSE,FALSE,FALSE,FALSE
59,plai1258,Cree (Plains),formative,formative,PoSWd,,FALSE,FALSE,FALSE,FALSE,restricted,restricted,restricted,,concatenative,isolating,isolating,,concatenative,isolating,isolating,,FALSE,TRUE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,none,none,,,none,none,,,post,prae,prae,post,post,prae,prae,post,post,prae,prae,post,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,inert,initial,,,,initial,,,FALSE,FALSE,,1,1,1,1,FALSE,FALSE,FALSE,FALSE
361,swah1253,Swahili,,formative,,,FALSE,FALSE,,,restricted,restricted,,,,concatenative,,,,concatenative,,,,FALSE,,,,TRUE,,,,FALSE,,,,FALSE,,,,none,,,,none,,,,prae,,,,prae,,,,prae,,,,TRUE,,,,TRUE,,,,FALSE,,,,FALSE,,,,FALSE,,,,inert,,,,,,,,FALSE,,,1,1,,,FALSE,FALSE,,
374,thai1261,Thai,,formative,formative,,FALSE,FALSE,FALSE,FALSE,restricted,restricted,restricted,restricted,,isolating_or_concatenative,isolating,,,concatenative,isolating,,,FALSE,TRUE,,,TRUE,TRUE,,,FALSE,FALSE,,,FALSE,FALSE,,none,none,none,,none,none,none,,,prae,prae,,,prae,prae,,,prae,prae,,FALSE,TRUE,TRUE,,FALSE,TRUE,TRUE,,,FALSE,FALSE,,,FALSE,FALSE,,,FALSE,FALSE,,,inert,inert,,,,,,,FALSE,FALSE,,1,1,1,0,FALSE,FALSE,FALSE,FALSE
118,nucl1643,Japanese,formative,formative,formative,,FALSE,FALSE,FALSE,FALSE,restricted,restricted,restricted,restricted,concatenative,concatenative,concatenative,,concatenative,concatenative,concatenative,,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,none,none,none,,none,none,none,,post,post,post,,post,post,post,,post,post,post,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,final,inert,inert,,final,,,,FALSE,FALSE,FALSE,,1,1,2,0,FALSE,FALSE,TRUE,FALSE
354,nort2942,Slave,,formative,,,FALSE,FALSE,,FALSE,restricted,restricted,,,,concatenative,,,,concatenative,,,,FALSE,,,,TRUE,,,,FALSE,,,,FALSE,,,,none,,,,none,,,,prae,,post,,prae,,post,,prae,,post,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,inert,,,,,,,,FALSE,,,0,1,,1,FALSE,FALSE,,FALSE
135,koas1236,Koasati,formative,formative,,,FALSE,FALSE,,FALSE,restricted,,,,concatenative,concatenative,,,concatenative,concatenative,,,FALSE,FALSE,,,TRUE,TRUE,,,FALSE,FALSE,,,FALSE,FALSE,,,none,,,,none,,,,post,post,,post,post,post,,post,post,post,,post,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,final,,,,final,,,,FALSE,,,,1,1,,1,FALSE,FALSE,,FALSE
465,mari1440,Maricopa,formative,formative,,,FALSE,FALSE,,,restricted,,,,concatenative,concatenative,,,concatenative,concatenative,,,FALSE,FALSE,,,TRUE,TRUE,,,FALSE,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inert,,,,,,,,FALSE,,,1,1,,,FALSE,FALSE,,
89,para1311,Guaraní (Paraguayan),,formative,formative,formative,FALSE,FALSE,FALSE,FALSE,restricted,,restricted,,,concatenative,isolating,concatenative,,concatenative,isolating,concatenative,,FALSE,TRUE,FALSE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,,,,,,,circum,post,,,in/simul,post,,,simul,post,,,TRUE,FALSE,,,TRUE,FALSE,,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,inert,inert,,,,,,,FALSE,FALSE,,0,1,1,1,FALSE,FALSE,FALSE,FALSE
466,sang1328,Sango,,,,,FALSE,FALSE,,,restricted,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,FALSE,FALSE,,
48,cham1312,Chamorro,,formative,,,FALSE,FALSE,,,restricted,restricted,,,,isolating_or_concatenative,,,,concatenative,,,,FALSE,,,,TRUE,,,,FALSE,,,,FALSE,,,,none,,,,none,,,,prae,,,,prae,,,,prae,,,,TRUE,,,,TRUE,,,,FALSE,,,,FALSE,,,,FALSE,,,,inert,,,,,,,,FALSE,,,1,4,,,FALSE,TRUE,,
79,stan1290,French (colloquial),,PoSWd,formative,,,FALSE,FALSE,,,,restricted,,,concatenative,isolating,,,concatenative,isolating,,,FALSE,TRUE,,,TRUE,TRUE,,,FALSE,FALSE,,,FALSE,FALSE,,,,none,,,,none,,,,post (circum),,,,post,,,,post,,,,FALSE,,,,FALSE,,,,TRUE,,,,TRUE,,,,FALSE,,,,inert,,,,,,,,FALSE,,,4,1,,,TRUE,FALSE,
348,sanu1240,Sanuma,formative,formative,,formative,FALSE,FALSE,,FALSE,,,,,concatenative,concatenative,,concatenative,concatenative,concatenative,,concatenative,FALSE,FALSE,,FALSE,TRUE,TRUE,,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,post,,,,post,,,,post,,,,FALSE,,,,FALSE,,,,TRUE,,,,FALSE,,,,FALSE,,,,final,,,,final,,,,FALSE,1,1,,2,FALSE,FALSE,,TRUE
399,wara1303,Warao,,formative,formative,formative,,FALSE,FALSE,FALSE,,,restricted,,,concatenative,concatenative,concatenative,,concatenative,concatenative,concatenative,,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,none,,,,none,,,post,post,post,,post,post,post,,post,post,post,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,inert,,,,,,,,FALSE,,,1,1,1,,FALSE,FALSE,FALSE
571,cent2194,Tamazight (Ayt Ndhir),formative,formative,,formative,FALSE,FALSE,,FALSE,restricted,restricted,,,concatenative,ablaut,,concatenative_and_ablaut,concatenative,stem,,concatenative,FALSE,FALSE,,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,,,,,,,,lex-based,prae,in,,post,prae,in/simul,,post,prae,in,,post,TRUE,FALSE,,FALSE,TRUE,FALSE,,FALSE,FALSE,,,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,inert,inert,,inert,,,,,FALSE,FALSE,,FALSE,1,1,,1,FALSE,FALSE,,FALSE
581,zulu1248,Zulu,formative,,,,,FALSE,,,,,,,concatenative,concatenative,,,concatenative,concatenative,,,FALSE,FALSE,,,TRUE,TRUE,,,FALSE,FALSE,,,FALSE,FALSE,,,none,,,,none,,,,prae,,,,prae,,,,prae,,,,TRUE,,,,TRUE,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,1,,,,FALSE,,
188,halh1238,Mongolian (Khalkha),formative,,formative,,FALSE,FALSE,FALSE,FALSE,,,restricted,,concatenative,concatenative,isolating,,concatenative,concatenative,isolating,,FALSE,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,,,,,,,,prae,post,,,prae,post,,,prae,post,,,TRUE,FALSE,,,TRUE,FALSE,,,FALSE,TRUE,,,FALSE,FALSE,,,FALSE,FALSE,,,inert,,,,,,,,FALSE,,1,1,1,1,FALSE,FALSE,FALSE,FALSE
14,alam1246,Alamblak,,,formative,,FALSE,FALSE,FALSE,FALSE,restricted,,restricted,,,concatenative,isolating,,,concatenative,isolating,,,FALSE,TRUE,,,TRUE,TRUE,,,FALSE,FALSE,,,FALSE,FALSE,,,,none,,,,cat-based,,,,prae,post,,,prae,post,,,prae,post,,,TRUE,FALSE,,,TRUE,FALSE,,,FALSE,TRUE,,,FALSE,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,1,1,1,1,FALSE,FALSE,FALSE,FALSE
7,abkh1244,Abkhaz,,,formative,,FALSE,FALSE,FALSE,FALSE,restricted,,restricted,,,concatenative,concatenative,,,concatenative,concatenative,,,FALSE,FALSE,,,TRUE,TRUE,,,FALSE,FALSE,,,FALSE,FALSE,,,,none,,,,none,,,,prae,post,,,prae,post,,,prae,post,,,TRUE,FALSE,,,TRUE,FALSE,,,FALSE,TRUE,,,FALSE,FALSE,,,FALSE,FALSE,,,inert,,,,,,,,FALSE,,1,1,1,1,FALSE,FALSE,FALSE,FALSE
