LID,Glottocode,Language,MarkerPositionForTAMPlus,MarkerPositionForOperators,MarkerPositionForValence,MarkerPositionForInterClausal,MarkerPositionForOther,MarkerPositionForPragmatic,MarkerPositionForNumber,MarkerPositionForEvidential,MarkerPositionForNPRelated,MarkerPositionForClassification,MarkerPositionForEventSpecs,MarkerPositionForRole
196,murr1258,Murrinh-patha,post/prae,,post/post,,,,post,,,,,
69,nubi1251,Nubian (Dongolese),post/post/circum,post,,,,,post,,,,,
387,tuvi1240,Tuva,post,post,post/post,,,,,,,,,
385,shos1248,Tümpisa Shoshone,in/post/post/post/post,post,,,,post,in/post,,,,,
2944,rabh1238,Rabha,post/post/post,post,,,,,,,,,,
177,marg1265,Margi,prae,post (prae),,,,,,,,,,
1531,ghod1238,Godoberi,post,post,post,post,,,,,,,,
2949,darg1241,Dargi (Icari),in/post,prae,post,,prae,prae,post,post,,,,post
208,nezp1238,Nez Perce,post/post/post,,prae/prae/prae,,,,post/prae/prae/prae,,,,,
192,movi1243,Movima,in/post/post,,post/post/prae/post/prae/post,,,,in/post,,,,,
392,urar1246,Urarina,post/post/post,,post/post/post/prae,,,,post/post,,,,,
551,leal1235,Chinantec (Lealao),prae,,,,,,,,,,post,
50,chic1272,Chichimec,,,,,,,,,,,,
3101,assy1241,Neo-Aramaic (Barwar),in/post/prae,prae,in/post,,,,,,,,,
2393,selk1253,Selkup,circum (post)/post,,post,,,,,,,,,
2564,thom1243,Thompson,post/post/prae,,post/post/post/post/post,,,,post/post,,,,,post
678,bulg1262,Bulgarian,prae/post/prae/post/prae/post/prae/post,prae/post,,,,,,,,,,
2330,poli1260,Polish,post/prae/post,prae,post,,,,,,,,,
2447,slov1268,Slovene,post/prae/post,prae,,,,,,,,,,
675,kaba1278,Circassian (East),post/post/prae,prae,prae/prae/prae/prae,,,prae,,post,,,,
3229,NA,Torlak Serbian,prae/post/prae/post/prae/post/prae/post,prae/post,,,,,,,,,,
1890,lith1251,Lithuanian,post,,,,,,,,,,,
549,latv1249,Latvian,post/prae,prae,post,,,,,,,,,
683,roma1327,Romanian,prae/post/prae/post,,prae/post,,,,,,,,,
2471,croa1245,Serbian-Croatian,post/prae/post,,,,,,,,,,,
2412,seri1257,Seri,prae/prae,prae,prae/prae/prae/prae,post,,prae,,post,,,,
2984,mian1256,Mian,post/post/post/post/post/post,post,,,,,,,,,,
656,koro1312,Korowai,in/post/post,simul,,post,,,,,,,,
84,gara1269,Garrwa,post/post,,post,,,,post,,,,,
419,yess1239,Yessan-Mayo,post/post,,,,,post/prae,in/prae,,,,,
1364,ngar1235,Bilinara,post/post/post/post,,,,,post,in,,,,,
885,yane1238,Amuesha,post/post,post,post/post/prae,,,post,post,,,,,
658,yany1243,Yanyuwa,post/prae,,prae,,,,,,,,,
66,dhuw1249,Djapu,post,,post/post,,,,prae,,,,,
1772,gugu1255,Guugu Yimidhirr,post/post,,post,,,,,,,,,
1363,nang1259,Ngan'gityemerri,post/post,,,,,,post/post/prae/prae,,,,,
3240,ashe1272,Ashéninka Perené,post/post/prae,post,post/prae,,,post,post,post,,,post,
352,shua1257,Shuar,post/post,post,post/post,post,,,,,,,,
2050,moco1246,Mocoví,prae,prae,prae,,,,post,,,,post,
426,yura1255,Yurakare,post/post/post/prae/post,,post/prae/prae,,,,post,post/post,,,post,
1385,sout2991,Quechua (Cochabamba),post/post,,post,,,post,post,,,,,
326,paez1247,Paez,post/post/post/post,post,,,,prae,,,,,,
2508,suab1238,Inanwatan,post/post/post,post,,,,,,,,,,
2951,kara1500,Karajá,post,post,prae/prae/prae/prae,,,prae,post,,,,,
2900,aves1237,Avestan,post/post,,post,,,,,,,,,
2726,wels1247,Welsh,,,,,,,,,,,,
2456,sinh1246,Sinhala,post/post,,in,post,,post,,,,,,
1067,bret1244,Breton,post/post,,,,,,,,,,,
2832,goth1244,Gothic,post/post,,in,,,,,,,,,
2856,oldn1244,Old Norse,in/post/post,prae/post,post,,,,,,,,,
2514,tapi1253,Tapiete,post/post/post/prae,post,in/prae/prae/post,post,,,,post,,,,
110,icel1247,Icelandic,post (in)/post (in),,,,,,,,,,,
633,kash1277,Kashmiri,post/post/post/post,,post,,,,,,,,,
3243,nort2646,Pashto (Northern),post/prae,prae,,,,,,,,,,
100,hitt1242,Hittite,post,,,,,,,,,,,
2831,anci1242,Greek (Ancient),post/post/prae/prae/in/post,,,,,,,,,,,
2833,olde1238,English (Old),in/post,,,,,,,,,,,
641,oriy1255,Oriya,post/post/post,post,post,,,,,,,,,
844,afri1274,Afrikaans,prae,,,,,,,,,,,
2854,oldh1241,High German (Old),post/post (in),,,,,,,,,,,
2855,olds1250,Old Saxon,post/post (in),,,,,,,,,,,
699,sans1269,Sanskrit,prae/post,,,,,,,,,,,
2360,caml1239,Camling,post,prae/circum,,post,,,,,,,,
672,jing1260,Jingpho,post,prae,,,,,,,,,,
3278,tsho1240,Tshobdun,prae/prae,prae,,,,,,,,,,prae
1694,japh1234,Jiarong,in/prae/prae/prae/prae,prae,,,,post,,,,,,
552,lepc1244,Lepcha,post/post,circum,,,,,,,,,,
691,tibe1272,Tibetan (Lhasa),post/post/post,prae,,,,in (post),,,,,,
2617,tsha1245,Tshangla,post/post/post,prae,,,,,,,,,,
975,bard1255,Bardi,post/post/prae,,circum/post/post/post/prae,post,,,in,,,,,
3312,west2368,Balochi (Western),post/prae,prae,,,,,,,,,,
2716,uppe1395,Sorbian (Upper),post/prae/post,prae,,,,,,,,,,
2916,wakh1245,Wakhi,post/post,prae,post,,,,,,,,,
2893,lati1261,Latin,post/post,,,,,,,,,,,
1395,vlax1238,Romani (Vlax),post/post,,,,,,,,,,,
3213,oldi1245,Irish (Old),post/prae,prae,,in/post,,,,,,,,
1440,dutc1256,Dutch,post (in),,,,,,,,,,,
710,faro1244,Faroese,post (in),,,,,,,,,,,
1399,dara1250,Darai,post (in)/prae,,post,,,,,post,,,,
2987,jams1239,Dogon (Jamsay),in/post,post,,,,,,,,,,
3239,atin1240,Laz (Pazar),post/post/post/prae,,post/prae,,,prae,post,,,,,
1964,male1284,Maale,post/post/post/post,post,post,,,,,post,,,,
1203,cupe1243,Cupeño,post/post/post,,,,,,post/prae,post,,,,
689,lowl1265,Rarámuri,post/post/post/post,,post,,,,in/post,post,,,post,
3313,tang1334,Tangut,prae,prae,,,,prae,,,,,,
2020,karb1241,Mikir,post/prae/post,post,prae/prae,,,,,,prae,,,
2180,rong1266,Rongmei Naga,post/post,post,prae,,,,,,,,,
3315,anuu1241,Hkongso,prae,prae/circum,prae,,,,,,,,,
688,cora1260,Cora,in/post/post/prae,,post/prae,,,,in/in/prae,,,,simul (post),
