LID,Glottocode,Language,PredicateClassesCount,HasPredicateClassWithVerbsOfTypeEmotion,HasPredicateClassWithVerbsOfTypeDesideration,HasPredicateClassWithVerbsOfTypeAttempt,HasPredicateClassWithVerbsOfTypeCognition,HasPredicateClassWithVerbsOfTypeHelp,HasPredicateClassWithVerbsOfTypeMotion,HasPredicateClassWithVerbsOfTypeChangeOfState,HasPredicateClassWithVerbsOfTypeCommunication,HasPredicateClassWithVerbsOfTypeFight,HasPredicateClassWithVerbsOfTypeQuality,HasPredicateClassWithVerbsOfTypeSocialInteraction,HasPredicateClassWithVerbsOfTypeHit,HasPredicateClassWithVerbsOfTypeSpatialPosition,HasPredicateClassWithVerbsOfTypeBodilyEmission,HasPredicateClassWithVerbsOfTypeChangeOfPossession,HasPredicateClassWithVerbsOfTypePutPourSprayLoadFill,HasPredicateClassWithVerbsOfTypeLaughWink,HasPredicateClassWithVerbsOfTypeSoundEmission,HasPredicateClassWithVerbsOfTypeGrooming,HasPredicateClassWithVerbsOfTypeMalchEmotion,HasPredicateClassWithVerbsOfTypeMalchSensation,HasPredicateClassWithVerbsOfTypeMalchOther,HasPredicateClassWithVerbsOfTypeMalchPerceptionCognition,HasPredicateClassWithVerbsOfTypeMalchMotion,HasPredicateClassWithVerbsOfTypeMalchContact,HasPredicateClassWithVerbsOfTypeSendCarryBringTake,HasPredicateClassWithVerbsOfTypeSeem,HasPredicateClassWithVerbsOfTypeHappening,HasPredicateClassWithVerbsOfTypeSensation,HasPredicateClassWithVerbsOfTypeRemoveWipeClear,HasPredicateClassWithVerbsOfTypePossession,HasPredicateClassWithVerbsOfTypeJudge,HasPredicateClassWithVerbsOfTypeActivity,HasPredicateClassWithVerbsOfTypeExistence,HasPredicateClassWithVerbsOfTypePerception,HasPredicateClassWithVerbsOfTypeHoldKeep,HasPredicateClassWithVerbsOfTypePushPull,HasPredicateClassWithVerbsOfTypeModality,HasPredicateClassWithVerbsOfTypeObligation,HasPredicateClassWithVerbsOfTypeDiseasesAndBodilyStates,HasPredicateClassWithVerbsOfTypeMeasure,HasPredicateClassWithVerbsOfTypePersuit,HasPredicateClassWithVerbsOfTypeCombineAttach,HasPredicateClassWithVerbsOfTypeSpreadApply,HasPredicateClassWithVerbsOfTypeSeparateDisassemble,HasPredicateClassWithVerbsOfTypeInfluenceCause,HasPredicateClassWithVerbsOfTypeMalchPursuit,HasPredicateClassWithVerbsOfTypeTouch,HasPredicateClassWithVerbsOfTypeAssumingPosition,HasPredicateClassWithVerbsOfTypeHide,HasPredicateClassWithVerbsOfTypeSleep,HasPredicateClassWithVerbsOfTypeScentEmission,HasPredicateClassWithVerbsOfTypeFail,HasPredicateClassWithVerbsOfTypeName,HasPredicateClassWithVerbsOfTypeAspectual,HasPredicateClassWithVerbsOfTypeHurt,HasPredicateClassWithVerbsOfTypeUse,HasPredicateClassWithVerbsOfTypeCreationTransformation,HasPredicateClassWithVerbsOfTypeAchieve,HasPredicateClassWithVerbsOfTypeAppearanceDisappearance,HasPredicateClassWithVerbsOfTypeNecessity,HasPredicateClassWithVerbsOfTypeLose,HasPredicateClassWithVerbsOfTypeCausedMotion,HasPredicateClassWithVerbsOfTypeKill,HasPredicateClassWithVerbsOfTypeMalchEffectiveAction,HasPredicateClassWithVerbsOfTypeAbility,HasPredicateClassWithVerbsOfTypeIngestion,HasPredicateClassWithVerbsOfTypeDestroy
45,cash1254,Cashinahua,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,chec1245,Chechen,16,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,choc1276,Choctaw,8,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,chuk1273,Chukchi,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,plai1258,Cree (Plains),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,dier1241,Diyari,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,dhuw1249,Djapu,5,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,stan1293,English,12,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,finn1318,Finnish,8,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,furr1244,Fur,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,stan1295,German,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,para1311,Guaraní (Paraguayan),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
