LID,Glottocode,Language,NPHasAgreement,NPHasConstructMarkers,NPHasGovernment,NPHasOvertMarking,NPHasAdjAgreement,NPHasAdjConstructMarkers,NPHasAdjGovernment,NPHasAdjOvertMarking
123,kanu1279,Kanuri,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
124,kara1465,Karachay-Balkar,,,,FALSE,,,,FALSE
126,kate1253,Kâte,,TRUE,,TRUE,FALSE,TRUE,FALSE,TRUE
128,kaya1319,Kayardild,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
129,kett1243,Ket,TRUE,,TRUE,TRUE,TRUE,,,TRUE
130,west2599,Kewa,,,TRUE,TRUE,,,,FALSE
131,kima1246,Kimaama,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
132,kiow1266,Kiowa,TRUE,,,TRUE,FALSE,FALSE,FALSE,FALSE
133,kiri1256,Kirikiri,,,,,FALSE,FALSE,FALSE,FALSE
134,nort2930,Kiwai,,,,FALSE,FALSE,FALSE,FALSE,FALSE
135,koas1236,Koasati,TRUE,,,TRUE,,,,TRUE
136,kobo1249,Kobon,TRUE,,,TRUE,FALSE,FALSE,FALSE,FALSE
137,wers1238,Kolana,,,,,FALSE,FALSE,FALSE,FALSE
138,komb1274,Kombai,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
139,komi1268,Komi (Zyrian),,,TRUE,TRUE,,,,TRUE
140,rapo1238,Konua,,,,,FALSE,FALSE,FALSE,FALSE
141,kore1280,Korean,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
147,kuna1268,Kunama,TRUE,,,TRUE,FALSE,FALSE,FALSE,FALSE
148,kung1261,!Kung,TRUE,,,TRUE,TRUE,FALSE,FALSE,TRUE
149,goon1238,Kuniyanti,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
150,kute1249,Kutenai,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
155,lakk1252,Lak,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
156,lako1247,Lakhota,TRUE,,,TRUE,FALSE,FALSE,FALSE,FALSE
159,lang1324,Lango,TRUE,TRUE,,TRUE,,,,TRUE
162,lezg1247,Lezgi,,,TRUE,TRUE,,,,FALSE
163,lugb1240,Logbara,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
165,gand1255,Luganda,,,,TRUE,FALSE,FALSE,FALSE,FALSE
167,masa1300,Maa,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
170,mull1237,Malak-Malak,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
171,mand1415,Mandarin,,,,TRUE,,,,TRUE
172,mand1436,Mandinka,,,,,FALSE,FALSE,FALSE,FALSE
173,mang1381,Mangarayi,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
176,mapu1245,Mapudungun,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
177,marg1265,Margi,,,,,FALSE,FALSE,FALSE,FALSE
178,mari1424,Marrithiyel,,,,,FALSE,FALSE,FALSE,FALSE
179,mart1255,Martuthunira,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
181,maun1240,Mawng,TRUE,,,TRUE,FALSE,FALSE,FALSE,FALSE
186,sanm1295,Mixtec (Chalcatongo),,,,FALSE,FALSE,FALSE,FALSE,FALSE
188,halh1238,Mongolian (Khalkha),TRUE,,TRUE,TRUE,,,,FALSE
191,siwa1245,Motuna,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
193,east2379,Mparntwe Arrernte,,,,FALSE,,,,FALSE
196,murr1258,Murrinh-patha,,,,,FALSE,FALSE,FALSE,FALSE
198,naka1260,Nakkara,,,,,FALSE,FALSE,FALSE,FALSE
199,nama1264,Nama,,TRUE,TRUE,TRUE,,,,FALSE
200,sout2994,Nambikwara,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
201,nana1257,Nanai,,,,,,,,FALSE
205,nene1249,Nenets (Tundra),,,TRUE,TRUE,,,,FALSE
207,nara1262,Nera,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
209,ngal1293,Ngalakan,TRUE,,,TRUE,TRUE,,,TRUE
210,wang1291,Ngiyambaa,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
211,ngka1235,Ngkalmpw Knwme,,,,,FALSE,FALSE,FALSE,FALSE
212,nucl1633,Nimboran,,,,,FALSE,FALSE,FALSE,FALSE
225,lahu1253,Lahu,,,,TRUE,,,,TRUE
305,izon1238,Ijo,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
317,nuuc1236,Nuuchahnulth,,,,FALSE,,,,FALSE
318,nung1290,Nunggubuyu,,,,,FALSE,FALSE,FALSE,FALSE
323,tega1236,Orig,,,,,FALSE,FALSE,FALSE,FALSE
324,east2652,Oromo,,,,,FALSE,FALSE,FALSE,FALSE
325,osse1243,Ossetic,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE
327,paiw1248,Paiwan,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
332,pipi1250,Pipil,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
333,pira1253,Pirahã,TRUE,,,TRUE,,,,FALSE
334,pohn1238,Ponapean,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
340,russ1263,Russian,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
343,sahu1245,Sahu,TRUE,,,TRUE,TRUE,FALSE,FALSE,TRUE
345,salt1242,Salt-Yui,,,,FALSE,FALSE,FALSE,FALSE,FALSE
346,samo1305,Samoan,,,,,FALSE,FALSE,FALSE,FALSE
347,sand1273,Sandawe,,,,,FALSE,FALSE,FALSE,FALSE
348,sanu1240,Sanuma,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
350,nucl1632,Sentani,,,,,FALSE,FALSE,FALSE,FALSE
354,nort2942,Slave,,,,,,,,
355,soma1255,Somali,,,,,FALSE,FALSE,FALSE,FALSE
356,sout2985,Miwok (Southern Sierra),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
357,squa1248,Squamish,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
358,suen1241,Suena,,,,,,,,FALSE
359,sulk1246,Sulka,,,,,FALSE,FALSE,FALSE,FALSE
360,sume1241,Sumerian,,,TRUE,TRUE,,,,FALSE
361,swah1253,Swahili,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
362,taga1270,Tagalog,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
367,tauy1241,Tauya,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
368,tawa1275,Tawala,,,,,FALSE,FALSE,FALSE,FALSE
369,tehi1237,Tehit,,,,,FALSE,FALSE,FALSE,FALSE
370,tele1256,Telefol,,,,,FALSE,FALSE,FALSE,FALSE
373,tera1251,Tera,TRUE,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
374,thai1261,Thai,,,TRUE,TRUE,,,,FALSE
378,tiwi1244,Tiwi,TRUE,,,TRUE,TRUE,FALSE,FALSE,TRUE
381,kuan1248,Tolai,,,,,FALSE,FALSE,FALSE,FALSE
383,trum1247,Trumaí,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
384,tuka1249,Tukang Besi,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
386,tuni1252,Tunica,,,,FALSE,,,,FALSE
387,tuvi1240,Tuva,,,,,,,,FALSE
389,udii1243,Udi,,,,FALSE,,,,FALSE
391,urad1238,Uradhi,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
393,usan1239,Usan,,,,,FALSE,FALSE,FALSE,FALSE
395,vani1248,Vanimo,TRUE,,,TRUE,TRUE,FALSE,FALSE,TRUE
400,wara1290,Waray,,,,,FALSE,FALSE,FALSE,FALSE
402,ware1253,Warembori,,,,FALSE,,,,FALSE
403,wari1266,Waris,,,,,FALSE,FALSE,FALSE,FALSE
404,warl1254,Warlpiri,,,,TRUE,FALSE,FALSE,FALSE,FALSE
