LID,Glottocode,Language,MarkerPositionForADefault,MarkerPositionForUDefault,MarkerPositionForSDefault,MarkerPositionForBDefault,MarkerPositionForPOSSDefault,MarkerPositionForARGNom,MarkerPositionForOAdp,MarkerPositionForAFF,MarkerPositionForTDefault,MarkerPositionForIDefault,MarkerPositionForGDefault,MarkerPositionForCore,MarkerPositionForPat,MarkerPositionForUBDefault
675,kaba1278,Circassian (East),prae,prae,,prae,,,,,,,,,,
3229,NA,Torlak Serbian,post,prae (post),,prae (post),,,,,,,,,,
1890,lith1251,Lithuanian,post,,,,,,,,,,,,,
549,latv1249,Latvian,post,,,,,,,,,,,,,
683,roma1327,Romanian,post,prae (post),,prae (post),,,,,,,,,,
2471,croa1245,Serbian-Croatian,post,,,,,,,,,,,,,
2412,seri1257,Seri,prae,prae,,,,,,,,,prae,,,
2984,mian1256,Mian,post,prae,,post,,,,,,,,,,
656,koro1312,Korowai,post,,,,,,,,,,,,,
1364,ngar1235,Bilinara,,,,,,,,,,,,,,
885,yane1238,Amuesha,prae (post),post,,,,,,,,,,,,
658,yany1243,Yanyuwa,prae,prae,,,,,,,,,,,,
1363,nang1259,Ngan'gityemerri,prae,post,,post,,,,,,,,,,
3240,ashe1272,Ashéninka Perené,prae,post,,,,,,,,,,,,
352,shua1257,Shuar,post,post,,,,,,,,,,,,
2050,moco1246,Mocoví,prae/post,prae/post,,,,,,,,,,,,
426,yura1255,Yurakare,post,prae,,prae,,,,,,,,,,
1385,sout2991,Quechua (Cochabamba),post,post,,,,,,,,,,,,
326,paez1247,Paez,post,,,,,,,,,,,,,
2508,suab1238,Inanwatan,prae,,,,,,,,,,,,,
2951,kara1500,Karajá,prae,prae,,,,,,,,,,,,
2900,aves1237,Avestan,post,,,,,,,,,,,,,
2726,wels1247,Welsh,,,,,,,,,,,,,,
1067,bret1244,Breton,post,,,,,,,,,,,,,
2832,goth1244,Gothic,post,,,,,,,,,,,,,
2856,oldn1244,Old Norse,post,,,,,,,,,,,,,
2514,tapi1253,Tapiete,prae,prae,,,,,,,,,,,,
110,icel1247,Icelandic,post,,,,,,,,,,,,,
633,kash1277,Kashmiri,post,post,,post,,,,,,,,,,
3243,nort2646,Pashto (Northern),,,,,,,,,,,,post,,
100,hitt1242,Hittite,post,,,,,,,,,,,,,
2831,anci1242,Greek (Ancient),post,,,,,,,,,,,,,
2833,olde1238,English (Old),post,,,,,,,,,,,,,
641,oriy1255,Oriya,post,,,,,,,,,,,,,
2854,oldh1241,High German (Old),post,,,,,,,,,,,,,
2855,olds1250,Old Saxon,post,,,,,,,,,,,,,
699,sans1269,Sanskrit,post,,,,,,,,,,,,,
2360,caml1239,Camling,prae/post,prae/post,,,,,,,,,,,,
3278,tsho1240,Tshobdun,post,prae,,,,,,,,,,,,
1694,japh1234,Jiarong,prae/post/circum,post (prae),,,,,,,,,,,,
691,tibe1272,Tibetan (Lhasa),post,,,,,,,,,,,,,
975,bard1255,Bardi,prae,post,,post,prae/post,,,,,,,,,
3312,west2368,Balochi (Western),post,,,,,,,,,,,,,
2716,uppe1395,Sorbian (Upper),post,,,,,,,,,,,,,
2916,wakh1245,Wakhi,,,,,,,,,,,,,,
