LID,Glottocode,Language,InflectionMarkersAtPostCount,InflectionMarkersAtPraeCount,InflectionMarkersAtSplitCount,InflectionMarkersAtSimulCount,InflectionMarkersAtInCount
786,rong1264,Rongpo,4,1,0,0,0
838,amdo1237,Amdo,4,1,0,0,2
844,afri1274,Afrikaans,0,1,0,0,0
885,yane1238,Amuesha,8,2,0,0,0
975,bard1255,Bardi,8,3,1,1,1
1004,gahr1239,Bunan,7,1,0,0,0
1067,bret1244,Breton,3,0,0,0,0
1130,chep1245,Chepang,4,0,0,0,0
1203,cupe1243,Cupeño,5,1,2,0,0
1317,dhim1246,Dhimal,3,1,0,0,0
1363,nang1259,Ngan'gityemerri,6,3,0,0,0
1364,ngar1235,Bilinara,5,0,0,0,1
1376,tase1235,Jugli,3,0,1,0,0
1385,sout2991,Quechua (Cochabamba),7,0,0,0,0
1388,darm1243,Darmiya,3,1,0,0,0
1395,vlax1238,Romani (Vlax),3,0,0,0,0
1399,dara1250,Darai,6,1,0,0,0
1440,dutc1256,Dutch,2,0,0,0,0
1480,esto1258,Estonian,6,1,0,0,0
1531,ghod1238,Godoberi,4,2,0,0,0
1694,japh1234,Jiarong,2,4,2,0,0
1765,pwoe1235,Karen (Pwo),0,1,0,0,0
1772,gugu1255,Guugu Yimidhirr,3,0,0,0,0
1775,kulu1253,Kulung,6,1,0,0,0
1778,khal1275,Khaling,5,1,0,0,0
1889,lisu1250,Lisu,0,1,0,0,0
1890,lith1251,Lithuanian,2,0,0,0,0
1914,lush1249,Mizo (Lushai),4,1,0,0,1
1964,male1284,Maale,7,0,0,0,0
2020,karb1241,Mikir,2,5,1,0,0
2050,moco1246,Mocoví,2,3,2,0,0
2180,rong1266,Rongmei Naga,3,1,0,0,0
2186,tang1336,Naga (Tangkhul),2,0,0,0,0
2196,narp1239,Nar-Phu,2,1,0,0,0
2217,nung1282,Anong,2,2,3,0,0
2330,poli1260,Polish,3,1,1,0,0
2360,caml1239,Camling,2,0,3,0,0
2393,selk1253,Selkup,4,0,0,1,0
2412,seri1257,Seri,2,11,0,0,0
2447,slov1268,Slovene,2,1,1,0,0
2456,sinh1246,Sinhala,4,0,0,0,1
2471,croa1245,Serbian-Croatian,2,0,1,0,0
2508,suab1238,Inanwatan,4,2,0,0,0
2514,tapi1253,Tapiete,6,4,1,0,1
2563,than1259,Thangmi,2,0,0,0,0
2564,thom1243,Thompson,12,1,0,0,0
2617,tsha1245,Tshangla,3,1,0,0,0
2657,udih1248,Udihe,4,0,0,0,0
2662,yaku1245,Yakut,7,0,0,0,0
2716,uppe1395,Sorbian (Upper),2,1,1,0,0
2779,yele1255,Yelî Dnye,1,1,0,0,0
2824,clas1254,Tibetan (Classical),2,0,1,0,2
2826,darg1241,Dargi (standard),5,4,0,0,1
2831,anci1242,Greek (Ancient),3,1,1,0,0
2832,goth1244,Gothic,3,0,0,0,1
2833,olde1238,English (Old),1,0,1,0,0
2854,oldh1241,High German (Old),3,0,0,0,0
2855,olds1250,Old Saxon,3,0,0,0,0
2856,oldn1244,Old Norse,3,0,2,0,0
2862,chhi1245,Chintang,5,0,2,0,0
2871,nort2732,Northern Tujia,1,0,1,0,0
2873,bant1281,Bantawa,3,1,1,1,0
2893,lati1261,Latin,3,0,0,0,0
2900,aves1237,Avestan,4,0,0,0,0
2916,wakh1245,Wakhi,3,1,0,0,0
2936,phal1254,Palula,3,0,0,0,0
2944,rabh1238,Rabha,4,0,0,0,0
2949,darg1241,Dargi (Icari),5,5,0,0,1
2951,kara1500,Karajá,3,7,0,0,0
2984,mian1256,Mian,9,1,0,0,0
2987,jams1239,Dogon (Jamsay),3,0,0,0,1
3006,shek1245,Sheko,5,0,1,0,0
3032,aton1241,Atong,3,0,0,0,0
3101,assy1241,Neo-Aramaic (Barwar),2,2,2,0,0
3173,sida1246,Sidaama,6,1,0,0,0
3213,oldi1245,Irish (Old),2,2,3,0,0
3229,NA,Torlak Serbian,1,2,5,0,0
3239,atin1240,Laz (Pazar),5,4,1,0,0
3240,ashe1272,Ashéninka Perené,9,3,0,0,0
3243,nort2646,Pashto (Northern),2,2,0,0,0
3272,zaiw1241,Zaiwa,2,1,0,0,0
3278,tsho1240,Tshobdun,1,5,0,0,0
3298,mong1332,Mongsen Khari,1,1,0,0,0
3301,yong1270,Yongning Na,0,1,0,0,0
3312,west2368,Balochi (Western),2,2,0,0,0
3313,tang1334,Tangut,2,3,0,0,1
3315,anuu1241,Hkongso,0,2,1,0,0
3318,kurt1248,Kurtokha,4,0,0,0,0
3326,situ1238,Jiǎomùzú,1,4,0,0,0
3331,guan1266,Khroskyabs,0,8,0,0,0
