LID,Glottocode,Language,MarkerHasPreposedExponentForADefault,MarkerHasPreposedExponentForUDefault,MarkerHasPreposedExponentForSDefault,MarkerHasPreposedExponentForBDefault,MarkerHasPreposedExponentForPOSSDefault,MarkerHasPreposedExponentForARGNom,MarkerHasPreposedExponentForOAdp,MarkerHasPreposedExponentForAFF,MarkerHasPreposedExponentForTDefault,MarkerHasPreposedExponentForIDefault,MarkerHasPreposedExponentForGDefault,MarkerHasPreposedExponentForCore,MarkerHasPreposedExponentForPat,MarkerHasPreposedExponentForUBDefault
223,sout2729,Pumi,FALSE,,,,,,,,,,,,,
468,east2773,Newar (Dolakha),FALSE,,,,,,,,,,,,,
169,mait1250,Maithili,FALSE,,,,,,,,,,,,,
632,wayu1241,Hayu,FALSE,FALSE,,,,,,,,,,,,
2826,darg1241,Dargi (standard),FALSE,TRUE,,,,,,,,,,,,
2779,yele1255,Yelî Dnye,TRUE,FALSE,,,,,,,,,,,,
196,murr1258,Murrinh-patha,TRUE,FALSE,,,,,,,,,,,,
69,nubi1251,Nubian (Dongolese),FALSE,,,,,,,,,,,,,
387,tuvi1240,Tuva,FALSE,,,,,,,,,,,,,
177,marg1265,Margi,TRUE,FALSE,TRUE,,,,,,,,,,,
1531,ghod1238,Godoberi,,TRUE,TRUE,,,,,,,,,,,
2949,darg1241,Dargi (Icari),TRUE,TRUE,,,,,,,,,,,,
208,nezp1238,Nez Perce,TRUE,TRUE,,,,,,,,,,,,
192,movi1243,Movima,FALSE,,,,,,,,,,,,,
392,urar1246,Urarina,FALSE,,,,,,,,,,,,,
551,leal1235,Chinantec (Lealao),TRUE,FALSE,,,,,,,,,,,,
50,chic1272,Chichimec,TRUE,FALSE,,,,,,,,,,,,
3101,assy1241,Neo-Aramaic (Barwar),FALSE,FALSE,,,,,,,,,,,,
2393,selk1253,Selkup,FALSE,FALSE,,,,,,,,,,,,
2564,thom1243,Thompson,FALSE,FALSE,,,,,,,,,,,,
678,bulg1262,Bulgarian,FALSE,TRUE,,TRUE,,,,,,,,,,
2330,poli1260,Polish,FALSE,,,,,,,,,,,,,
2447,slov1268,Slovene,FALSE,,,,,,,,,,,,,
675,kaba1278,Circassian (East),TRUE,TRUE,,TRUE,,,,,,,,,,
3229,,Torlak Serbian,FALSE,TRUE,,TRUE,,,,,,,,,,
1890,lith1251,Lithuanian,FALSE,,,,,,,,,,,,,
549,latv1249,Latvian,FALSE,,,,,,,,,,,,,
683,roma1327,Romanian,FALSE,TRUE,,TRUE,,,,,,,,,,
2471,croa1245,Serbian-Croatian,FALSE,,,,,,,,,,,,,
2412,seri1257,Seri,TRUE,TRUE,,,,,,,,,TRUE,,,
2984,mian1256,Mian,FALSE,TRUE,,FALSE,,,,,,,,,,
656,koro1312,Korowai,FALSE,,,,,,,,,,,,,
1364,ngar1235,Bilinara,,,,,,,,,,,,,,
885,yane1238,Amuesha,TRUE,FALSE,,,,,,,,,,,,
658,yany1243,Yanyuwa,TRUE,TRUE,,,,,,,,,,,,
1363,nang1259,Ngan'gityemerri,TRUE,FALSE,,FALSE,,,,,,,,,,
3240,ashe1272,Ashéninka Perené,TRUE,FALSE,,,,,,,,,,,,
352,shua1257,Shuar,FALSE,FALSE,,,,,,,,,,,,
2050,moco1246,Mocoví,TRUE,TRUE,,,,,,,,,,,,
426,yura1255,Yurakare,FALSE,TRUE,,TRUE,,,,,,,,,,
1385,sout2991,Quechua (Cochabamba),FALSE,FALSE,,,,,,,,,,,,
326,paez1247,Paez,FALSE,,,,,,,,,,,,,
2508,suab1238,Inanwatan,TRUE,,,,,,,,,,,,,
2951,kara1500,Karajá,TRUE,TRUE,,,,,,,,,,,,
2900,aves1237,Avestan,FALSE,,,,,,,,,,,,,
2726,wels1247,Welsh,,,,,,,,,,,,,,
1067,bret1244,Breton,FALSE,,,,,,,,,,,,,
2832,goth1244,Gothic,FALSE,,,,,,,,,,,,,
2856,oldn1244,Old Norse,FALSE,,,,,,,,,,,,,
2514,tapi1253,Tapiete,TRUE,TRUE,,,,,,,,,,,,
110,icel1247,Icelandic,FALSE,,,,,,,,,,,,,
633,kash1277,Kashmiri,FALSE,FALSE,,FALSE,,,,,,,,,,
3243,nort2646,Pashto (Northern),,,,,,,,,,,,FALSE,,
100,hitt1242,Hittite,FALSE,,,,,,,,,,,,,
2831,anci1242,Greek (Ancient),FALSE,,,,,,,,,,,,,
2833,olde1238,English (Old),FALSE,,,,,,,,,,,,,
641,oriy1255,Oriya,FALSE,,,,,,,,,,,,,
2854,oldh1241,High German (Old),FALSE,,,,,,,,,,,,,
2855,olds1250,Old Saxon,FALSE,,,,,,,,,,,,,
699,sans1269,Sanskrit,FALSE,,,,,,,,,,,,,
2360,caml1239,Camling,TRUE,TRUE,,,,,,,,,,,,
3278,tsho1240,Tshobdun,FALSE,TRUE,,,,,,,,,,,,
1694,japh1234,Jiarong,TRUE,TRUE,,,,,,,,,,,,
691,tibe1272,Tibetan (Lhasa),FALSE,,,,,,,,,,,,,
975,bard1255,Bardi,TRUE,FALSE,,FALSE,TRUE,,,,,,,,,
