LID,Glottocode,Language,MarkerHasPostposedExponentForTAMPlus,MarkerHasPostposedExponentForOperators,MarkerHasPostposedExponentForValence,MarkerHasPostposedExponentForInterClausal,MarkerHasPostposedExponentForOther,MarkerHasPostposedExponentForPragmatic,MarkerHasPostposedExponentForNumber,MarkerHasPostposedExponentForEvidential,MarkerHasPostposedExponentForNPRelated,MarkerHasPostposedExponentForClassification,MarkerHasPostposedExponentForEventSpecs,MarkerHasPostposedExponentForRole
84,gara1269,Garrwa,TRUE,,TRUE,,,,TRUE,,,,,
419,yess1239,Yessan-Mayo,TRUE,,,,,TRUE,FALSE,,,,,
1364,ngar1235,Bilinara,TRUE,,,,,TRUE,,,,,,
885,yane1238,Amuesha,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,
658,yany1243,Yanyuwa,TRUE,,FALSE,,,,,,,,,
66,dhuw1249,Djapu,TRUE,,TRUE,,,,FALSE,,,,,
1772,gugu1255,Guugu Yimidhirr,TRUE,,TRUE,,,,,,,,,
1363,nang1259,Ngan'gityemerri,TRUE,,,,,,TRUE,,,,,
3240,ashe1272,Ashéninka Perené,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,
352,shua1257,Shuar,TRUE,TRUE,TRUE,TRUE,,,,,,,,
2050,moco1246,Mocoví,FALSE,FALSE,FALSE,,,,TRUE,,,,TRUE,
426,yura1255,Yurakare,TRUE,,TRUE,,,,TRUE,TRUE,,,TRUE,
1385,sout2991,Quechua (Cochabamba),TRUE,,TRUE,,,TRUE,TRUE,,,,,
326,paez1247,Paez,TRUE,TRUE,,,,FALSE,,,,,,
2508,suab1238,Inanwatan,TRUE,TRUE,,,,,,,,,,
2951,kara1500,Karajá,TRUE,TRUE,FALSE,,,FALSE,TRUE,,,,,
2900,aves1237,Avestan,TRUE,,TRUE,,,,,,,,,
2726,wels1247,Welsh,,,,,,,,,,,,
2456,sinh1246,Sinhala,TRUE,,,TRUE,,TRUE,,,,,,
1067,bret1244,Breton,TRUE,,,,,,,,,,,
2832,goth1244,Gothic,TRUE,,,,,,,,,,,
2856,oldn1244,Old Norse,TRUE,TRUE,TRUE,,,,,,,,,
2514,tapi1253,Tapiete,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,
110,icel1247,Icelandic,TRUE,,,,,,,,,,,
633,kash1277,Kashmiri,TRUE,,TRUE,,,,,,,,,
3243,nort2646,Pashto (Northern),TRUE,FALSE,,,,,,,,,,
100,hitt1242,Hittite,TRUE,,,,,,,,,,,
2831,anci1242,Greek (Ancient),TRUE,,,,,,,,,,,
2833,olde1238,English (Old),TRUE,,,,,,,,,,,
641,oriy1255,Oriya,TRUE,TRUE,TRUE,,,,,,,,,
844,afri1274,Afrikaans,FALSE,,,,,,,,,,,
2854,oldh1241,High German (Old),TRUE,,,,,,,,,,,
2855,olds1250,Old Saxon,TRUE,,,,,,,,,,,
699,sans1269,Sanskrit,TRUE,,,,,,,,,,,
2360,caml1239,Camling,TRUE,FALSE,,TRUE,,,,,,,,
672,jing1260,Jingpho,TRUE,FALSE,,,,,,,,,,
3278,tsho1240,Tshobdun,FALSE,FALSE,,,,,,,,,,FALSE
