LID,Glottocode,Language,MarkerHasPreposedExponentForTAM,MarkerHasPreposedExponentForPolarity,MarkerHasPreposedExponentForVoice,MarkerHasPreposedExponentForMood,MarkerHasPreposedExponentForValence,MarkerHasPreposedExponentForAktionsart,MarkerHasPreposedExponentForConnective,MarkerHasPreposedExponentForSemistem,MarkerHasPreposedExponentForReferential,MarkerHasPreposedExponentForCausative,MarkerHasPreposedExponentForAspect,MarkerHasPreposedExponentForTM,MarkerHasPreposedExponentForDeixis,MarkerHasPreposedExponentForMSE,MarkerHasPreposedExponentForQuantificational,MarkerHasPreposedExponentForMA,MarkerHasPreposedExponentForTense,MarkerHasPreposedExponentForTA,MarkerHasPreposedExponentForPotentialis,MarkerHasPreposedExponentForApplicative,MarkerHasPreposedExponentForNumber,MarkerHasPreposedExponentForReflexiveAndReciprocal,MarkerHasPreposedExponentForVersion,MarkerHasPreposedExponentForIllocution,MarkerHasPreposedExponentForMTN,MarkerHasPreposedExponentForStatus,MarkerHasPreposedExponentForEvidential,MarkerHasPreposedExponentForConstruct,MarkerHasPreposedExponentForNominalizer,MarkerHasPreposedExponentForHonorificity,MarkerHasPreposedExponentForFocus,MarkerHasPreposedExponentForSwitchReference,MarkerHasPreposedExponentForSymmetricalVoice,MarkerHasPreposedExponentForRECIP,MarkerHasPreposedExponentForTE,MarkerHasPreposedExponentForReflexive,MarkerHasPreposedExponentForClassifier,MarkerHasPreposedExponentForME,MarkerHasPreposedExponentForRepetition,MarkerHasPreposedExponentForSpatial,MarkerHasPreposedExponentForMotion,MarkerHasPreposedExponentForModality,MarkerHasPreposedExponentForDirection,MarkerHasPreposedExponentForPosterior,MarkerHasPreposedExponentForControl,MarkerHasPreposedExponentForQuotative,MarkerHasPreposedExponentForReversative,MarkerHasPreposedExponentForAffect,MarkerHasPreposedExponentForAE,MarkerHasPreposedExponentForTAME,MarkerHasPreposedExponentForConditional,MarkerHasPreposedExponentForPossessor,MarkerHasPreposedExponentForTAE,MarkerHasPreposedExponentForTN
2393,selk1253,Selkup,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,thom1243,Thompson,,,FALSE,FALSE,,,,,,FALSE,TRUE,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,
678,bulg1262,Bulgarian,TRUE,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
2330,poli1260,Polish,,TRUE,FALSE,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,slov1268,Slovene,,TRUE,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,kaba1278,Circassian (East),,TRUE,,,,,,,,TRUE,,,TRUE,,,,FALSE,,,,,,TRUE,FALSE,,,FALSE,,,,,,,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,,,,
3229,,Torlak Serbian,TRUE,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
1890,lith1251,Lithuanian,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,latv1249,Latvian,,TRUE,,,,,,,,,TRUE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,roma1327,Romanian,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471,croa1245,Serbian-Croatian,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2412,seri1257,Seri,,TRUE,TRUE,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,
2984,mian1256,Mian,FALSE,FALSE,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,koro1312,Korowai,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,
84,gara1269,Garrwa,,,,,,,,,,FALSE,,,,,FALSE,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,yess1239,Yessan-Mayo,,,,,,,,,,,FALSE,,FALSE,,TRUE,,,FALSE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
1364,ngar1235,Bilinara,FALSE,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,yane1238,Amuesha,,FALSE,,,,,,,,TRUE,,,FALSE,,FALSE,,,FALSE,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,yany1243,Yanyuwa,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,dhuw1249,Djapu,FALSE,,,,,,,,,FALSE,,,,,TRUE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,gugu1255,Guugu Yimidhirr,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,nang1259,Ngan'gityemerri,FALSE,,,,,,,,,,,,,,TRUE,,FALSE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3240,ashe1272,Ashéninka Perené,,FALSE,,,,,,,FALSE,TRUE,,,,,FALSE,,FALSE,,,FALSE,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,
352,shua1257,Shuar,,FALSE,,FALSE,,,,,,,,,,,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,
2050,moco1246,Mocoví,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
426,yura1255,Yurakare,,,FALSE,,,,,,,,TRUE,,,FALSE,FALSE,,,,,TRUE,,TRUE,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
1385,sout2991,Quechua (Cochabamba),,,,,,FALSE,,,,,,,FALSE,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,
326,paez1247,Paez,,FALSE,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,
2508,suab1238,Inanwatan,,FALSE,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2951,kara1500,Karajá,,FALSE,TRUE,,TRUE,,,,,,,,TRUE,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
2900,aves1237,Avestan,FALSE,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726,wels1247,Welsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,sinh1246,Sinhala,,,,FALSE,,,FALSE,,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
1067,bret1244,Breton,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2832,goth1244,Gothic,,,,FALSE,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2856,oldn1244,Old Norse,,TRUE,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
2514,tapi1253,Tapiete,,FALSE,,TRUE,,,FALSE,,,TRUE,FALSE,,,,,,FALSE,,,,,,,FALSE,,,FALSE,,,,,,,FALSE,,TRUE,,,,,,,,,,,,,,,,,,
110,icel1247,Icelandic,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,kash1277,Kashmiri,,,,FALSE,,,,,,FALSE,FALSE,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3243,nort2646,Pashto (Northern),,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,hitt1242,Hittite,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2831,anci1242,Greek (Ancient),,,,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2833,olde1238,English (Old),,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,oriy1255,Oriya,,FALSE,,,,,,,,FALSE,FALSE,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,afri1274,Afrikaans,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2854,oldh1241,High German (Old),,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2855,olds1250,Old Saxon,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,sans1269,Sanskrit,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360,caml1239,Camling,,TRUE,,,,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,jing1260,Jingpho,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3278,tsho1240,Tshobdun,,TRUE,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
1694,japh1234,Jiarong,,TRUE,,,,TRUE,,,,,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
552,lepc1244,Lepcha,,TRUE,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,tibe1272,Tibetan (Lhasa),,TRUE,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,
2617,tsha1245,Tshangla,FALSE,TRUE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
975,bard1255,Bardi,,,,,TRUE,FALSE,FALSE,,,,,,,,,,TRUE,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
3312,west2368,Balochi (Western),,TRUE,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716,uppe1395,Sorbian (Upper),,TRUE,,,,,,,,,TRUE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2916,wakh1245,Wakhi,,TRUE,,,,,,,,FALSE,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2893,lati1261,Latin,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1395,vlax1238,Romani (Vlax),,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3213,oldi1245,Irish (Old),FALSE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,dutc1256,Dutch,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,faro1244,Faroese,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399,dara1250,Darai,FALSE,,,TRUE,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987,jams1239,Dogon (Jamsay),,FALSE,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3239,atin1240,Laz (Pazar),,,,,,,,,,FALSE,FALSE,,TRUE,,,,FALSE,,,,FALSE,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
1964,male1284,Maale,,FALSE,,FALSE,,,,,,FALSE,FALSE,,,,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,cupe1243,Cupeño,,,,,,,,,,,FALSE,,,,TRUE,,,FALSE,,,FALSE,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,lowl1265,Rarámuri,FALSE,,FALSE,,,,,,,,,,,,FALSE,,,FALSE,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,
3313,tang1334,Tangut,,TRUE,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,karb1241,Mikir,,FALSE,,FALSE,,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,
2180,rong1266,Rongmei Naga,,FALSE,,,,,,,,TRUE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
3315,anuu1241,Hkongso,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,cora1260,Cora,,,FALSE,,,FALSE,,,,,,,,,TRUE,,,,,,FALSE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,FALSE,,,,,,,,,,,,
368,tawa1275,Tawala,,,,,,,,,,,TRUE,,FALSE,,,,TRUE,,,,,,,,,TRUE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
68,djin1251,Djingili,,,,,,,,TRUE,,,,,FALSE,,,,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2196,narp1239,Nar-Phu,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2871,nort2732,Northern Tujia,,TRUE,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,pwoe1235,Karen (Pwo),,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,lisu1250,Lisu,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2873,bant1281,Bantawa,,TRUE,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3032,aton1241,Atong,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,gahr1239,Bunan,,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,chep1245,Chepang,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3326,situ1238,Jiǎomùzú,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,nung1282,Anong,,,,,,,,,,,FALSE,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,FALSE,
767,galo1242,Gallong,,FALSE,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,
2563,than1259,Thangmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3298,mong1332,Mongsen Khari,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
1317,dhim1246,Dhimal,,TRUE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3318,kurt1248,Kurtokha,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,raji1240,Raji,,FALSE,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,tang1336,Naga (Tangkhul),,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376,tase1235,Jugli,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662,yaku1245,Yakut,FALSE,FALSE,FALSE,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
18,aleu1260,Aleut,FALSE,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,,,,,,,,,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
2657,udih1248,Udihe,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
730,thak1245,Thakali,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,esto1258,Estonian,,FALSE,FALSE,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,FALSE,,,
3301,yong1270,Yongning Na,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388,darm1243,Darmiya,,TRUE,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,kild1236,Saami (Kildin),FALSE,TRUE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,shek1245,Sheko,,,FALSE,FALSE,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,
3173,sida1246,Sidaama,,TRUE,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
2936,phal1254,Palula,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,sout2674,Saami (South),FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,pite1240,Saami (Pite),,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,byan1241,Byangsi,,FALSE,FALSE,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,amdo1237,Amdo,FALSE,TRUE,,,,,,,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
1775,kulu1253,Kulung,,TRUE,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,khal1275,Khaling,,TRUE,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3272,zaiw1241,Zaiwa,,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,rong1264,Rongpo,,TRUE,FALSE,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,lush1249,Mizo (Lushai),,FALSE,,,,,,,,,,,TRUE,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
2824,clas1254,Tibetan (Classical),,TRUE,,FALSE,,,,,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
667,thul1246,Thulung (Mukli),,TRUE,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
3331,guan1266,Khroskyabs,,TRUE,,TRUE,,,,,,,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
2862,chhi1245,Chintang,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
