LID,Glottocode,Language,HasAnyVerbAgreement,MorphemeClassesCount,PreposedMorphemeClassesCount,PostposedMorphemeClassesCount,HasAnyPrefixes,HasAnySuffixes,HasAnyInfixes,HasAnyProclitics,HasAnyEnclitics,HasAnyEndoclitics,HasAnyPreposedFormatives,HasAnyPostposedFormatives,HasAnyInterposedFormatives,HasAnyFlexivity,HasAnyFlexivityForNouns,HasAnyFlexivityForVerbs,HasAnyLexicalFlexivity,HasAnyLexicalFlexivityForNouns,HasAnyLexicalFlexivityForVerbs,HasAnyPolyexponence,HasAnyPolyexponenceForNouns,HasAnyPolyexponenceForVerbs,VerbSlotsInOppositionToZeroCount,PreposedVerbSlotsInOppositionToZeroCount,PostposedVerbSlotsInOppositionToZeroCount
15,akka1240,Akkadian,TRUE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,0
23,stan1318,Arabic,TRUE,,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,0
21,amha1245,Amharic,TRUE,,,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,0,
65,dizi1235,Dizi,TRUE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,0,
324,east2652,Oromo,TRUE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,0
34,beja1238,Beja,TRUE,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
360,sume1241,Sumerian,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,
73,elam1244,Elamite,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
108,hurr1240,Hurrian,TRUE,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
32,basq1248,Basque,TRUE,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
