"LID","AlignmentAgrAccDegree.binned3","AlignmentAgrAccDegree","AlignmentAgrDominantPTG","AlignmentAgrDominantSAP","AlignmentAgrDominantSAPTG","AlignmentAgrErgDegree.binned3","AlignmentAgrErgDegree","AlignmentCaseAccDegree.binned3","AlignmentCaseAccDegree","AlignmentCaseDominantPTG","AlignmentCaseDominantSAP","AlignmentCaseDominantSAPTG","AlignmentCaseErgDegree.binned3","AlignmentCaseErgDegree","AlignmentCaseDominantLexSAP","AlignmentCaseDominantProSAP","CaseSplitByPolarity.Presence","AgrSplitByRef.Presence","CaseSplitByRef.Presence","AgrSplitByValClass.Presence","CaseSplitByValClass.Presence","AgrSplitByRank.Presence","CaseSplitByRank.Presence","AgrSplitByCat.Presence","CaseSplitByCat.Presence","AlignmentAgrMarkerAccDegree","AlignmentAgrMarkerDominantSAP","AlignmentAgrMarkerErgDegree.binned3","AlignmentAgrMarkerErgDegree"
3032,,,,,,,,"medium",0.666666666666667,"P=T≠G","S=Atr≠P","S=Atr=Aditr≠P=T≠G","low",0,"accusative","accusative",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3037,,,,,,,,"low",0,"P=T=G","S=Atr=P","S=Atr=Aditr=P=T=G","low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3038,"high",1,"P=T=G","S=Atr≠P","S=Atr=Aditr≠P=T=G","low",0,"medium",0.5,,"mixed",,"low",0,,"accusative",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3039,"high",1,,"S=Atr≠P",,"low",0,"medium",0.5,,"mixed",,"low",0,,"accusative",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.666666666666667,"S=Atr≠P","low",0
3040,"high",1,"P=T=G","S=Atr≠P","S=Atr=Aditr≠P=T=G","low",0,"high",1,"P=T≠G","S=Atr≠P","S=Atr=Aditr≠P=T≠G","low",0,"accusative","accusative",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.666666666666667,"S=Atr≠P","low",0
3042,"high",1,,"S=Atr≠P",,"low",0,"high",1,,"S=Atr≠P",,"low",0,"accusative","accusative",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.666666666666667,"S=Atr≠P","low",0
3044,"low",0,"P=T=G","S=Atr=P","S=Atr=Aditr=P=T=G","low",0,"medium",0.666666666666667,"P=T=G","S=Atr≠P","S=Atr=Aditr≠P=T=G","low",0,"accusative","accusative",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,"S=Atr≠P","low",0
3045,,,,,,,,"low",0.285714285714286,"P=T=G","S=Atr=P","S=Atr=Aditr=P=T=G","low",0,,"accusative",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3046,,,,,,,,"medium",0.571428571428571,"P=T=G","S=Atr≠P","S=Atr=Aditr≠P=T=G","low",0,,"accusative",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3047,,,,,,,,"low",0,,"S=Atr=P",,"low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
