"LID","VInflClassification.Position.binned5","VInflEvidential.Position.binned5","VInflInter_clausal.Position.binned5","VInflNP_related.Position.binned5","VInflNumber.Position.binned5","VInflOperators.Position.binned5","VInflPerson.Position.binned5","VInflPragmatic.Position.binned5","VInflPragmatics.Position.binned5","VInflRole.Position.binned5","VInflTAM.Position.binned5","VInflValence.Position.binned5"
456,,,,,,,,,,,"post",
458,,,,,"post","prae",,"prae",,,"prae","prae"
458,,,,,,,,,,,"post",
460,,,,,,,,,,,"prae",
460,,,,,,,,,,,"post",
461,,,,,"prae","prae",,,,,"prae","prae"
461,,,,,"post",,,,,,"post",
464,,,,,,,,,,,"post","post"
469,,,,,"post","post",,,,,"post",
481,,,,,"post",,,"prae",,,"post","post"
481,,,,,,,,,,,,"prae"
491,,,,,,,,"prae",,,"prae","prae"
495,,,,,,,,,,,"prae","post"
498,,,,,"post","prae",,"prae",,,"prae","prae"
498,,,,,,,,"post",,,,
499,,,,,,,,"post",,,"prae",
511,,,,,,,,,,,"post","post"
514,,,,,"post","post",,,,,"post","post"
515,,,,,,"post",,,,,"prae",
515,,,,,,,,,,,"post",
526,,,,,"post","post",,"post",,,"post",
527,,,,,"post",,,,,,"post","post"
528,,,,,"post","post",,,,,"post",
530,,,,,"in","post","post",,,,"post",
533,,,,,,"post",,,,,"post",
540,,,,,,"simul",,,,,"prae",
540,,,,,,,,,,,"post",
545,,,,,,"prae",,"post","post",,"prae",
549,,,,,,,,,,,"post",
551,,,,,,,,,,,"prae",
558,,,,,,"prae",,,,,"post",
567,,"post",,,"post","post",,,,,"post",
568,,,,,"post",,,,,,"in",
568,,,,,"in",,,,,,"post",
571,,,,,,"prae",,,,,"prae",
580,,,,,,,,"post",,,"prae","post"
580,,,,,,,,,,,"post",
581,,,,,,,,,,,"prae","prae"
581,,,,,,,,,,,"post","post"
582,,,,,,,,"post",,,"post","post"
583,,,,,,,,,,,"in","in"
608,,,,,,,,,,,"post",
612,,,,,"post","post",,,,,"post","post"
619,,,,,,,,,,,"post","post"
619,,,,,,,,,,,"prae",
620,,,,,,,,"post",,,"prae","post"
620,,,,,,,,,,,"post",
632,,,,,,,,,,,"post",
633,,,,,,,,,,,"post","post"
635,,,,,"in",,,,,,"post","post"
641,,,,,,"post",,,,,"post","post"
642,,,,,,"simul",,,,,"prae","prae"
642,,,,,,,,,,,"in",
643,,,,,"post","simul",,,,,"post",
646,,,,,"in","post",,,,,"post",
648,,,,,,"post",,,,,"post",
654,,,,"post",,,,,,,"prae",
655,,,,,"prae",,,"prae",,,"prae","prae"
655,,,,,,,,,,,"post","post"
658,,,,,,,,,,,"prae","prae"
658,,,,,,,,,,,"post",
668,,,,,,,,,,,"prae",
668,,,,,,,,,,,"split",
668,,,,,,,,,,,"post",
669,,,,,,,,,,,"post",
675,,"post",,,,"prae",,"prae",,,"prae","prae"
675,,,,,,,,,,,"post",
677,,,,,,,,,,,"post","post"
678,,,,,,,,,,,"split","split"
679,,,,,,,,,,,"post","post"
680,,,,,,,,,"post",,"post","post"
681,,,,,,,,,"post",,"post","post"
683,,,,,,,,,,,"split","split"
685,,,,,"prae",,,,,,"post","prae"
685,,,,,"post",,,,,,,
686,,,,,"post",,,,,,"post",
687,,,,,,,,,,,"post","post"
692,,,,,"prae",,,"post",,,"prae",
692,,,,,,,,,,,"post",
693,"post",,,,,,,,,,"post",
699,,,,,,,,,,,"split",
700,,,,,,,,,,,"post","post"
725,,,,,,,,,,,"post","prae"
780,,,,,"prae","post",,,,,"post","post"
790,,,,,,,,,,,"post",
844,,,,,,,,,,,"prae",
885,,,,,"post","post",,"post",,,"post","prae"
885,,,,,,,,,,,,"post"
917,,,,,,"post",,,,,,
942,,,,,"in","post",,,,,"post",
1067,,,,,,,,,,,"post",
1108,,,,,"prae",,,"post",,,"prae","prae"
1108,,,,,,,,,,,"post",
1140,,,,,,,,,,,"post","prae"
1140,,,,,,,,,,,,"post"
1363,,,,,"prae",,,,,,"post",
1363,,,,,"post",,,,,,,
1364,,,,,,,,"post",,,"post",
1364,,,,,"in",,,,,,,
1385,,,,,"post",,,"post",,,"post","post"
1531,,,"post",,,"post",,,,,"post","post"
1542,,"post",,,,"post",,,,,"post",
1623,,,,,"in",,,,,"post","post","post"
1772,,,,,,,,,,,"post","post"
1807,,"post",,,"in",,,,,,"post","post"
1816,,,,,,"post",,,,,,
1816,,,,,,,,,,,"in",
1840,,,,,,"post",,,,,"post",
1890,,,,,,,,,,,"post",
1954,,"post","split","post",,"prae",,,,,"post",
2024,,,,,,,,,,,"split","prae"
2024,,,,,,,,,,,"post",
2024,,,,,,,,,,,"prae",
2050,,,,,"post","prae",,,,,"prae","prae"
2172,,"post",,,,,,,,,"in","post"
2172,,,,,,,,,,,"post",
2330,,,,,,,,,,,"split","post"
2330,,,,,,,,,,,"post",
2360,,,"post",,,"split",,,,,"post",
2388,,,,,,"post",,,,,"in",
2388,,,,,,,,,,,"post",
2393,,,,,,,,,,,"simul","post"
2393,,,,,,,,,,,"post",
2412,,"post",,,,"prae",,"prae",,,"prae","prae"
2412,,,"post",,,,,,,,,
2447,,,,,,,,,,,"split",
2447,,,,,,,,,,,"post",
2456,,,"post",,,,,"post",,,"post","in"
2471,,,,,,,,,,,"split",
2471,,,,,,,,,,,"post",
2508,,,,,,"post",,,,,"post",
2513,,,"post",,,"simul",,,,,"post","post"
2514,,"post","post",,,"post",,,,,"post","in"
2514,,,,,,,,,,,"prae","split"
2514,,,,,,,,,,,,"prae"
2564,,,,,"post",,,,,"post","prae","post"
2564,,,,,,,,,,,"post",
2572,,"post",,,"in",,,,,,"post","post"
2577,,,,,,"in",,,,,"in","post"
2672,,,,,,,,,,,"post",
2828,,,,,,"post",,,,,"post",
2831,,,,,,,,,,,"post",
2831,,,,,,,,,,,"split",
2831,,,,,,,,,,,"prae",
2832,,,,,,,,,,,"post","in"
2833,,,,,,,,,,,"split",
2854,,,,,,,,,,,"post",
2855,,,,,,,,,,,"post",
2856,,,,,,"split",,,,,"split",
2856,,,,,,,,,,,"post",
2900,,,,,,,,,,,"post","post"
2949,"prae","post",,,"post","split","post","prae",,,"prae",
2949,,,,,,,,,,,"post",
2951,,,,,"post","post",,"prae",,,"post","prae"
2984,,,,,,"post",,,,,"post",
3101,,,,,,"prae",,,,,"split","split"
3101,,,,,,,,,,,"prae",
3143,,,,,,,,"post",,,"post","post"
3229,,,,,,,,,,,"split","split"
3240,,"post",,,"post","post",,,"post",,"prae","prae"
3240,,,,,,,,,,,"post","post"
3243,,,,,,"prae",,,,,"post",
