"LID","VInflAktionsart.Pre.Presence","VInflApplicative.Pre.Presence","VInflAspect.Pre.Presence","VInflCausative.Pre.Presence","VInflClassifier.Pre.Presence","VInflConnective.Pre.Presence","VInflConstruct.Pre.Presence","VInflControl.Pre.Presence","VInflDeixis.Pre.Presence","VInflVoice.Pre.Presence","VInflFocus.Pre.Presence","VInflPosterior.Pre.Presence","VInflGender.Pre.Presence","VInflIllocution.Pre.Presence","VInflMA.Pre.Presence","VInflMN.Pre.Presence","VInflModality.Pre.Presence","VInflMood.Pre.Presence","VInflMotion.Pre.Presence","VInflMSE.Pre.Presence","VInflNominalizer.Pre.Presence","VInflNumber.Pre.Presence","VInflPerson.Pre.Presence","VInflPolarity.Pre.Presence","VInflPotentialis.Pre.Presence","VInflQuantificational.Pre.Presence","VInflReflexive_and_Reciprocal.Pre.Presence","VInflRECIP.Pre.Presence","VInflReferential.Pre.Presence","VInflReflexive.Pre.Presence","VInflRepetition.Pre.Presence","VInflReversative.Pre.Presence","VInflSemistem.Pre.Presence","VInflSpatial.Pre.Presence","VInflStatus.Pre.Presence","VInflSwitch_reference.Pre.Presence","VInflTense_and_Evidential.Pre.Presence","VInflTA.Pre.Presence","VInflTAM.Pre.Presence","VInflTense.Pre.Presence","VInflTM.Pre.Presence","VInflValence.Pre.Presence","VInflVersion.Pre.Presence"
119,,,FALSE,FALSE,,,,,,,,,,,,,,,FALSE,,,,,FALSE,,FALSE,,,,,,,,,,,,,,FALSE,,,
123,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,FALSE,,,,,,,,,,,,FALSE,,,,
125,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,,,,,,,,,FALSE,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,
134,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,,,,,,,,FALSE,,,,,,,,
136,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,FALSE,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
145,,,FALSE,,,,,,FALSE,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,,
147,,,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,FALSE,,,
155,FALSE,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
168,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,FALSE,,,
176,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,FALSE,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,
178,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,,,,,,,,FALSE,,,,,,FALSE,,
179,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,,,
180,,FALSE,FALSE,FALSE,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,FALSE,,,
188,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
191,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,FALSE,,,,,,,,,FALSE,,,,
192,,FALSE,,FALSE,,,,,,FALSE,,,,,,,FALSE,FALSE,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,
193,,,FALSE,,,,,,,,,,,,,,FALSE,,FALSE,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,,FALSE,,,,,
196,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,FALSE,,,,,,,,,,,FALSE,FALSE,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
199,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,FALSE,,,
201,FALSE,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
202,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,FALSE,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,
206,,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,
208,,,FALSE,FALSE,,,,,,,,,,,,,,FALSE,,,,FALSE,,,,FALSE,,FALSE,,FALSE,,,,,,,,,,FALSE,,,
212,FALSE,,,,,,,,FALSE,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,
221,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,FALSE,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
325,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
326,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,FALSE,,,,,FALSE,,,
340,,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
352,,FALSE,,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,FALSE,,,,,,,,,FALSE,,,,FALSE,,,
356,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,FALSE,,,
357,FALSE,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,FALSE,,,
365,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
367,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,FALSE,,,
370,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
382,,,FALSE,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,FALSE,,,,,,,,FALSE,,,,FALSE,,,,
383,,,FALSE,FALSE,,,,,FALSE,,,,,,,,,FALSE,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,
385,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,FALSE,,,,FALSE,,,,
386,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,FALSE,,
388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
389,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,FALSE,,,,
390,,,FALSE,,,,,,FALSE,,,FALSE,,,,,,,,,,FALSE,,,,,FALSE,,FALSE,,,,,,FALSE,,,,,,FALSE,,
392,,,FALSE,FALSE,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,
395,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,FALSE,,,,
400,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,
401,,,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,FALSE,,,
402,,,FALSE,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
406,,,FALSE,FALSE,,,,,FALSE,,,,,FALSE,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,FALSE,,,,
408,,,FALSE,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,,
409,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
411,,FALSE,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,FALSE,,,
413,,,FALSE,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
418,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,
