"LID","VInlfCatSurveyComplete","VBipartiteStem.Presence","VInflCat","VInflMacrocategories","VInflCatAndAgrMax.n","VInflCatMax.n","VInflCatMax.binned3","VInflCatAndAgrMax.binned3","VInflCatAndAgrFmtvMax.n","VInflCatFmtvMax.n","VInflCatandAgrFmtvMax.binned3","VAnyIncorporation.Presence","VInflExponence","VNounIncorporation.Presence","VPhonCoherence.Presence","VAgrAllPre.Presence","VAgrAnyPre.Presence","VProsCoherence.Presence","VAgrRoles","VInflMax.n","VSynCoherence.Presence","VInflMax.binned3","VIncorporationVorN.Presence","VIncorporationV.Presence"
2824,TRUE,TRUE,"Aspect,Honorificity,MA,Mood,Polarity","operators,pragmatic,TAM+",5,5,"low","medium",4,4,"low",FALSE,"cumulative",,TRUE,,,,,9,TRUE,"low",,
2871,TRUE,FALSE,"Deixis,Polarity","operators,pragmatic",2,2,"low","low",2,2,"low",FALSE,"separative",,TRUE,,,FALSE,,4,TRUE,"low",,
493,,,"Aspect,Status,Tense","TAM+",4,3,"low","low",4,3,"low",FALSE,"separative",,,,,,"A-default",8,,"low",,
2855,TRUE,FALSE,"Mood,Tense","TAM+",3,2,"low","low",3,2,"low",FALSE,"separative",,,FALSE,FALSE,TRUE,"A-default",6,TRUE,"low",,
552,TRUE,,"Mood,Polarity,TA","operators,TAM+",3,3,"low","low",4,4,"low",TRUE,"distributive",FALSE,,,,,,7,,"low",TRUE,TRUE
130,,TRUE,"Aspect,Evidential,Polarity,Tense,Voice","evidential,operators,TAM+,valence",6,,,"medium",5,,"low",FALSE,"cumulative",,TRUE,FALSE,FALSE,TRUE,"A-default",11,TRUE,"low",,
1364,TRUE,,"Aspect,Deixis,Illocution,Number,Quantificational,Reflexive_and_Reciprocal,TAM","number,pragmatic,TAM+,valence",10,8,,"high",,,,FALSE,,,,,,,"A-default,U-default",,,,,
363,FALSE,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,TRUE,FALSE
3312,TRUE,FALSE,"MA,Polarity,Tense","operators,TAM+",4,3,"low","low",4,3,"low",TRUE,"separative",TRUE,FALSE,FALSE,FALSE,,"A-default",8,,"low",TRUE,FALSE
786,TRUE,FALSE,"Polarity,Tense,Valence,Voice","operators,TAM+,valence",5,4,"low","medium",5,4,"low",FALSE,"separative",,TRUE,FALSE,FALSE,,"A-default",10,TRUE,"low",,
701,TRUE,,"Causative,Polarity,TAM,Voice","operators,TAM+,valence",5,4,,"medium",,,,FALSE,,,,FALSE,FALSE,,"A-default",,,,,
545,,,"Aspect,Modality,Polarity,Referential,Status,Symmetrical_voice","operators,pragmatic,TAM+",7,6,"low","medium",5,4,"low",FALSE,"cumulative",,,TRUE,TRUE,,"A-default",12,,"medium",,
2843,FALSE,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,TRUE,FALSE
71,,FALSE,"TAM,Voice","TAM+,valence",3,3,"low","low",3,3,"low",FALSE,"separative",,,,,,,6,,"low",,
534,FALSE,,,,,,,,,,,FALSE,,,,,,,"A-default",,,,,
2828,,TRUE,"Aspect,Polarity,Semistem,TAM","operators,other,TAM+",4,4,"low","low",4,4,"low",FALSE,"separative",,,,,,,8,,"low",,
2186,TRUE,FALSE,"Polarity,Tense","operators,TAM+",2,2,"low","low",2,2,"low",FALSE,"separative",,TRUE,,,TRUE,,4,TRUE,"low",,
538,TRUE,FALSE,,,0,0,"low","low",0,0,"low",FALSE,"separative",,TRUE,,,TRUE,,0,TRUE,"low",,
1388,TRUE,,"Polarity,Tense,Valence","operators,TAM+,valence",4,3,"low","low",4,3,"low",FALSE,"separative",,TRUE,FALSE,FALSE,,"A-default",8,TRUE,"low",,
201,FALSE,,"Aktionsart,Polarity,Tense","operators,TAM+",4,3,"low","low",3,2,"low",FALSE,"cumulative",,,FALSE,FALSE,,"A-default",7,,"low",,
69,TRUE,,"Illocution,Polarity,Quantificational,TAM","number,operators,TAM+",5,4,,"medium",,,,FALSE,,,,FALSE,FALSE,,"A-default",,,,,
496,,FALSE,"Mood,Polarity,RECIP,Tense","operators,TAM+,valence",4,4,"low","low",4,4,"low",FALSE,"separative",,,,,,,8,,"low",,
416,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,
326,TRUE,,"Affect,Aspect,Mood,Polarity,Status,Tense","operators,pragmatic,TAM+",7,6,"low","medium",7,6,"medium",FALSE,"separative",,,FALSE,FALSE,,"A-default",14,,"medium",,
501,TRUE,FALSE,"Aspect,ME,Mood,Polarity","operators,TAM+",4,4,"low","low",5,5,"low",FALSE,"distributive",,,,,TRUE,,9,TRUE,"low",,
66,TRUE,,"Causative,Quantificational,Reflexive_and_Reciprocal,TAM","number,TAM+,valence",4,4,"low","low",4,4,"low",FALSE,"separative",,,,,,,8,,"low",,
87,TRUE,FALSE,"TAM","TAM+",2,1,,"low",3,,"low",TRUE,"distributive",FALSE,FALSE,FALSE,FALSE,FALSE,"A-default",5,TRUE,"low",FALSE,FALSE
2166,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,TRUE,FALSE
419,TRUE,,"Aspect,Deixis,Focus,Quantificational,TA","number,pragmatic,TAM+",6,6,"low","medium",6,6,"low",FALSE,"separative",,,,,,,12,,"medium",,
691,TRUE,,"AE,Honorificity,Illocution,Polarity,Tense","operators,pragmatic,TAM+",5,5,"low","medium",5,5,"low",FALSE,"separative",,,,,,,10,TRUE,"low",,
139,,,"Causative,Evidential,Polarity,TAM","evidential,operators,TAM+,valence",5,4,"low","medium",2,1,"low",FALSE,"cumulative",,,FALSE,FALSE,,"A-default",7,,"low",,
3314,TRUE,,,,0,0,,"low",,,,FALSE,,,,,,,,,,,,
2470,FALSE,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,TRUE,FALSE
844,TRUE,FALSE,"Tense","TAM+",1,1,"low","low",1,1,"low",TRUE,"separative",FALSE,FALSE,,,FALSE,,2,TRUE,"low",FALSE,FALSE
