"LID","VInlfCatSurveyComplete","VBipartiteStem.Presence","VInflCat","VInflMacrocategories","VInflCatAndAgrMax.n","VInflCatMax.n","VInflCatMax.binned3","VInflCatAndAgrMax.binned3","VInflCatAndAgrFmtvMax.n","VInflCatFmtvMax.n","VInflCatandAgrFmtvMax.binned3","VAnyIncorporation.Presence","VInflExponence","VNounIncorporation.Presence","VPhonCoherence.Presence","VAgrAllPre.Presence","VAgrAnyPre.Presence","VProsCoherence.Presence","VAgrRoles","VInflMax.n","VSynCoherence.Presence","VInflMax.binned3","VIncorporationVorN.Presence","VIncorporationV.Presence"
525,,FALSE,"Number,TA","number,TAM+",5,,,"medium",6,,"low",FALSE,"distributive",,,FALSE,TRUE,,"A-default,B-default,U-default",11,,"low",,
1399,TRUE,FALSE,"Causative,Evidential,Mood,TAM","evidential,TAM+,valence",7,4,"low","medium",6,4,"low",TRUE,"cumulative",FALSE,,FALSE,FALSE,,"A-default,B-default,U-default",13,,"medium",TRUE,TRUE
149,TRUE,TRUE,"Aktionsart,Number,TAM","number,TAM+",6,3,,"medium",7,,"medium",FALSE,"distributive",,TRUE,FALSE,FALSE,FALSE,"A-default,AFF,U-default",13,TRUE,"medium",,
152,TRUE,,"Quantificational,Status,Tense","number,TAM+",6,3,,"medium",,,,TRUE,,TRUE,,FALSE,FALSE,,"A-default,I-default,U-default",,,,TRUE,FALSE
633,TRUE,,"Aspect,Causative,Illocution,Mood,Tense","TAM+,valence",8,5,"low","medium",8,5,"medium",FALSE,"separative",,,FALSE,FALSE,,"A-default,B-default,U-default",16,TRUE,"medium",,
80,,FALSE,"Tense","TAM+",4,,,"low",5,,"low",FALSE,"distributive",,,FALSE,TRUE,,"A-default,B-default,U-default",9,,"low",,
177,TRUE,,"Polarity,TAM","operators,TAM+",5,2,,"medium",,,,FALSE,,,,FALSE,TRUE,,"A-default,S-default,U-default",,,,,
370,,,"Aspect,Polarity,Tense","operators,TAM+",6,,,"medium",7,,"medium",FALSE,"distributive",,,FALSE,TRUE,,"A-default,B-default,U-default",13,,"medium",,
402,,FALSE,"Aspect,Connective,Mood,Reflexive_and_Reciprocal","inter-clausal,TAM+,valence",7,,,"medium",7,,"medium",TRUE,"separative",TRUE,,FALSE,TRUE,,"A-default,B-default,U-default",14,,"medium",TRUE,FALSE
1363,TRUE,,"Number,Quantificational,TAM,Tense","number,TAM+",9,6,"low","medium",9,6,"medium",FALSE,"separative",,,FALSE,TRUE,,"A-default,B-default,U-default",18,,"medium",,
147,,FALSE,"Polarity,Tense,Voice","operators,TAM+,valence",6,,,"medium",5,,"low",FALSE,"cumulative",,,FALSE,TRUE,,"A-default,U-default",11,,"low",,
635,,,"Aktionsart,Mood,Quantificational,TAM,Voice","number,TAM+,valence",9,6,"low","medium",5,6,"low",FALSE,"cumulative",,FALSE,FALSE,FALSE,,"A-default,POSS-default,U-default",14,,"medium",,
2564,TRUE,,"Applicative,Aspect,Causative,Control,Mood,Number,Reflexive_and_Reciprocal,Voice","number,role,TAM+,valence",12,10,"medium","high",11,11,"medium",TRUE,"cumulative",TRUE,,FALSE,FALSE,,"A-default,U-default",23,,"high",TRUE,FALSE
942,,TRUE,"Illocution,Polarity,Quantificational,TAM","number,operators,TAM+",5,4,"low","medium",5,4,"low",FALSE,"separative",,,TRUE,TRUE,,"U-default",10,,"low",,
553,,FALSE,"Connective,Polarity,TAM,Voice","inter-clausal,operators,TAM+,valence",8,5,"low","medium",8,5,"medium",FALSE,"separative",,TRUE,FALSE,TRUE,TRUE,"A-default,B-def,T-default",16,TRUE,"medium",,
393,,FALSE,"Quantificational,Tense","number,TAM+",5,,,"medium",5,,"low",FALSE,"separative",,,FALSE,TRUE,,"A-default,B-default,U-default",10,,"low",,
12,TRUE,,"Applicative,Number,Reflexive_and_Reciprocal","number,valence",6,3,,"medium",4,,"low",TRUE,"cumulative",TRUE,,FALSE,TRUE,TRUE,"A-default,S-default,U-default",10,TRUE,"low",TRUE,FALSE
412,,,,,,,,,,,,FALSE,,,,FALSE,FALSE,,"A-default,B-default,U-default",,,,,
20,,FALSE,"Aspect,Polarity,TAM","operators,TAM+",7,,,"medium",4,,"low",FALSE,"cumulative",,TRUE,FALSE,FALSE,TRUE,"A-default,B-default,U-default",11,,"low",,
558,,,"Polarity,TAM,Voice","operators,TAM+,valence",6,,,"medium",7,,"medium",FALSE,"distributive",,FALSE,FALSE,FALSE,FALSE,"A-default,B-default,U-default",13,FALSE,"medium",,
178,,,"Applicative,Number,Quantificational,Status,TM","number,TAM+,valence",9,6,"low","medium",8,6,"medium",FALSE,"cumulative",,,FALSE,TRUE,,"A-default,U-default",17,,"medium",,
3313,TRUE,FALSE,"Deixis,Mood,Polarity","operators,pragmatic,TAM+",6,3,"low","medium",5,3,"low",TRUE,"cumulative",TRUE,,FALSE,FALSE,,"A-default,B-default,U-default",11,TRUE,"low",TRUE,FALSE
642,,FALSE,"Polarity,TA,Voice","operators,TAM+,valence",7,4,"low","medium",7,3,"medium",FALSE,"separative",,,FALSE,FALSE,,"A-default,B-default,U-default",14,,"medium",,
499,,FALSE,"Deixis,TAM","pragmatic,TAM+",5,,,"medium",6,,"low",FALSE,"distributive",,TRUE,FALSE,TRUE,TRUE,"A-default,B-default,U-default",11,TRUE,"low",,
390,,FALSE,"Aspect,Deixis,Mood,Number,Posterior,Referential,Reflexive_and_Reciprocal,Status,TM","number,pragmatic,TAM+,valence",13,,,"high",13,,"medium",FALSE,"separative",,,FALSE,TRUE,,"A-default,B-default,U-default",26,,"high",,
98,,FALSE,"Construct,Illocution,Polarity,TAM","NP-related,operators,TAM+",7,,,"medium",8,,"medium",FALSE,"distributive",,FALSE,FALSE,TRUE,FALSE,"A-default,S-default,U-default",15,FALSE,"medium",,
498,TRUE,FALSE,"Aspect,Focus,Number,Polarity,Reflexive_and_Reciprocal,Repetition,Tense,Voice","event-specs,number,operators,pragmatic,TAM+,valence",12,9,"medium","high",10,7,"medium",FALSE,"cumulative",,TRUE,FALSE,TRUE,TRUE,"A-default,B-default,U-default",22,TRUE,"medium",,
664,TRUE,FALSE,"Illocution,MA,Mood,Polarity,TM","operators,TAM+",8,5,"low","medium",8,4,"medium",TRUE,"separative",FALSE,,FALSE,FALSE,FALSE,"A-default,B-default,U-default",16,TRUE,"medium",TRUE,TRUE
481,TRUE,,"Aspect,Deixis,Number,TAM,Version,Voice","number,pragmatic,TAM+,valence",9,6,"medium","medium",8,8,"medium",FALSE,"cumulative",,FALSE,FALSE,FALSE,,"A-default,B-default,U-default",17,,"medium",,
3213,TRUE,,"Connective,Illocution,Polarity,TAM","inter-clausal,operators,TAM+",7,4,"low","medium",6,3,"low",TRUE,"cumulative",FALSE,,FALSE,FALSE,FALSE,"A-default,B-default,U-default",13,,"medium",FALSE,FALSE
571,TRUE,,"Polarity,TAM","operators,TAM+",7,4,,"medium",7,,"medium",FALSE,"separative",,,FALSE,TRUE,TRUE,"A-default,B-default,U-default",14,TRUE,"medium",,
678,TRUE,,"Aspect,Mood,Polarity,TAM,TE,Voice","operators,TAM+,valence",9,6,"low","medium",8,3,"medium",FALSE,"cumulative",,TRUE,FALSE,FALSE,TRUE,"A-default,B-default,U-default",17,TRUE,"medium",,
683,TRUE,,"Mood,Reflexive_and_Reciprocal,TAM","TAM+,valence",6,3,"low","medium",6,3,"low",FALSE,"separative",,TRUE,FALSE,FALSE,TRUE,"A-default,B-default,U-default",12,TRUE,"medium",,
725,TRUE,,"Reflexive_and_Reciprocal,TAM,Voice","TAM+,valence",6,3,"low","medium",6,3,"low",FALSE,"separative",,,FALSE,FALSE,,"A-default,B-default,U-default",12,,"medium",,
3229,TRUE,,"Aspect,Mood,Polarity,TAM,TE,Voice","operators,TAM+,valence",9,6,"low","medium",6,3,"low",FALSE,"cumulative",,TRUE,FALSE,FALSE,TRUE,"A-default,B-default,U-default",15,TRUE,"medium",,
569,TRUE,FALSE,"TAM,Voice","TAM+,valence",5,2,"low","medium",3,2,"low",FALSE,"cumulative",,TRUE,FALSE,FALSE,TRUE,"A-default,B-default,U-default",8,TRUE,"low",,
112,TRUE,,"Classifier,Connective,Focus,Illocution,Polarity,Status,TAM","classification,inter-clausal,operators,pragmatic,TAM+",10,7,,"high",10,,"medium",FALSE,"separative",,,FALSE,FALSE,TRUE,"A-default,AFF,U-default",20,FALSE,"medium",,
388,,,"TAM","TAM+",4,,,"low",4,,"low",FALSE,"separative",,TRUE,TRUE,TRUE,TRUE,"A-default,U-default",8,TRUE,"low",,
429,,,"Aktionsart,Applicative,Causative,Polarity,RECIP,Reflexive,TM","operators,TAM+,valence",9,,,"medium",12,,"medium",TRUE,"cumulative",TRUE,,FALSE,TRUE,,"A-default,U-default",21,,"medium",TRUE,FALSE
3331,TRUE,TRUE,"Aspect,Honorificity,Mood,Polarity,TA,TM","operators,pragmatic,TAM+",8,6,"low","medium",8,6,"medium",FALSE,"separative",,TRUE,TRUE,TRUE,,"A-default,U-default",16,TRUE,"medium",,
352,TRUE,,"Applicative,Mood,Polarity,Reflexive_and_Reciprocal,Switch_reference,Tense","inter-clausal,operators,TAM+,valence",8,6,"low","medium",8,6,"medium",FALSE,"separative",,,FALSE,FALSE,,"A-default,U-default",16,,"medium",,
173,,FALSE,"Modality,Polarity,Status,TA","operators,TAM+",6,,,"medium",5,,"low",FALSE,"cumulative",,,TRUE,TRUE,,"A-default,U-default",11,,"low",,
103,,FALSE,"Aspect,Mood,Polarity,Tense","operators,TAM+",8,,,"medium",9,,"medium",FALSE,"distributive",,,FALSE,TRUE,,"A-default,U-default",17,,"medium",,
454,TRUE,TRUE,"Tense","TAM+",3,1,,"low",3,,"low",TRUE,"separative",FALSE,,TRUE,TRUE,TRUE,"A-default,U-default",6,TRUE,"low",FALSE,FALSE
181,FALSE,FALSE,"Quantificational,Status,TAM,Tense","number,TAM+",6,4,"low","medium",4,3,"low",FALSE,"cumulative",,,TRUE,TRUE,,"A-default,U-default",10,,"low",,
461,TRUE,FALSE,"Number,Polarity,Quantificational,TA,Voice","number,operators,TAM+,valence",8,6,,"medium",12,,"medium",TRUE,"cumulative",TRUE,,TRUE,TRUE,TRUE,"A-default,U-default",20,TRUE,"medium",TRUE,FALSE
460,TRUE,FALSE,"TAM,Voice","TAM+,valence",5,3,"low","medium",5,3,"low",FALSE,"separative",,FALSE,TRUE,TRUE,FALSE,"A-default,U-default",10,TRUE,"low",,
583,,FALSE,"TA,Voice","TAM+,valence",4,,,"low",5,,"low",FALSE,"distributive",,TRUE,FALSE,FALSE,TRUE,"A-default,U-pro",9,,"low",,
77,TRUE,FALSE,"Causative,Connective,TAM,Valence,Voice","inter-clausal,TAM+,valence",7,5,,"medium",9,,"medium",TRUE,"distributive",FALSE,FALSE,TRUE,TRUE,FALSE,"A-default,U-default",16,FALSE,"medium",FALSE,FALSE
400,,,"Aktionsart,Applicative,Aspect,Modality,Motion,RECIP,Reflexive_and_Reciprocal","event-specs,TAM+,valence",,,,,,,,TRUE,,TRUE,,TRUE,TRUE,,"A-default,U-default",,,,TRUE,FALSE
82,,FALSE,"Deixis,TAM,TM","pragmatic,TAM+",5,,,"medium",5,,"low",FALSE,"separative",,,TRUE,TRUE,,"A-default,U-default",10,,"low",,
2672,FALSE,,"Aktionsart,Mood,Status,TA","TAM+",6,4,"low","medium",6,4,"low",FALSE,"separative",,,FALSE,FALSE,,"A-default,U-default",12,,"medium",,
145,TRUE,TRUE,"Aspect,Deixis,Direction,Evidential,Polarity,Semistem,TAM,Voice","evidential,operators,other,pragmatic,role,TAM+,valence",10,8,"low","high",10,6,"medium",FALSE,"separative",,,FALSE,TRUE,,"A-default,U-default",20,,"medium",,
34,,,"Polarity,Reflexive,Voice","operators,valence",5,3,"low","medium",6,3,"low",FALSE,"distributive",,,FALSE,TRUE,,"A-default,U-default",11,,"low",,
722,TRUE,FALSE,"Aspect,MA,Polarity,TA","operators,TAM+",6,4,,"medium",7,,"medium",FALSE,"distributive",,,FALSE,FALSE,,"A-default,U-default",13,TRUE,"medium",,
692,,,"Aspect,Deixis,Focus,Number,TAM","number,pragmatic,TAM+",8,,,"medium",8,,"medium",FALSE,"separative",,,TRUE,TRUE,,"A-default,U-default",16,,"medium",,
406,TRUE,TRUE,"Aspect,Causative,Deixis,Evidential,Illocution,Number,Person,Polarity,TAM","evidential,number,operators,person,pragmatic,TAM+,valence",12,10,"medium","high",14,12,"high",FALSE,"distributive",,,TRUE,TRUE,,"A-default,U-default",26,,"high",,
212,,,"Aktionsart,Deixis,Number,Tense,Voice","number,pragmatic,TAM+,valence",8,6,"medium","medium",9,8,"medium",FALSE,"distributive",,,FALSE,FALSE,,"A-default,U-default",17,,"medium",,
55,FALSE,,"Aktionsart,Number,Polarity,Symmetrical_voice,Tense","number,operators,pragmatic,TAM+",7,5,"low","medium",7,5,"medium",FALSE,"separative",,,TRUE,TRUE,,"A-default,U-default",14,,"medium",,
1531,TRUE,,"Connective,Polarity,TAM,Voice","inter-clausal,operators,TAM+,valence",6,4,,"medium",,,,FALSE,,,,TRUE,TRUE,FALSE,"S-default,U-default",,,,,
68,TRUE,,"Deixis,n/a,Reflexive_and_Reciprocal,Semistem,Tense","other,pragmatic,TAM+,valence",7,5,"low","medium",5,3,"low",FALSE,"cumulative",,,TRUE,TRUE,,"A-default,U-default",12,,"medium",,
3278,TRUE,FALSE,"Direction,MA,Mood,Polarity","operators,role,TAM+",6,4,"low","medium",5,4,"low",TRUE,"cumulative",TRUE,TRUE,FALSE,TRUE,TRUE,"A-default,U-default",11,TRUE,"low",TRUE,FALSE
202,,,"Aspect,Connective,Number,Polarity,TM","inter-clausal,number,operators,TAM+",9,6,"medium","medium",10,7,"medium",FALSE,"cumulative",,,TRUE,TRUE,,"A-default,B-default,U-default",19,,"medium",,
332,,,"Number,TAM","number,TAM+",4,,,"low",4,,"low",FALSE,"separative",,,TRUE,TRUE,,"A-default,U-default",8,,"low",,
2020,TRUE,FALSE,"Aspect,Causative,Mood,Polarity,Possessor,Reflexive_and_Reciprocal","NP-related,operators,TAM+,valence",8,6,"low","medium",7,6,"medium",TRUE,"cumulative",TRUE,,TRUE,TRUE,,"B-default,U-default",15,TRUE,"medium",TRUE,FALSE
40,,FALSE,"Connective,Illocution,Number,Polarity,TAM,Voice","inter-clausal,number,operators,TAM+,valence",8,,,"medium",10,,"medium",FALSE,"cumulative",,TRUE,FALSE,TRUE,TRUE,"A-default,U-default",18,TRUE,"medium",,
378,TRUE,FALSE,"Number,TAM,Voice","number,TAM+,valence",5,3,,"medium",8,,"medium",TRUE,"distributive",TRUE,,TRUE,TRUE,TRUE,"A-default,U-default",13,TRUE,"medium",TRUE,TRUE
581,TRUE,FALSE,"Applicative,Causative,MTN,Reflexive_and_Reciprocal,TAM,Tense,Voice","TAM+,valence",9,7,"low","medium",7,5,"medium",FALSE,"cumulative",,,TRUE,TRUE,TRUE,"A-default,U-default",16,TRUE,"medium",,
63,,FALSE,"Mood,Quantificational,Status,Tense","number,TAM+",6,,,"medium",5,,"low",FALSE,"cumulative",,,TRUE,TRUE,,"A-default,U-default",11,,"low",,
56,TRUE,FALSE,"Aspect,Evidential,TAM,Voice","evidential,TAM+,valence",6,4,,"medium",10,,"medium",TRUE,"cumulative",TRUE,,FALSE,TRUE,TRUE,"A-default,U-default",16,TRUE,"medium",TRUE,FALSE
401,,,"Mood,Quantificational,TAM,Tense,Voice","number,TAM+,valence",7,,,"medium",7,,"medium",FALSE,"separative",,,TRUE,TRUE,,"A-default,U-default",14,,"medium",,
645,,,"Applicative,Posterior","TAM+,valence",3,2,"low","low",3,2,"low",FALSE,"separative",,,TRUE,TRUE,,"A-default",6,,"low",,
165,FALSE,,,,,,,,,,,FALSE,,,,TRUE,TRUE,,"A-default,U-default",,,,,
93,,,"Applicative,Aspect,Connective,Deixis,Reflexive_and_Reciprocal,TAM,Tense","inter-clausal,pragmatic,TAM+,valence",10,,,"high",15,,"high",TRUE,"distributive",TRUE,TRUE,TRUE,TRUE,FALSE,"A-default,U-default",25,,"high",TRUE,TRUE
688,TRUE,,"Aktionsart,Illocution,Modality,Motion,Number,Quantificational,Reflexive,Voice","event-specs,number,TAM+,valence",11,9,"medium","high",11,9,"medium",TRUE,"separative",TRUE,,TRUE,TRUE,,"A-default,U-default",22,,"medium",TRUE,FALSE
1954,,,"Aspect,MA,Nominalizer,Polarity,Quotative,Switch_reference,TA","evidential,inter-clausal,NP-related,operators,TAM+",9,7,"low","medium",8,6,"medium",FALSE,"cumulative",,,FALSE,TRUE,FALSE,"A-default,U-default",17,,"medium",,
167,,,"Connective,Polarity,TAM,Voice","inter-clausal,operators,TAM+,valence",6,,,"medium",8,,"medium",FALSE,"distributive",,,TRUE,TRUE,,"A-default,U-default",14,,"medium",,
655,FALSE,,"Applicative,Aspect,Deixis,Quantificational,Reflexive_and_Reciprocal,Spatial,TAM","event-specs,number,pragmatic,TAM+,valence",10,8,"medium","high",13,12,"medium",TRUE,"distributive",TRUE,,TRUE,TRUE,,"A-default,U-default",23,,"high",TRUE,TRUE
32,,FALSE,"TAM","TAM+",4,1,"low","low",5,2,"low",FALSE,"distributive",,,FALSE,TRUE,TRUE,"A-default,T-default,U-default",9,TRUE,"low",,
2951,TRUE,,"Deixis,Number,Polarity,Reflexive,TA,Valence,Voice","number,operators,pragmatic,TAM+,valence",10,8,"medium","high",10,8,"medium",TRUE,"separative",TRUE,,TRUE,TRUE,,"A-default,U-default",20,,"medium",TRUE,FALSE
123,,,"Number,Reflexive_and_Reciprocal,TAM","number,TAM+,valence",6,,,"medium",6,,"low",FALSE,"separative",,,TRUE,TRUE,,"A-default,U-default",12,,"medium",,
89,,FALSE,"Focus,Polarity,TAM","operators,pragmatic,TAM+",5,3,"medium","medium",10,10,"medium",TRUE,"cumulative",TRUE,,TRUE,TRUE,TRUE,"A-default,U-default",15,TRUE,"medium",TRUE,FALSE
550,,FALSE,"Symmetrical_voice,TAM","pragmatic,TAM+",4,,,"low",3,,"low",FALSE,"cumulative",,,TRUE,TRUE,,"A-default,U-default",7,,"low",,
61,,FALSE,"Aspect,Connective,Status,Tense","inter-clausal,TAM+",7,,,"medium",7,,"medium",FALSE,"separative",,,FALSE,TRUE,,"A-default,U-default",14,,"medium",,
368,TRUE,,"Aspect,Construct,Deixis,Focus,Status,Tense","NP-related,pragmatic,TAM+",10,8,"medium","high",9,7,"medium",FALSE,"distributive",,,FALSE,TRUE,TRUE,"A-default,U-default",19,,"medium",,
2514,TRUE,,"Aspect,Causative,Connective,Evidential,Illocution,Mood,Polarity,RECIP,Reflexive,Tense","evidential,inter-clausal,operators,TAM+,valence",12,10,"high","high",18,14,"high",TRUE,"distributive",TRUE,,TRUE,TRUE,,"A-default,U-default",30,,"high",TRUE,FALSE
2440,,TRUE,,,,,,,,,,FALSE,,,,,,,,,,,,
299,,,"Polarity,TAM","operators,TAM+",4,,,"low",7,,"medium",FALSE,"distributive",,,FALSE,TRUE,,"A-default,U-default",11,,"low",,
113,,FALSE,"Aktionsart,Aspect,Deixis,Mood,Polarity,Tense","operators,pragmatic,TAM+",9,,,"medium",8,,"medium",FALSE,"cumulative",,,FALSE,TRUE,,"A-default,U-default",17,,"medium",,
735,TRUE,FALSE,"Aspect,Polarity,Tense","operators,TAM+",6,4,"low","medium",8,4,"medium",FALSE,"distributive",,TRUE,FALSE,FALSE,TRUE,"A-default,U-default",14,TRUE,"medium",,
726,,,,,,,,,,,,TRUE,,TRUE,,FALSE,TRUE,,"A-default,U-default",,,,TRUE,FALSE
658,TRUE,,"Illocution,Reflexive_and_Reciprocal,TAM","TAM+,valence",5,3,"low","medium",5,3,"low",FALSE,"separative",,,TRUE,TRUE,,"A-default,U-default",10,,"low",,
356,TRUE,,"Aktionsart,Aspect,RECIP,Reflexive,Tense,Voice","TAM+,valence",8,6,"low","medium",7,5,"medium",FALSE,"cumulative",,,FALSE,FALSE,,"A-default,U-default",15,,"medium",,
608,,FALSE,"Causative,Polarity,TAM","operators,TAM+,valence",4,3,"low","low",3,2,"low",FALSE,"cumulative",,,FALSE,FALSE,,"A-default",7,,"low",,
1140,FALSE,,"Applicative,Aspect,Reflexive,Tense,Voice","TAM+,valence",7,5,"low","medium",7,5,"medium",TRUE,"separative",TRUE,,TRUE,TRUE,,"A-default,U-default",14,,"medium",TRUE,FALSE
10,,FALSE,"Aktionsart,Mood,Number,Polarity","number,operators,TAM+",8,6,"low","medium",6,4,"low",FALSE,"cumulative",,,TRUE,TRUE,TRUE,"A-default,U-default",14,TRUE,"medium",,
629,TRUE,FALSE,"Illocution,Polarity,TAM","operators,TAM+",3,3,"low","low",3,3,"low",FALSE,"separative",,,,,,,6,,"low",,
2949,TRUE,TRUE,"Aspect,Deixis,Direction,Evidential,Number,Polarity,Semistem,TAM,Voice","evidential,number,operators,other,pragmatic,role,TAM+,valence",11,9,"medium","high",11,7,"medium",FALSE,"separative",,,TRUE,TRUE,,"A-default,U-default",22,,"medium",,
208,TRUE,,"Aspect,Causative,Mood,Number,Quantificational,RECIP,Reflexive,Tense","number,TAM+,valence",12,10,"medium","high",13,11,"medium",FALSE,"distributive",,,TRUE,TRUE,,"A-default,U-default",25,,"high",,
318,,,"Polarity,Tense","operators,TAM+",4,,,"low",4,,"low",FALSE,"separative",,,TRUE,TRUE,,"A-default,U-default",8,,"low",,
619,,,"Aktionsart,Aspect,Status,Voice","TAM+,valence",6,4,"low","medium",5,4,"low",FALSE,"cumulative",,,TRUE,TRUE,,"A-default,U-default",11,,"low",,
343,FALSE,,,,,,,,,,,FALSE,,,,TRUE,TRUE,,"A-default,U-default",,,,,
1130,TRUE,,"TA","TAM+",4,2,"low","low",6,2,"low",TRUE,"distributive",FALSE,,FALSE,FALSE,FALSE,"A-default,U/B-default",10,TRUE,"low",TRUE,TRUE
156,,TRUE,"Aspect,Connective,Illocution,Nominalizer,Polarity,TAM,Voice","inter-clausal,NP-related,operators,TAM+,valence",10,7,"medium","high",14,12,"high",TRUE,"distributive",TRUE,TRUE,FALSE,FALSE,FALSE,"A-default,B-gen,U-default",24,TRUE,"high",TRUE,FALSE
129,FALSE,TRUE,"TA","TAM+",3,,,"low",4,,"low",FALSE,"distributive",,,FALSE,TRUE,,"A-default,U-default",7,,"low",,
59,FALSE,TRUE,"Connective,Symmetrical_voice,TAM,Valence","inter-clausal,pragmatic,TAM+,valence",6,,,"medium",11,,"medium",TRUE,"cumulative",TRUE,FALSE,FALSE,FALSE,FALSE,"A-default,U-default",17,TRUE,"medium",TRUE,FALSE
154,TRUE,FALSE,"Construct,Evidential,Polarity,TAM,Version,Voice","evidential,NP-related,operators,TAM+,valence",8,6,"high","medium",16,13,"high",TRUE,"cumulative",FALSE,FALSE,FALSE,TRUE,FALSE,"A-default,U-default",24,FALSE,"high",FALSE,FALSE
35,TRUE,TRUE,"Aktionsart,Connective,Mood,Polarity,Semistem,TAM,Valence,Voice","inter-clausal,operators,other,TAM+,valence",10,8,,"high",13,,"medium",TRUE,"distributive",FALSE,FALSE,FALSE,FALSE,FALSE,"A-default,U-default",23,TRUE,"high",TRUE,TRUE
134,,,"Aktionsart,Aspect,Number,Quantificational,Status","number,TAM+",7,,,"medium",6,,"low",FALSE,"cumulative",,,TRUE,TRUE,,"A-default,U-default",13,,"medium",,
465,TRUE,FALSE,"Evidential,Focus,Polarity,Quantificational,Switch_reference,TAM","evidential,inter-clausal,number,operators,pragmatic,TAM+",8,6,"medium","medium",10,9,"medium",FALSE,"cumulative",,,FALSE,TRUE,TRUE,"A-default,U-default",18,TRUE,"medium",,
2050,TRUE,,"Aktionsart,Number,Polarity,Spatial,Voice","event-specs,number,operators,TAM+,valence",7,5,"low","medium",7,5,"medium",FALSE,"separative",,,FALSE,FALSE,,"A-default,U-default",14,,"medium",,
28,,FALSE,"Aspect,Deixis,Mood,Number,RECIP,Status,Tense","number,pragmatic,TAM+,valence",9,8,"medium","medium",10,10,"medium",FALSE,"cumulative",,,FALSE,FALSE,,"A-default",19,,"medium",,
689,TRUE,,"Evidential,Modality,Motion,Quantificational,Status,TA,TAM,Voice","event-specs,evidential,number,TAM+,valence",9,8,"low","medium",7,6,"medium",FALSE,"cumulative",,,FALSE,FALSE,,"A-default",16,,"medium",,
51,,,"Aspect,Causative,Deixis,Evidential,Illocution,Mood,Number,Status,Tense","evidential,number,pragmatic,TAM+,valence",11,10,"medium","high",13,11,"medium",TRUE,"distributive",TRUE,,TRUE,TRUE,,"A-default",24,,"high",TRUE,FALSE
528,TRUE,FALSE,"Polarity,Quantificational,TM","number,operators,TAM+",3,3,"low","low",3,3,"low",FALSE,"separative",,TRUE,,,TRUE,,6,TRUE,"low",,
101,,FALSE,"Aspect,Number,Person,Tense","number,person,TAM+",5,4,"low","medium",4,3,"low",FALSE,"cumulative",,TRUE,TRUE,TRUE,,"A>U",9,TRUE,"low",,
648,,,"Aspect,Polarity","operators,TAM+",4,2,"low","low",6,4,"low",FALSE,"distributive",,FALSE,FALSE,TRUE,FALSE,"A-default,U-default",10,FALSE,"low",,
125,,,"Aktionsart,Number,Quantificational,Repetition,Tense","event-specs,number,TAM+",8,,,"medium",10,,"medium",FALSE,"cumulative",,TRUE,FALSE,FALSE,TRUE,"A-default,U-default",18,TRUE,"medium",,
492,,FALSE,"Aspect,Number,Polarity,Status","number,operators,TAM+",7,,,"medium",5,,"low",FALSE,"cumulative",,,FALSE,FALSE,,"A-default,B-default,U-default",12,,"medium",,
564,,FALSE,"Evidential,Polarity,Quantificational,Status,TAM,Version","evidential,number,operators,TAM+,valence",9,,,"medium",5,,"low",FALSE,"cumulative",,FALSE,FALSE,FALSE,FALSE,"S-default,U-default",14,TRUE,"medium",,
551,TRUE,,"Aspect,Deixis,Repetition","event-specs,pragmatic,TAM+",5,3,,"medium",,,,FALSE,,,,FALSE,TRUE,,"A-default,U-default",,,,,
395,,TRUE,"Aspect,Tense","TAM+",4,,,"low",4,,"low",FALSE,"separative",,,FALSE,TRUE,,"A-default,U-default",8,,"low",,
885,TRUE,,"Applicative,Causative,Deixis,MTN,Polarity,Quantificational,TA","number,operators,pragmatic,TAM+,valence",10,8,"medium","high",10,8,"medium",TRUE,"separative",TRUE,,FALSE,FALSE,,"A-default,U-default",20,,"medium",TRUE,FALSE
686,,,"Deixis,Polarity,Quantificational,TA,Tense","number,operators,pragmatic,TAM+",7,,,"medium",8,,"medium",FALSE,"distributive",,FALSE,FALSE,FALSE,,"A-default,U-default",15,,"medium",,
176,FALSE,FALSE,"Evidential,Nominalizer,Polarity,Quantificational,Symmetrical_voice,TAM,Voice","evidential,NP-related,number,operators,pragmatic,TAM+,valence",9,7,"medium","medium",10,8,"medium",TRUE,"cumulative",TRUE,,FALSE,FALSE,TRUE,"A-default,U-default",19,TRUE,"medium",TRUE,FALSE
1317,TRUE,FALSE,"Polarity,Tense","operators,TAM+",4,2,"low","low",3,2,"low",FALSE,"cumulative",,TRUE,FALSE,FALSE,TRUE,"A-default,U-default",7,TRUE,"low",,
1778,TRUE,,"Mood,Polarity,Tense","operators,TAM+",6,4,"low","medium",8,4,"medium",FALSE,"distributive",,TRUE,FALSE,FALSE,,"A-default,U-default",14,TRUE,"medium",,
1914,TRUE,,"Deixis,Focus,MA,Polarity","operators,pragmatic,TAM+",6,4,"low","medium",7,5,"medium",FALSE,"distributive",,FALSE,FALSE,FALSE,,"A-default,U-default",13,TRUE,"medium",,
329,FALSE,,,,,,,,,,,FALSE,,,,FALSE,TRUE,,"A-default,U-default",,,,,
119,FALSE,,"Aspect,Causative,Evidential,Motion,Polarity,Quantificational,Tense","event-specs,evidential,number,operators,TAM+,valence",10,8,"medium","high",9,8,"medium",FALSE,"distributive",,,FALSE,FALSE,,"A-default,U-default",19,,"medium",,
