"LID","AUTOTYPLabel","Behavior.binned4","Behavior.spreading.Presence","Behavior","Coexponence.CaseNumber.Presence","Coexponence.CaseReference.Presence","Domain","Exemplar","Polyexponence.Presence","Exponence.n","Exponence","Flexivity.Presence","FlexivityFormative","Form","Fusion.binned6","Fusion","Fusion.isolating.Presence","Fusion.nonlinear.Presence","Fusion.reduplicative.Presence","Fusion.tonal.Presence","FlexivityLexical.Presence","Locus.binned6","Locus","Locus.binned5","HostRestrictions.binned.restricted","MorphemeType","MorphemeType.Word.Presence","PersonPortmanteau.Presence","Placement","Position.post.Presence","Position.binned4","Position","Position.binned5","Position.pre.Presence.v1","Position.pre.Presence.v2","Position.simul.Presence.v1","Position.simul.Presence.v2","HostRestrictions","Slot","SourceOfMarking","FlexivityStem","OppositionWithZero.Presence","HostMacroCat","HostType","HostCat"
355,"PLURAL",,,,,,"#ANY#","Noun Plural",FALSE,1,"Number",,,,,,,,,,,,,,,,,,,TRUE,"split","in/post","split",FALSE,FALSE,FALSE,FALSE,,,,,,,,"#ANY#"
130,"<none>",,,,,,"#ANY#","Noun Plural",,0,,,,,,,,,,,,,,,"restricted","n/a",,,,,,,,,,,,"restricted",,,,,,,"n/a"
469,"NEG",,FALSE,"inert",,,"verbal","NEG",FALSE,1,"Polarity",,,"shi ...-ma","concatenative","isolating_then_concatenative",FALSE,"linear","non-reduplicative",FALSE,,,,,"restricted","formative",FALSE,,,FALSE,"in/simul","circum","simul",TRUE,TRUE,TRUE,TRUE,"restricted",,,,,"verbal","terminal","V"
318,"Genitive case",,,,,,"nominal",,FALSE,1,"Role",,,,,,,,,,,"D","D","D","restricted","formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"restricted",,"assign",,,"nominal","terminal","N_or_Pro"
2854,"ACC","spreading",TRUE,"spreading",,,"nominal",,TRUE,2,"Number;Role",TRUE,"lex-based","-on (sg.)/-on(pl.), (weak declension masculine nouns), suppletive pronoun forms","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,TRUE,"D","D","D","restricted","formative",FALSE,,"following",TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"restricted",,"assign",,,"nominal","terminal","N_or_Pro"
74,"PASS",,,,,,"#ANY#",,FALSE,1,"Voice",,,"be + PST.PTCP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#ANY#"
14,"TENSE",,,,,,"#ANY#","TAM",FALSE,1,"TAM",,,,"concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,"#ANY#"
495,"<none>",,,,,,"#ANY#","CASE",,0,"n/a",,,"zero",,"n/a",,"NA",,,,,,,"restricted","n/a",,,,,,,,,,,,"restricted",,,,,,,"n/a"
162,"NOM",,,,,,"#ANY#",,,0,,,,,"concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,,,,,"formative",FALSE,,,,,,,,,,,,,,,,,,"#ANY#"
20,"PLURAL",,FALSE,"inert",,,"nominal","Noun Plural",FALSE,1,"Number",,,,"concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,,,,"(partially) unrestricted","formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"semi-restricted",,,,,"nominal","terminal","N-inal,N-kin"
1703,"ACC",,,,FALSE,FALSE,"nominal","CASE",FALSE,1,"Role",TRUE,"lex-based","-a (-ya), -bi/-pi, -ta","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,TRUE,"D","D","D","(partially) unrestricted","formative",FALSE,,,,,,,,,,,"semi-restricted",,"assign",,,"nominal","terminal","N,Pro"
454,"NEG",,FALSE,"inert",,,"verbal","NEG",FALSE,1,"Polarity",,,"–tahma/taama","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,"n/a","<n.a.>","n/a","restricted","formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"restricted",,"free",,,"verbal","terminal","V"
689,"PLURAL",,,,,,"#ANY#","Noun Plural",FALSE,1,"Number",,,"Stem changes:  stress retraction, voicing alternations in consonants, vowel epenthesis word-initially, or a combination of these.","stem","ablaut",FALSE,"linear","non-reduplicative",FALSE,,,,,,"formative",FALSE,,,,,,,,,,,,,,,,,,"#ANY#"
107,"PLURAL",,FALSE,"inert",,,"#ANY#","Noun Plural",FALSE,1,"Number",TRUE,"cat-based",,"concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,,,,,"formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,,,,,,,,"#ANY#"
20,"COND",,,,,,"#ANY#",,,0,,,,"fi","isolating","isolating",TRUE,"linear","non-reduplicative",FALSE,,,,,,"formative",FALSE,,,,,,,,,,,,,,,,,,"#ANY#"
59,"AGR",,,,,,"verbal",,TRUE,4,"Direction;Number;Person;Role",,,"-it(i)- ‘1>2’","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,"H","H","H","restricted","formative",FALSE,TRUE,"following",TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"restricted","2","agree",,TRUE,"verbal","terminal","V"
24,,,,,,,"#ANY#",,,0,,,,,,,,,,,,"H","H","H",,,,,,,,,,,,,,,,,,,,,"#ANY#"
