"LID","InclExclAsPerson.Presence","InclExclAny.Presence","InclExclType","InclExclAsMinAug.Presence"
140,TRUE,TRUE,"excl as person type",FALSE
191,FALSE,TRUE,"plain i/e type",FALSE
334,,TRUE,"plain i/e type",
346,,TRUE,"plain i/e type",
359,FALSE,FALSE,"no i/e",FALSE
432,FALSE,TRUE,"plain i/e type",FALSE
88,FALSE,FALSE,"no i/e",FALSE
95,FALSE,FALSE,"no i/e",FALSE
317,FALSE,FALSE,"no i/e",FALSE
338,FALSE,FALSE,"no i/e",FALSE
442,TRUE,TRUE,"excl as person type",FALSE
357,FALSE,FALSE,"no i/e",FALSE
363,FALSE,FALSE,"no i/e",FALSE
379,FALSE,FALSE,"no i/e",FALSE
411,TRUE,TRUE,"excl as person type",FALSE
51,FALSE,TRUE,"plain i/e type",FALSE
63,FALSE,FALSE,"no i/e",FALSE
72,FALSE,FALSE,"no i/e",FALSE
113,FALSE,FALSE,"no i/e",FALSE
125,FALSE,FALSE,"no i/e",FALSE
166,FALSE,FALSE,"no i/e",FALSE
168,FALSE,FALSE,"no i/e",FALSE
344,FALSE,FALSE,"no i/e",FALSE
351,FALSE,FALSE,"no i/e",FALSE
356,TRUE,TRUE,"min/aug type",TRUE
398,FALSE,FALSE,"no i/e",FALSE
409,TRUE,TRUE,"excl as person type",FALSE
418,TRUE,TRUE,"excl as person type",FALSE
428,FALSE,FALSE,"no i/e",FALSE
10,FALSE,FALSE,"no i/e",FALSE
150,FALSE,FALSE,"no i/e",FALSE
204,FALSE,FALSE,"no i/e",FALSE
328,FALSE,FALSE,"no i/e",FALSE
441,TRUE,TRUE,"min/aug type",TRUE
342,TRUE,TRUE,"min/aug type",TRUE
406,FALSE,TRUE,"plain i/e type",FALSE
429,FALSE,FALSE,"no i/e",FALSE
132,FALSE,FALSE,"no i/e",FALSE
156,TRUE,TRUE,"min/aug type",TRUE
331,TRUE,TRUE,"min/aug type",TRUE
27,FALSE,FALSE,"no i/e",FALSE
53,FALSE,FALSE,"no i/e",FALSE
54,,TRUE,"plain i/e type",
59,TRUE,TRUE,"excl as person type",FALSE
202,FALSE,FALSE,"no i/e",FALSE
349,FALSE,FALSE,"no i/e",FALSE
354,FALSE,FALSE,"no i/e",FALSE
377,FALSE,FALSE,"no i/e",FALSE
382,FALSE,FALSE,"no i/e",FALSE
386,FALSE,FALSE,"no i/e",FALSE
422,FALSE,TRUE,"plain i/e type",FALSE
50,FALSE,TRUE,"plain i/e type",FALSE
55,FALSE,FALSE,"no i/e",FALSE
106,TRUE,TRUE,"min/aug type",TRUE
184,FALSE,TRUE,"plain i/e type",FALSE
185,TRUE,TRUE,"excl as person type",FALSE
186,TRUE,TRUE,"excl as person type",FALSE
332,FALSE,FALSE,"no i/e",FALSE
365,FALSE,FALSE,"no i/e",FALSE
372,,TRUE,"plain i/e type",
388,FALSE,FALSE,"no i/e",FALSE
29,TRUE,TRUE,"min/aug type",TRUE
45,FALSE,FALSE,"no i/e",FALSE
90,FALSE,FALSE,"no i/e",FALSE
119,TRUE,TRUE,"min/aug type",TRUE
176,FALSE,FALSE,"no i/e",FALSE
194,FALSE,FALSE,"no i/e",FALSE
326,FALSE,FALSE,"no i/e",
104,FALSE,TRUE,"plain i/e type",FALSE
339,,TRUE,"plain i/e type",
397,TRUE,TRUE,"min/aug type",TRUE
414,FALSE,TRUE,"plain i/e type",FALSE
43,TRUE,TRUE,"min/aug type",TRUE
47,TRUE,TRUE,"excl as person type",FALSE
89,FALSE,TRUE,"plain i/e type",FALSE
92,FALSE,FALSE,"no i/e",FALSE
101,FALSE,TRUE,"plain i/e type",FALSE
180,FALSE,FALSE,"no i/e",FALSE
200,FALSE,TRUE,"plain i/e type",FALSE
333,FALSE,FALSE,"no i/e",FALSE
329,FALSE,FALSE,"no i/e",FALSE
348,TRUE,TRUE,"excl as person type",FALSE
444,,TRUE,"plain i/e type",
440,FALSE,FALSE,"no i/e",FALSE
437,FALSE,FALSE,"no i/e",FALSE
35,TRUE,TRUE,"excl as person type",FALSE
473,TRUE,TRUE,"min/aug type",TRUE
474,TRUE,TRUE,"excl as person type",FALSE
475,TRUE,TRUE,"excl as person type",FALSE
476,TRUE,TRUE,"excl as person type",FALSE
477,TRUE,TRUE,"excl as person type",FALSE
479,TRUE,TRUE,"min/aug type",TRUE
212,TRUE,TRUE,"min/aug type",TRUE
112,TRUE,TRUE,"min/aug type",TRUE
480,TRUE,TRUE,"excl as person type",FALSE
481,FALSE,TRUE,"plain i/e type",FALSE
482,TRUE,TRUE,"excl as person type",FALSE
321,TRUE,TRUE,"excl as person type",FALSE
483,TRUE,TRUE,"excl as person type",FALSE
484,TRUE,TRUE,"min/aug type",TRUE
485,TRUE,TRUE,"min/aug type",TRUE
486,TRUE,TRUE,"min/aug type",TRUE
487,TRUE,TRUE,"min/aug type",TRUE
177,TRUE,TRUE,"min/aug type",TRUE
488,TRUE,TRUE,"min/aug type",TRUE
489,TRUE,TRUE,"min/aug type",TRUE
490,TRUE,TRUE,"min/aug type",TRUE
491,FALSE,TRUE,"plain i/e type",FALSE
99,FALSE,FALSE,"no i/e",FALSE
454,FALSE,FALSE,"no i/e",FALSE
492,TRUE,TRUE,"excl as person type",FALSE
493,TRUE,TRUE,"min/aug type",TRUE
494,TRUE,TRUE,"min/aug type",TRUE
128,FALSE,TRUE,"plain i/e type",FALSE
495,FALSE,TRUE,"plain i/e type",FALSE
77,FALSE,TRUE,"plain i/e type",FALSE
496,FALSE,TRUE,"plain i/e type",FALSE
460,FALSE,FALSE,"no i/e",FALSE
497,FALSE,FALSE,"no i/e",FALSE
466,FALSE,FALSE,"no i/e",FALSE
465,FALSE,FALSE,"no i/e",FALSE
498,TRUE,TRUE,"excl as person type",FALSE
159,FALSE,FALSE,"no i/e",FALSE
499,FALSE,FALSE,"no i/e",FALSE
500,FALSE,FALSE,"no i/e",FALSE
463,FALSE,FALSE,"no i/e",FALSE
78,FALSE,FALSE,"no i/e",FALSE
501,FALSE,FALSE,"no i/e",FALSE
361,FALSE,FALSE,"no i/e",FALSE
502,FALSE,FALSE,"no i/e",FALSE
87,FALSE,FALSE,"no i/e",FALSE
384,FALSE,FALSE,"no i/e",FALSE
503,FALSE,FALSE,"no i/e",FALSE
504,FALSE,FALSE,"no i/e",FALSE
505,FALSE,FALSE,"no i/e",FALSE
353,FALSE,TRUE,"plain i/e type",FALSE
61,FALSE,FALSE,"no i/e",FALSE
209,TRUE,TRUE,"min/aug type",TRUE
506,TRUE,TRUE,"excl as person type",FALSE
507,TRUE,TRUE,"min/aug type",TRUE
13,TRUE,TRUE,"min/aug type",TRUE
64,FALSE,TRUE,"plain i/e type",FALSE
66,FALSE,TRUE,"plain i/e type",FALSE
401,TRUE,TRUE,"min/aug type",TRUE
412,FALSE,FALSE,"no i/e",FALSE
508,TRUE,TRUE,"excl as person type",FALSE
135,FALSE,FALSE,"no i/e",FALSE
509,FALSE,FALSE,"no i/e",FALSE
134,FALSE,FALSE,"no i/e",FALSE
510,FALSE,FALSE,"no i/e",FALSE
511,FALSE,FALSE,"no i/e",FALSE
399,FALSE,FALSE,"no i/e",FALSE
571,FALSE,FALSE,"no i/e",FALSE
583,FALSE,FALSE,"no i/e",FALSE
529,FALSE,FALSE,"no i/e",FALSE
461,FALSE,FALSE,"no i/e",FALSE
456,FALSE,FALSE,"no i/e",FALSE
564,FALSE,TRUE,"plain i/e type",FALSE
464,FALSE,FALSE,"no i/e",FALSE
533,FALSE,FALSE,"no i/e",FALSE
569,FALSE,FALSE,"no i/e",FALSE
515,FALSE,FALSE,"no i/e",FALSE
576,FALSE,TRUE,"plain i/e type",FALSE
553,FALSE,FALSE,"no i/e",FALSE
550,FALSE,TRUE,"plain i/e type",FALSE
527,FALSE,TRUE,"plain i/e type",FALSE
469,FALSE,FALSE,"no i/e",FALSE
518,FALSE,FALSE,"no i/e",FALSE
375,FALSE,TRUE,"plain i/e type",FALSE
525,FALSE,FALSE,"no i/e",FALSE
642,FALSE,FALSE,"no i/e",FALSE
644,TRUE,TRUE,"excl as person type",FALSE
383,TRUE,TRUE,"excl as person type",FALSE
646,FALSE,FALSE,"no i/e",FALSE
514,TRUE,TRUE,"excl as person type",FALSE
648,FALSE,TRUE,"plain i/e type",FALSE
69,FALSE,FALSE,"no i/e",FALSE
114,FALSE,TRUE,"plain i/e type",FALSE
193,FALSE,FALSE,"no i/e",FALSE
512,FALSE,FALSE,"no i/e",FALSE
645,TRUE,TRUE,"min/aug type",TRUE
526,FALSE,FALSE,"no i/e",FALSE
535,FALSE,FALSE,"no i/e",FALSE
566,FALSE,TRUE,"plain i/e type",FALSE
540,FALSE,FALSE,"no i/e",FALSE
208,,FALSE,"no i/e",
155,FALSE,FALSE,"no i/e",FALSE
530,FALSE,FALSE,"no i/e",FALSE
558,TRUE,TRUE,"excl as person type",FALSE
654,FALSE,FALSE,"no i/e",FALSE
577,TRUE,TRUE,"min/aug type",TRUE
567,FALSE,FALSE,"no i/e",FALSE
44,FALSE,TRUE,"plain i/e type",FALSE
634,FALSE,TRUE,"plain i/e type",FALSE
413,FALSE,TRUE,"plain i/e type",FALSE
519,FALSE,TRUE,"plain i/e type",FALSE
650,,FALSE,"no i/e",
534,FALSE,FALSE,"no i/e",FALSE
629,FALSE,TRUE,"plain i/e type",FALSE
385,TRUE,TRUE,"excl as person type",FALSE
656,FALSE,FALSE,"no i/e",FALSE
352,FALSE,FALSE,"no i/e",FALSE
157,FALSE,TRUE,"plain i/e type",FALSE
299,FALSE,FALSE,"no i/e",FALSE
232,,FALSE,"no i/e",
158,FALSE,TRUE,"plain i/e type",FALSE
154,,FALSE,"no i/e",
599,FALSE,TRUE,"plain i/e type",FALSE
666,,FALSE,"no i/e",
608,,FALSE,"no i/e",
404,TRUE,TRUE,"excl as person type",FALSE
455,,FALSE,"no i/e",
82,TRUE,TRUE,"min/aug type",TRUE
145,FALSE,FALSE,"no i/e",FALSE
580,,FALSE,"no i/e",
669,FALSE,TRUE,"plain i/e type",FALSE
660,,FALSE,"no i/e",
528,FALSE,TRUE,"plain i/e type",FALSE
402,TRUE,TRUE,"excl as person type",FALSE
305,,FALSE,"no i/e",
643,,FALSE,"no i/e",
532,FALSE,TRUE,"plain i/e type",FALSE
225,FALSE,TRUE,"plain i/e type",FALSE
18,,FALSE,"no i/e",
538,,FALSE,"no i/e",
612,,FALSE,"no i/e",
152,TRUE,TRUE,"excl as person type",FALSE
582,,FALSE,"no i/e",
620,TRUE,TRUE,"excl as person type",FALSE
649,,FALSE,"no i/e",
223,FALSE,FALSE,"no i/e",FALSE
221,FALSE,FALSE,"no i/e",FALSE
60,FALSE,FALSE,"no i/e",FALSE
686,FALSE,FALSE,"no i/e",FALSE
692,TRUE,TRUE,"min/aug type",TRUE
1,TRUE,TRUE,"min/aug type",TRUE
1108,FALSE,FALSE,"no i/e",FALSE
635,FALSE,TRUE,"plain i/e type",FALSE
355,FALSE,TRUE,"plain i/e type",FALSE
655,TRUE,TRUE,"min/aug type",TRUE
668,,FALSE,"no i/e",
942,FALSE,TRUE,"plain i/e type",FALSE
895,FALSE,TRUE,"plain i/e type",FALSE
872,FALSE,TRUE,"plain i/e type",FALSE
1149,FALSE,TRUE,"plain i/e type",FALSE
2572,FALSE,TRUE,"plain i/e type",FALSE
2946,FALSE,TRUE,"plain i/e type",FALSE
1531,FALSE,TRUE,"plain i/e type",FALSE
1807,FALSE,TRUE,"plain i/e type",FALSE
1840,FALSE,TRUE,"plain i/e type",FALSE
1263,FALSE,FALSE,"no i/e",FALSE
1751,FALSE,FALSE,"no i/e",FALSE
1542,FALSE,FALSE,"no i/e",FALSE
1700,FALSE,FALSE,"no i/e",FALSE
2826,,FALSE,"no i/e",
2947,FALSE,TRUE,"plain i/e type",FALSE
2950,FALSE,FALSE,"no i/e",FALSE
2948,FALSE,FALSE,"no i/e",FALSE
2949,FALSE,FALSE,"no i/e",FALSE
659,TRUE,TRUE,"excl as person type",FALSE
658,TRUE,TRUE,"excl as person type",FALSE
2967,FALSE,TRUE,"plain i/e type",FALSE
2450,FALSE,TRUE,"plain i/e type",FALSE
467,TRUE,TRUE,"excl as person type",FALSE
542,TRUE,TRUE,"excl as person type",FALSE
737,FALSE,TRUE,"plain i/e type",FALSE
1144,TRUE,TRUE,"min/aug type",TRUE
2573,FALSE,TRUE,"plain i/e type",FALSE
2786,TRUE,TRUE,"excl as person type",FALSE
2959,FALSE,TRUE,"plain i/e type",FALSE
1935,TRUE,TRUE,"min/aug type",TRUE
1644,TRUE,TRUE,"min/aug type",TRUE
2309,FALSE,TRUE,"plain i/e type",FALSE
2752,,FALSE,"no i/e",
1926,,FALSE,"no i/e",
2015,FALSE,TRUE,"plain i/e type",FALSE
1397,FALSE,TRUE,"plain i/e type",FALSE
685,,FALSE,"no i/e",
2970,FALSE,TRUE,"plain i/e type",FALSE
1739,,FALSE,"no i/e",
458,,FALSE,"no i/e",
1036,FALSE,TRUE,"plain i/e type",FALSE
192,FALSE,TRUE,"plain i/e type",FALSE
2994,TRUE,TRUE,"min/aug type",TRUE
2779,,FALSE,"no i/e",
459,FALSE,TRUE,"plain i/e type",FALSE
551,FALSE,TRUE,"plain i/e type",FALSE
392,FALSE,TRUE,"plain i/e type",FALSE
3101,,FALSE,"no i/e",
2050,,FALSE,"no i/e",
3105,,FALSE,"no i/e",
3106,,FALSE,"no i/e",
2564,,FALSE,"no i/e",
2984,FALSE,TRUE,"plain i/e type",FALSE
896,FALSE,FALSE,"no i/e",FALSE
561,FALSE,TRUE,"plain i/e type",FALSE
790,FALSE,FALSE,"no i/e",FALSE
975,TRUE,TRUE,"min/aug type",TRUE
2641,FALSE,TRUE,"plain i/e type",FALSE
780,FALSE,TRUE,"plain i/e type",FALSE
687,FALSE,FALSE,"no i/e",FALSE
1115,FALSE,TRUE,"plain i/e type",FALSE
1116,FALSE,TRUE,"plain i/e type",FALSE
426,FALSE,FALSE,"no i/e",FALSE
1692,FALSE,FALSE,"no i/e",FALSE
738,FALSE,TRUE,"plain i/e type",FALSE
1936,FALSE,TRUE,"plain i/e type",FALSE
885,FALSE,FALSE,"no i/e",FALSE
3232,TRUE,TRUE,"excl as person type",FALSE
3235,FALSE,TRUE,"plain i/e type",FALSE
2412,FALSE,FALSE,"no i/e",FALSE
2308,TRUE,TRUE,"excl as person type",FALSE
1706,FALSE,FALSE,"no i/e",FALSE
595,FALSE,TRUE,"plain i/e type",FALSE
1750,FALSE,TRUE,"plain i/e type",FALSE
2893,FALSE,FALSE,"no i/e",FALSE
2714,FALSE,FALSE,"no i/e",FALSE
2716,FALSE,FALSE,"no i/e",FALSE
3198,FALSE,FALSE,"no i/e",FALSE
691,FALSE,FALSE,"no i/e",FALSE
