"LID","Gender.n","Gender.binned4","Gender.Presence"
1896,2,"2 genders",TRUE
177,,,FALSE
649,,,FALSE
305,3,"3 genders",TRUE
400,3,"3 genders",TRUE
466,,,TRUE
564,,,FALSE
226,,,FALSE
2987,,,FALSE
207,,,FALSE
397,,,FALSE
61,,,FALSE
645,,,FALSE
404,,,FALSE
159,,,FALSE
1828,2,"2 genders",TRUE
223,,,FALSE
515,,,FALSE
2469,2,"2 genders",TRUE
326,,,FALSE
558,2,"2 genders",TRUE
66,,,FALSE
566,,,FALSE
192,3,"3 genders",TRUE
2797,,,FALSE
538,,,FALSE
2260,,,FALSE
578,,,FALSE
414,,,FALSE
391,,,FALSE
582,,,FALSE
664,,,FALSE
565,3,"3 genders",TRUE
383,,,FALSE
503,,,FALSE
646,,,FALSE
454,,,FALSE
663,,,FALSE
526,,,FALSE
501,,,FALSE
106,,,FALSE
656,,,FALSE
1625,,,FALSE
528,,,FALSE
