"LID","VInflAktionsart.Position","VInflApplicative.Position","VInflAspect.Position","VInflCausative.Position","VInflClassifier.Position","VInflConnective.Position","VInflConstruct.Position","VInflControl.Position","VInflDeixis.Position","VInflVoice.Position","VInflFocus.Position","VInflPosterior.Position","VInflGender.Position","VInflIllocution.Position","VInflMA.Position","VInflMN.Position","VInflModality.Position","VInflMood.Position","VInflMotion.Position","VInflMSE.Position","VInflNominalizer.Position","VInflNumber.Position","VInflPerson.Position","VInflPolarity.Position","VInflPotentialis.Position","VInflQuantificational.Position","VInflReflexive_and_Reciprocal.Position","VInflRECIP.Position","VInflReferential.Position","VInflReflexive.Position","VInflRepetition.Position","VInflReversative.Position","VInflSemistem.Position","VInflSpatial.Position","VInflStatus.Position","VInflSwitch_reference.Position","VInflTense_and_Evidential.Position","VInflTA.Position","VInflTAM.Position","VInflTense.Position","VInflTM.Position","VInflValence.Position","VInflVersion.Position"
114,,,,"post",,"prae",,,"prae","post",,,,,,,,,,"post",,,,"post",,"in",,,,,,,,,,,,,"post",,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"in",,,,
119,,,"post","post",,,,,,,,,,,,,,,"post",,,,,"post",,"post",,,,,,,,,,,,,,"post",,,
123,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,"prae",,,,,,,,,,,,"prae",,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
125,"post",,,,,,,,,,,,,,,,,,,,,"post",,,,"post",,,,,"in",,,,,,,,,"post",,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"in/prae",,,,,
134,"post",,"post",,,,,,,,,,,,,,,,,,,"prae",,,,"prae",,,,,,,,,"prae",,,,,,,,
136,,,"post",,,,,,,,,,,,,,,"post",,,,,,"post",,,,,,,,,,,,"post",,,,"post",,,
139,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
145,,,"in",,,,,,"prae","post",,,,,,,,,,,,,,"in",,,,,,,,,"prae",,,,,,"post",,,,
147,,,,,,,,,,"prae",,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,"post",,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,"in",,,,,,,,,"post",,,,,"post",,,
154,,,,,,,"in",,,"post",,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,"post",,,,"prae"
155,"in",,,,,,,,,,,,,,,,,,,,,,,"in/prae",,,,,,,,,,,,,,,,"post",,,
168,,,"post",,,,,,,,,,,,,,,"post",,,,,,"post",,,"post",,,,,,,,,,,,,"post",,,
169,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,"post",,,,,
171,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,
176,,,,,,,,,,"post",,,,,,,,,,,"post",,,"post",,"post",,,,,,,,,,,,,"post",,,,
177,,,,,,,,,,,,,,,,,,,,,,,,"post (prae)",,,,,,,,,,,,,,,"prae",,,,
178,,"post",,,,,,,,,,,,,,,,,,,,"post",,,,"in/prae",,,,,,,,,"prae",,,,,,"post",,
178,,"prae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,"post",,,,
180,,"post","post","post",,,,,,"post",,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,"post",,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,"post","prae",,,
188,,,,"post",,,,,,"post",,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,"post",,,,
191,,,,,,,,,,,,,,,,,,,,,,"post",,"post",,,,,,"post",,,,,,,,,"post",,,,
192,,"post",,"post",,,,,,"prae/post",,,,,,,"post","post",,,,,,,,"in/post",,,,,,,,,"in",,,,,,,,
193,,,"post",,,,,,,,,,,,,,"post",,"post",,,,,"post",,,"post",,,,"post",,,,,"post",,"post",,,,,
196,,"post",,,,,,,,,,,,,,,,,,,,"post",,,,,"post",,,,,,,,,,,"post","prae",,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
199,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,"post",,,,,,,,,,"post",,,,,,,,,,,"post",,,,,,"post",,,,,,,,,,"post",,,
201,"post",,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,"post",,,
202,,,"prae",,,"post",,,,,,,,,,,,,,,,"prae/post",,"post",,,,,,,,,,,,,,,,,"prae",,
205,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,"post",,
206,,,"post",,,,,,,"post",,,,,,,,,,,,,,"prae/post",,,,,,,,,,,,,,,"post",,,,
208,,,"post","prae",,,,,,,,,,,,,,"post",,,,"post",,,,"prae",,"prae",,"prae",,,,,,,,,,"post",,,
208,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,,,,,
212,"post",,,,,,,,"post","post",,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,"post",,,
221,,,,,,,,,,,,,,,"post",,,,,,,"post",,"post",,,,,,,,,,,,,,,,"post",,,
223,"prae",,"post",,,,,,"post",,,,,"prae",,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,
225,,,,,,,,,"post",,,,,,"post",,,,,,,,,"prae",,,,"post",,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,"post",,,
325,,,"prae",,,,,,,,,,,,,,,"post",,,,,,"prae",,,,,,,,,,,,,,,,"post",,"in/post",
326,,,"post",,,,,,,,,,,,,,,"post",,,,,,"post",,,,,,,,,,,"post",,,,,"post",,,
340,,,"prae/post",,,,,,,"post",,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,"post",,
352,,"post",,,,,,,,,,,,,,,,"post",,,,,,"post",,,"post",,,,,,,,,"post",,,,"post",,,
356,"post",,"post",,,,,,,"post",,,,,,,,,,,,,,,,,,"post",,"post",,,,,,,,,,"post",,,
357,"prae",,,,,,,,"prae","post",,,,,,,,,,,,,,,,"in",,,,,,,,,"prae",,,,,"prae",,,
365,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,"post",,"post",,,
367,,,"post",,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,"post",,,,,"post",,,
368,,,"prae",,,,"post",,"post",,"post",,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,"prae",,,
370,,,"post",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,"post",,,
378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,
382,,,"post",,,,,,,,,,,,,,,"post",,"post",,"post",,"post",,"prae/post/circum","prae",,,,,,,,"post",,,,"post",,,,
383,,,"post","post",,,,,"post",,"Wackernagel",,,,,,,"post",,,,,,"post",,"in",,,,,,,,,,,,,,,,,
385,,,"in/post",,,,,,"post",,,,,,,,,,,,,,,"post",,"in/post",,,,,,,,,"post",,,,"post",,,,
385,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,"post",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,"post",,,,,,,,,,,,,,"post",,,"post",,,,,,,,,,,,,,"post",,
388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,
388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
389,,,,"post",,,,,,,,,,,,,,,,,,,,"in/prae",,,,,,,,,"prae",,,,,,"post",,,,
390,,,"post",,,,,,"post",,,"prae",,,,,,"prae",,,,"post",,,,,"post",,"prae",,,,,,"prae",,,,,,"post",,
392,,,"post","post",,,,,,"prae",,,,,,,,,,,,"post",,,,"post",,,,,,,,,,,,,,,,,
392,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,"post",,,
395,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
