"LID","NPAgrCat","NPAlienability.Presence","NPAlienabilityType","NPHeadSemConstraints","NPMarking.binned5","NPDepCatConstraints","NPHeadSemClassSize.n","NPMarkersLabel","NPMarking.binned4","NPHeadlessness","NPMarking.overt.Presence","NPMarking","NPLabel","NPDepSemConstraints.binned4","NPDepSemConstraints","NPHeadSemConstraints.Presence","NPHeadSemSpecial","NPWordOrder"
2471,"Gender,Number,Role",FALSE,"neutral","non-specific","agreement","Adj,PTCP",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",774,"neutral","neutral",TRUE,,"Dependent-Head"
2859,"Gender,Number,Role",FALSE,"neutral",,"agreement","Adj,PTCP",0,"","agreement/class marker","OK",TRUE,"Head-driven agreement",836,"neutral","neutral",,,"Dependent-Head"
2855,"Gender,Number,Role",FALSE,"neutral","neutral","agreement","Adj,PTCP",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",830,"neutral","neutral",FALSE,,"Dependent-Head"
2858,"Gender,Number,Role",FALSE,"neutral","neutral","agreement","Adj,PTCP",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",834,"neutral","neutral",FALSE,,"Dependent-Head"
2857,"Gender,Number,Role",FALSE,"neutral","specific","agreeing construct","Adj,PTCP",1,"","construct markers","OK",TRUE,"Anti-construct state agreement",818,"neutral","neutral",TRUE,,"Dependent-Head"
1891,"Number,Role",FALSE,"neutral","neutral","agreement","Adj",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",1022,"neutral","neutral",FALSE,,"Dependent-Head"
2340,"Gender,Number,Role",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",726,,,,,"Dependent-Head"
2696,"Number,Role",FALSE,"neutral","neutral","agreement","Adj",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",1024,"neutral","neutral",FALSE,,"Dependent-Head"
2856,"Gender,Number,Role",FALSE,"neutral","neutral","agreement","Adj,PTCP",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",829,"neutral","neutral",FALSE,,"Dependent-Head"
700,"Number,Role",FALSE,"neutral","neutral","agreement","DEM,Num",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",663,"neutral","neutral",FALSE,,"Dependent-Head"
683,"Gender,Number,Role",FALSE,"neutral",,,"N_or_Pro,Ord",0,"1390","mixed",,TRUE,"Head-driven agr. + Governed",573,,,,,"Head-Dependent"
2832,"Gender,Number,Role",FALSE,"neutral","specific","agreeing construct","Adj,PTCP",1,"","construct markers","OK",TRUE,"Anti-construct state agreement",814,"neutral","neutral",TRUE,,"Dependent-Head"
1498,"Gender,Number,Role",FALSE,"neutral","neutral","agreeing construct","Adj,PTCP",1,"","construct markers","OK",TRUE,"Anti-construct state agreement",764,"neutral","neutral",FALSE,,"Dependent-Head"
2447,"Gender,Number,Role",FALSE,"neutral","specific","agreeing construct","Adj,PTCP",1,"1605","construct markers","OK",TRUE,"Anti-construct state agreement",776,"neutral","neutral",TRUE,,"Dependent-Head"
25,"Number,Role",,,,,"Adj,Quant",0,"",,,,"Incorporation",769,,,,,"Dependent-Head"
549,"Gender,Number,Role",FALSE,"neutral","non-specific","agreement","Adj,PTCP",1,"","agreement/class marker",,TRUE,"Head-driven agreement",780,"neutral","neutral",TRUE,,"Dependent-Head"
1890,"Gender,Number,Role",FALSE,"neutral","specific","agreeing construct","Adj,PTCP",1,"","construct markers","OK",TRUE,"Anti-construct state agreement",778,"neutral","neutral",TRUE,,"Dependent-Head"
2832,"Gender,Number,Role",FALSE,"neutral","neutral","agreement","Adj,PTCP",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",826,"neutral","neutral",FALSE,,"Dependent-Head"
814,"Gender,Number,Role",FALSE,"neutral","neutral","agreeing construct","Adj,PTCP",1,"1603","construct markers","OK",TRUE,"Anti-construct state agreement",744,"neutral","neutral",FALSE,,"Dependent-Head"
87,"Gender,Number,Role",FALSE,"neutral","neutral","agreeing construct","Adj,PTCP",1,"1587","construct markers","OK",TRUE,"Anti-construct state agreement",598,"neutral","neutral",FALSE,,"Dependent-Head"
738,"Number,Role",,,,"agreement","Adj,PTCP",0,"1571","agreement/class marker",,TRUE,"Modifier-headed possessor agreement",724,,,,,"Dependent-Head"
464,"Gender,Number,Role",FALSE,"neutral","neutral",,"Adj",1,"","mixed",,TRUE,"HDAgr+NMLZ",824,"pragmatic","specific",FALSE,,"Dependent-Head"
2855,"Gender,Number,Role",FALSE,"neutral","specific","agreeing construct","Adj,PTCP",1,"","construct markers","OK",TRUE,"Anti-construct state agreement",816,"neutral","neutral",TRUE,,"Dependent-Head"
464,"Gender,Number,Role",FALSE,"neutral","neutral","agreement","Adj",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",608,"neutral","neutral",FALSE,,"Dependent-Head"
2714,"Gender,Number,Role",FALSE,"neutral","neutral","agreement","Adj",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",931,"neutral","neutral",FALSE,,"Dependent-Head"
2471,"Gender,Number,Role",FALSE,"neutral","specific","agreeing construct","Adj,PTCP",1,"1604","construct markers","OK",TRUE,"Anti-construct state agreement",773,"neutral","neutral",TRUE,,"Dependent-Head"
1814,"Number,Role",FALSE,"neutral","neutral","agreement","Adj",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",691,"neutral","neutral",FALSE,,"Dependent-Head"
2854,"Gender,Number,Role",FALSE,"neutral","neutral","agreement","Adj,PTCP",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",831,"neutral","neutral",FALSE,,"Dependent-Head"
2716,"Gender,Number,Role",FALSE,"neutral","neutral","agreement","Adj",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",772,"neutral","neutral",FALSE,,"Dependent-Head"
549,"Gender,Number,Role",FALSE,"neutral","specific","agreeing construct","Adj,PTCP",1,"","construct markers","OK",TRUE,"Anti-construct state agreement",779,"neutral","neutral",TRUE,,"Dependent-Head"
2447,"Gender,Number,Role",FALSE,"neutral","non-specific","agreement","Adj,PTCP",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",775,"neutral","neutral",TRUE,,"Dependent-Head"
700,"Number,Role",FALSE,"neutral","neutral","agreement","Adj",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",1036,,,FALSE,,"Dependent-Head"
25,"Number,Role",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",768,,,,,"Head-Dependent"
110,"Gender,Number,Role",FALSE,"neutral","neutral","agreement","Adj",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",603,"neutral","neutral",FALSE,,"Dependent-Head"
1480,"Number,Role",,,,"agreement","Adj",0,"","agreement/class marker","OK",TRUE,"Head-driven agreement",1021,,,,,"Dependent-Head"
435,"Gender,Number,Role",FALSE,"neutral",,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",612,,,,,"Head-Dependent"
2854,"Gender,Number,Role",FALSE,"neutral","specific","agreeing construct","Adj,PTCP",1,"","construct markers","OK",TRUE,"Anti-construct state agreement",815,"neutral","neutral",TRUE,,"Dependent-Head"
1666,"Number,Role",FALSE,"neutral","neutral","agreement","Adj",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",597,"neutral","neutral",FALSE,,"Dependent-Head"
1207,"Gender,Number,Role",,,,"agreement","Adj,PTCP",0,"","agreement/class marker","OK",TRUE,"Head-driven agreement",803,,,,,
1295,"Gender,Number",FALSE,"neutral","neutral",,"N",1,"1583","agreement/class marker","OK",TRUE,"Dep-driven + head-driven agreement",742,"referentiality","human",FALSE,,"Dependent-Head"
683,"Gender,Number,Role",FALSE,"neutral",,"agreement","Adj,Art,N,Num",0,"","agreement/class marker","OK",TRUE,"Head-driven agreement",571,,,,,"Head-Dependent"
2372,"Gender,Number,Role",,,,"agreement","Adj",0,"","agreement/class marker","OK",TRUE,"Head-driven agreement",804,,,,,"Dependent-Head"
711,"Gender,Number,Referential",FALSE,"neutral","neutral","agreement","Adj",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",701,"pragmatic","non-specific",FALSE,,"Dependent-Head"
678,"Gender,Number",FALSE,"neutral","neutral","agreement","Adj,DEM,Num",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",607,"neutral","neutral",FALSE,,"Dependent-Head"
569,"Gender,Number",FALSE,"neutral",,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",599,,,,,"Head-Dependent"
863,"Gender,Number",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",802,,,,,"Head-Dependent"
114,"Gender,Number,Role",,,,"agreement","Adj",0,"1546","agreement/class marker",,TRUE,"Head-driven agreement",635,,,,,"Dependent-Head"
