"LID","NPAgrCat","NPAlienability.Presence","NPAlienabilityType","NPHeadSemConstraints","NPMarking.binned5","NPDepCatConstraints","NPHeadSemClassSize.n","NPMarkersLabel","NPMarking.binned4","NPHeadlessness","NPMarking.overt.Presence","NPMarking","NPLabel","NPDepSemConstraints.binned4","NPDepSemConstraints","NPHeadSemConstraints.Presence","NPHeadSemSpecial","NPWordOrder"
2453,"Number",,,,"juxtaposition","Adj",0,"",,,FALSE,"Juxtaposition",874,,,,,"Head-Dependent"
136,,TRUE,"inalienable","kin terms",,"N_or_Pro",1,"","agreement/class marker",,TRUE,"Dep-driven agreement",141,,,TRUE,,
106,,,,"body parts,kin terms",,,2,"","agreement/class marker",,TRUE,"Dep-driven agreement",474,,,TRUE,,"Head-Dependent"
179,"Number",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",786,,,,,"Head-Dependent"
454,,TRUE,"inalienable","body parts,kin terms",,"Pro",2,"368,369","mixed",,TRUE,"Dep-driven agr. + Governed",244,,,TRUE,"‘gun’","Free"
80,,TRUE,"alienable","neutral",,"Pro",1,"132",,,,,82,,,FALSE,,"Head-Dependent"
69,"Number",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",860,,,,,"Head-Dependent"
635,,TRUE,"inalienable","body parts,kin terms","juxtaposition","Pro",2,"",,,FALSE,"Juxtaposition",809,,,TRUE,,"Dependent-Head"
129,"Number",,,,"agreement","DEM",0,"1554","agreement/class marker",,TRUE,"Head-driven agreement",645,,,,,"Dependent-Head"
553,,FALSE,"neutral","neutral","agreement","N_or_Pro",1,"597","agreement/class marker",,TRUE,"Head-driven agreement",399,"neutral","neutral",FALSE,,"Head-Dependent"
583,,FALSE,"neutral","neutral",,"N_or_Pro",1,"742","agreement/class marker",,TRUE,"Pronominal agreement",494,"neutral","neutral",FALSE,"Must be a common noun. Pronouns and names don’t have a contruct state.","Head-Dependent"
178,,TRUE,"inalienable","neutral",,"N_or_Pro",1,"",,,,,185,,,FALSE,,"Dependent-Head"
176,"Number",,,"human","agreement","Adj,Art",1,"1602","agreement/class marker","OK",TRUE,"Head-driven agreement",787,,,TRUE,,"Dependent-Head"
319,,TRUE,"inalienable","kin terms",,,1,"",,,,,228,,,TRUE,"‘country’ and  a few others",
443,,TRUE,"inalienable","kin terms",,,1,"",,,,,1,,,TRUE,"only ‘namesake’ mentioned!","Dependent-Head"
81,"Number",,,"non-human","juxtaposition","Adj",1,"",,,FALSE,"Juxtaposition",859,,,TRUE,,"Head-Dependent"
359,,TRUE,"inalienable","kin terms",,"N_or_Pro",1,"272",,,,,269,,,TRUE,,
683,,FALSE,"neutral",,,"Adp,AdvP",0,"1391","government",,TRUE,"Governed",572,,,,,"Dependent-Head"
69,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"",,,,,62,,,TRUE,,
2239,"Person",,,,"agreement","Adj",0,"1588","agreement/class marker",,TRUE,"Modifier-headed possessor agreement",749,,,,,"Dependent-Head"
86,"Role",,,,"agreement","Adj,DEM",0,"1542","agreement/class marker","OK",TRUE,"Head-driven agreement",630,,,,,"Dependent-Head"
198,,TRUE,"alienable","kin terms",,"N_or_Pro",1,"",,,,,202,,,TRUE,,"Head-Dependent"
481,"Role",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",792,,,,,"Dependent-Head"
43,,TRUE,"inalienable","body parts,kin terms","agreement","Pro",2,"700","agreement/class marker",,TRUE,"Head-driven agreement",454,,,TRUE,"Apparently some others (see Comments).","Dependent-Head"
660,"Role",FALSE,"neutral",,,"N_or_Pro",0,"1559","mixed","OK",TRUE,"Head-driven agr. + Governed",669,,,,,"Dependent-Head"
179,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"","agreement/class marker",,TRUE,"External-driven agreement",189,,,TRUE,,"Dependent-Head"
645,,TRUE,"inalienable","body parts,kin terms",,,2,"","agreement/class marker",,TRUE,"Dep-driven agreement",503,,,TRUE,"a few extensions of these, e.g. ‘leaf’, ‘friend’.  Apparently all (or virtually all) body parts and kin terms are inalienable.",
86,"Role",FALSE,"neutral","neutral",,"N",1,"139","government",,TRUE,"Governed",632,,,FALSE,,"Head-Dependent"
325,,TRUE,"inalienable","body parts,kin terms",,"Pro",2,"330","agreement/class marker",,TRUE,"Pronominal agreement",235,,,TRUE,,
395,"Gender",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",848,,,,,"Head-Dependent"
1531,"Gender",,,,"agreement","Adj",0,"1599","agreement/class marker","OK",TRUE,"Head-driven agreement",793,,,,,"Dependent-Head"
443,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"",,,,,2,,,TRUE,,"Dependent-Head"
391,,FALSE,"neutral","neutral",,"N_or_Pro",1,"248","mixed",,TRUE,"External-driven agr. + Governed",304,,,FALSE,,"Free"
465,,TRUE,"inalienable","body parts,kin terms","juxtaposition",,2,"",,,FALSE,"Juxtaposition",182,,,TRUE,,
15,"Gender",,,,"agreement","Num",0,"","agreement/class marker",,TRUE,"Head-driven agreement",638,,,,,"Head-Dependent"
682,"Person",TRUE,"alienable","alienable",,,1,"1397,1398","mixed","ungrammatical",TRUE,"Dep-driven agr. + Construct state",580,,,TRUE,,"Head-Dependent"
159,,TRUE,"inalienable","body parts,kin terms,meronyms,origin,owner,topological","juxtaposition","N",6,"",,,FALSE,"Juxtaposition",160,,,TRUE,,
159,,TRUE,"inalienable","body parts,kin terms,meronyms,origin,owner,topological",,"Pro",6,"303","agreement/class marker",,TRUE,"Pronominal agreement",163,,,TRUE,,
512,,TRUE,"inalienable","body parts,clothing terms,kin terms,plant parts,volitional,weapon","juxtaposition",,6,"",,,FALSE,"Juxtaposition",22,,,TRUE,"personal belongings (156): name, hammock, flute, clothes, paddle, bow, bruise, thing, arrow;  also some abstractions and a few others (157); classificatory nouns (incorporable) (body and plant parts; some shapes and meronyms; fluidity in these) (164ff.)",
373,"Number",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",850,,,,,"Head-Dependent"
407,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"206",,,,,325,,,TRUE,,
428,"Number",,,,"nominalization","Adj",0,"","construct markers","OK",TRUE,"Attributive article",841,,,,,"Dependent-Head"
156,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"625","agreement/class marker",,TRUE,"Dep-driven agreement",414,"neutral","neutral",TRUE,,"Dependent-Head"
737,"Number",,,,"agreement","Adj,Ord,Quant",0,"1539","agreement/class marker",,TRUE,"Modifier-headed possessor agreement",626,,,,,"Head-Dependent"
232,,TRUE,"inalienable","body parts,kin terms",,,2,"","agreement/class marker",,TRUE,"Dep-driven agreement",547,,,TRUE,,
383,,TRUE,"inalienable","body parts,kin terms",,,2,"","agreement/class marker",,TRUE,"Dep-driven agreement",506,,,TRUE,,
388,,TRUE,"inalienable","body parts,kin terms,meronyms,topological",,,4,"","agreement/class marker",,TRUE,"Dep-driven agreement",1054,,,TRUE,"Abstract nouns derived from adjectives",
455,,TRUE,"inalienable","body parts,kin terms,meronyms,topological",,"nonSAP",4,"","mixed",,TRUE,"Dep-driven agr. + Governed",1057,,,TRUE,,
455,,TRUE,"inalienable","body parts,kin terms,meronyms,topological","agreement","SAP",4,"","agreement/class marker",,TRUE,"Head-driven agreement",558,,,TRUE,,
467,,TRUE,"inalienable","body parts,kin terms,meronyms,topological",,,4,"416",,,,,237,"neutral","neutral",TRUE,"imprints and impressions, ‘penis sheath’ (under one analysis)","Head-Dependent"
368,,TRUE,"inalienable","body parts,kin terms,meronyms,quantificational",,"N_or_Pro",4,"191",,,,,286,,,TRUE,,"Dependent-Head"
148,"Number",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",854,,,,,"Head-Dependent"
2345,"Number",,,,,"N",0,"","agreement/class marker",,TRUE,"Dep-driven agreement",871,,,,,"Head-Dependent"
511,"Number",,,,"agreement","Num",0,"","agreement/class marker",,TRUE,"Head-driven agreement",770,,,,,"Head-Dependent"
325,,TRUE,"alienable","neutral",,"N_or_Pro",1,"329","government",,TRUE,"Governed",234,,,FALSE,,
48,,TRUE,"alienable","animals,drinkable,edible,property",,"N_or_Pro",4,"530,531","construct markers",,TRUE,"Dep-driven agr. + Class/poss. noun",368,"neutral","neutral",TRUE,,"Dependent-Head"
50,,TRUE,"alienable","animals,clothing terms,edible,unspecified inanimate",,,4,"","construct markers",,TRUE,"Dep-driven agr. + Class/poss. noun",593,,,TRUE,,
527,,TRUE,"default","animals,body parts,singular,spouse",,,4,"666,667","mixed",,TRUE,"Dep-driven agr. + Governed",594,,,TRUE,,"Dependent-Head"
334,,TRUE,"inalienable","body parts,kin terms,meronyms,volitional",,"N_or_Pro",4,"267",,,,,242,,,TRUE,"‘name’, ‘life’, ‘dialect’, ‘language’, ‘speech’",
35,,TRUE,"inalienable","body parts,kin terms,topological",,"N_or_Pro",3,"395,396","mixed",,TRUE,"Dep-driven agr. + Governed",41,"neutral","neutral",TRUE,,"Dependent-Head"
2453,"Number",,,,"agreement","Adj,Adp,Ord1",0,"","agreement/class marker",,TRUE,"Modifier-headed possessor agreement",872,,,,,"Head-Dependent"
108,,TRUE,"inalienable","body parts,kin terms,topological",,,3,"334",,,,,102,,,TRUE,,
7,"Number",,,,"agreement","Adj",0,"783","agreement/class marker",,TRUE,"Head-driven agreement",762,,,,,"Head-Dependent"
148,,TRUE,"inalienable","kin terms",,"Pro",1,"300","agreement/class marker",,TRUE,"Pronominal agreement",156,,,TRUE,,"Dependent-Head"
345,,TRUE,"inalienable","animals,kin terms",,,2,"183","agreement/class marker",,TRUE,"Dep-driven agreement",252,,,TRUE,"‘water’",
679,,FALSE,"neutral","neutral",,,1,"1519,1525","mixed","OK",TRUE,"Dep-driven agr. + Governed",606,"pragmatic","specific",FALSE,,"Possessor-Head-Poss.word"
39,,TRUE,"inalienable","body parts,kin terms,meronyms",,,3,"366",,,,,47,,,TRUE,,
80,,TRUE,"inalienable","kin terms,owner",,"N_or_Pro",2,"",,,,,81,,,TRUE,"'kinsman'","Head-Dependent"
163,,TRUE,"inalienable","body parts,kin terms,meronyms","juxtaposition","N_or_Pro",3,"",,,FALSE,"Juxtaposition",164,,,TRUE,,"Dependent-Head"
75,,TRUE,"inalienable","body parts,kin terms,meronyms",,,3,"418",,,,,72,,,TRUE,,"Dependent-Head"
120,,FALSE,"neutral","neutral",,"N",1,"282",,,,,116,,,FALSE,,
495,,TRUE,"inalienable","body parts,kin terms,meronyms",,"N_or_Pro",3,"735","government",,TRUE,"Governed",491,"neutral","neutral",TRUE,,"Head-Dependent"
6,,,,"neutral",,"Pro",1,"143",,,,,5,,,FALSE,,
77,,TRUE,"inalienable","body parts,kin terms,meronyms","construct","N-proper,Pro",3,"517","construct markers",,TRUE,"Construct state",357,"referentiality","human",TRUE,"‘color’
not ‘blood’, ‘namesake’
not all meronyms (127)","Head-Dependent"
26,,TRUE,"alienable","neutral","juxtaposition","N_or_Pro",1,"",,,FALSE,"Juxtaposition",29,,,FALSE,,"Dependent-Head"
140,,TRUE,"inalienable","default",,"Pro",1,"266",,,,,150,,,TRUE,,
71,,TRUE,"alienable","alienable",,"N_or_Pro",1,"217","government",,TRUE,"Governed",68,,,TRUE,,"Dependent-Head"
103,,TRUE,"alienable","neutral",,"N_or_Pro",1,"161",,,,,98,,,FALSE,,
648,,TRUE,"alienable","alienable",,"N",1,"","agreement/class marker",,TRUE,"Dep-driven agreement",514,,,TRUE,,"Dependent-Head"
1528,,TRUE,"alienable","alienable",,"N",1,"","government",,TRUE,"Governed",866,,,TRUE,,"Head-Dependent"
147,,TRUE,"alienable","alienable",,"Pro",1,"298","agreement/class marker",,TRUE,"Dep-driven agreement",154,,,TRUE,,
495,,TRUE,"alienable","body parts,kin terms,property",,"N_or_Pro",3,"736","government",,TRUE,"Governed",492,"referentiality","animate",TRUE,,"Head-Dependent"
168,,TRUE,"alienable","alienable",,,1,"","government",,TRUE,"Governed",463,,,TRUE,,"Dependent-Head"
126,,TRUE,"alienable","neutral",,"N_or_Pro",1,"166",,,,,125,,,FALSE,,
131,,TRUE,"alienable","neutral",,"N_or_Pro",1,"","government",,TRUE,"Governed",134,,,FALSE,,
210,,TRUE,"inalienable","body parts,clothing terms,meronyms",,"N_or_Pro",3,"","agreement/class marker",,TRUE,"External-driven agreement",217,,,TRUE,,
670,,FALSE,"neutral","neutral",,"N",1,"1567","mixed",,TRUE,"Dep-driven agr. + Governed",715,"pragmatic","specific",FALSE,,"Possessor-Head-Poss.word"
649,,TRUE,"alienable","alienable",,,1,"","government",,TRUE,"Governed",522,,,TRUE,,"Dependent-Head"
178,,TRUE,"alienable","neutral",,"Pro",1,"",,,,,186,,,FALSE,,"Head-Dependent"
98,,FALSE,"neutral","neutral",,"N",1,"289","government",,TRUE,"Governed",93,"neutral","neutral",FALSE,,"Head-Dependent"
1095,,,,,"juxtaposition","Adj",0,"",,,FALSE,"Juxtaposition",946,,,,,"Dependent-Head"
1528,,TRUE,"inalienable","inalienable","juxtaposition","N",1,"",,,FALSE,"Juxtaposition",865,,,TRUE,,"Head-Dependent"
805,,,,,"juxtaposition","Adj",0,"",,"OK",FALSE,"Juxtaposition",739,,,,,"Dependent-Head"
407,,TRUE,"alienable","neutral",,"Pro",1,"204",,,,,324,,,FALSE,,
135,,TRUE,"inalienable","body parts,kin terms,volitional",,"N_or_Pro",3,"608","agreement/class marker",,TRUE,"Dep-driven agreement",411,,,TRUE,"‘name’
‘photograph’
etc.","Dependent-Head"
679,,FALSE,"neutral","neutral",,"Adj,AdvP,DEM,N_or_Pro",1,"","mixed","OK",TRUE,"HDAgr+NMLZ",587,"pragmatic","specific",FALSE,,"Dependent-Head"
395,,FALSE,"neutral","neutral",,"Pro",1,"",,,,,307,,,FALSE,,
553,,TRUE,"inalienable","kin terms",,"N_or_Pro",1,"",,,FALSE,"Compound",401,"referentiality","human",TRUE,"‘fellow’, ‘home’, ‘sin’",
346,,TRUE,"fluid",,,"Pro",1,"269",,,,,255,,,FALSE,,
2797,,,,"neutral","construct","Adj,N,Num",1,"1582","construct markers",,TRUE,"Anti-construct state",741,"pragmatic","non-specific",FALSE,,"Dependent-Head"
22,,,,"neutral",,"N_or_Pro",1,"",,,,,19,,,FALSE,,
107,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",672,"neutral","neutral",FALSE,,"Dependent-Head"
139,,FALSE,"neutral","neutral","juxtaposition","Adj,N",1,"",,"OK",FALSE,"Juxtaposition",145,"neutral","neutral",FALSE,,"Dependent-Head"
3005,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",1039,"neutral","neutral",FALSE,,"Dependent-Head"
405,,TRUE,"alienable","neutral",,"N",1,"253",,,,,323,,,FALSE,,
156,,TRUE,"alienable","neutral",,"N_or_Pro",1,"625,627","mixed",,TRUE,"Dep-driven agr. + Construct state",415,"neutral","neutral",FALSE,,"Dependent-Head"
608,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",1026,"neutral","neutral",FALSE,,"Dependent-Head"
132,,FALSE,"neutral","neutral",,"N_or_Pro",1,"",,,FALSE,"Compound",407,"neutral","neutral",FALSE,,"Dependent-Head"
141,,FALSE,"neutral","neutral",,"N_or_Pro",1,"611","government","OK",TRUE,"Governed",412,,,FALSE,,"Dependent-Head"
387,,FALSE,"neutral","neutral",,"N,Pro",1,"360",,,,,298,,,FALSE,,"Dependent-Head"
500,,FALSE,"neutral","neutral","juxtaposition","Adj,N_or_Pro",1,"",,,FALSE,"Juxtaposition",364,"neutral","neutral",FALSE,,"Dependent-Head"
147,,TRUE,"inalienable","kin terms",,,1,"","agreement/class marker",,TRUE,"Dep-driven agreement",151,,,TRUE,,
390,,TRUE,"inalienable","kin terms",,,1,"246",,,,,300,,,TRUE,,
69,,TRUE,"alienable","neutral",,"N_or_Pro",1,"318",,,,,63,,,FALSE,,
713,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",1038,"neutral","neutral",FALSE,,"Dependent-Head"
118,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,,FALSE,"Juxtaposition",707,,,FALSE,,"Dependent-Head"
700,,FALSE,"neutral","neutral","construct","Adj",1,"1558","construct markers","ungrammatical",TRUE,"Anti-construct state",667,,,FALSE,,"Dependent-Head"
305,,TRUE,"inalienable","kin terms",,"Pro",1,"","agreement/class marker",,TRUE,"Dep-driven agreement",535,,,TRUE,,
1428,,,,,,"N",0,"1572","government","OK",TRUE,"Governed",728,"pragmatic","specific",,,"Dependent-Head"
114,,FALSE,"neutral","neutral",,"N_or_Pro",1,"124","government",,TRUE,"Governed",112,"neutral","neutral",FALSE,,"Dependent-Head"
705,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",1030,,,FALSE,,"Dependent-Head"
395,,TRUE,"inalienable","kin terms",,"N_or_Pro",1,"201,202",,,,,309,,,TRUE,,
1428,,,,"neutral","construct","Adj,N",1,"","construct markers","OK",TRUE,"Anti-construct state",727,"pragmatic","non-specific",FALSE,,"Dependent-Head"
701,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"ungrammatical",FALSE,"Juxtaposition",1034,,,FALSE,,"Dependent-Head"
649,,TRUE,"inalienable","body parts,kin terms","juxtaposition",,2,"",,,FALSE,"Juxtaposition",523,,,TRUE,,"Dependent-Head"
48,,FALSE,"neutral","neutral",,"N_or_Pro",1,"530","agreement/class marker",,TRUE,"Dep-driven agreement",367,"neutral","neutral",FALSE,,"Head-Dependent"
59,,FALSE,"neutral","neutral",,"N_or_Pro",1,"589","agreement/class marker",,TRUE,"Dep-driven agreement",395,"neutral","neutral",FALSE,,"Head-Dependent"
2534,,FALSE,"neutral","neutral","juxtaposition","Adj,DEM,Num,PTCP",1,"",,"OK",FALSE,"Juxtaposition",710,,,FALSE,,"Dependent-Head"
2534,,FALSE,"neutral","neutral",,"N_or_Pro",1,"1565","agreement/class marker",,TRUE,"Dep-driven agreement",712,"pragmatic","non-specific",FALSE,,"Dependent-Head"
43,,TRUE,"inalienable","body parts,kin terms","juxtaposition","N",2,"",,,FALSE,"Juxtaposition",455,,,TRUE,"Apparently some others (see Comments).","Dependent-Head"
159,,TRUE,"alienable","neutral","construct","N",1,"304","construct markers",,TRUE,"Construct state",162,,,FALSE,,"Head-Dependent"
421,,FALSE,"neutral","neutral",,"Pro",1,"439","government",,TRUE,"Governed",337,,,FALSE,,"Head-Dependent"
387,,FALSE,"neutral","neutral",,"N_or_Pro",1,"359,360",,,,,299,,,FALSE,,"Dependent-Head"
504,,FALSE,"neutral","neutral","juxtaposition","Adj,V",1,"",,,FALSE,"Juxtaposition",372,"neutral","neutral",FALSE,,"Dependent-Head"
48,,FALSE,"neutral","neutral","construct","N_or_Pro",1,"261","construct markers",,TRUE,"Linker",51,"neutral","neutral",FALSE,,"Free"
74,,FALSE,"neutral","neutral",,"N_or_Pro",1,"126","government",,TRUE,"Governed",70,"referentiality","low-indexability",FALSE,,"Head-Dependent"
364,,TRUE,"inalienable","body parts,kin terms",,,2,"","agreement/class marker",,TRUE,"Dep-driven agreement",1055,,,TRUE,,
463,,FALSE,"neutral","neutral",,"N_or_Pro",1,"595","government",,TRUE,"Governed",397,"neutral","neutral",FALSE,,"Dependent-Head"
398,,TRUE,"inalienable","body parts,kin terms",,,2,"","agreement/class marker",,TRUE,"Dep-driven agreement",561,,,TRUE,,
501,,FALSE,"neutral","neutral","construct","DEM,Num,Nv",1,"494","construct markers",,TRUE,"Anti-construct state",195,"neutral","neutral",FALSE,,"Free"
583,,FALSE,"neutral","neutral",,"N_or_Pro",1,"740","government",,TRUE,"Governed",495,"neutral","neutral",FALSE,,"Head-Dependent"
85,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"136",,,,,87,,,TRUE,,"Head-Dependent"
502,,FALSE,"neutral","neutral",,"N_or_Pro",1,"502,504","mixed",,TRUE,"Dep-driven agr. + Governed",348,"pragmatic","specific",FALSE,,"Possessor-Head-Poss.word"
180,,TRUE,"inalienable","body parts,kin terms",,,2,"634","agreement/class marker",,TRUE,"Dep-driven agreement",1051,,,TRUE,"some others",
2078,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",673,"neutral","neutral",FALSE,,"Dependent-Head"
133,,TRUE,"inalienable","body parts,kin terms",,,2,"",,,,,135,,,TRUE,,"Dependent-Head"
118,,FALSE,"neutral","neutral",,"N_or_Pro,Num",1,"352","government",,TRUE,"Governed",115,,,FALSE,,"Dependent-Head"
95,,TRUE,"inalienable","kin terms","construct",,1,"","construct markers",,TRUE,"Construct state",1048,,,TRUE,,"Dependent-Head"
404,,TRUE,"alienable","neutral",,"N_or_Pro",1,"259,338","mixed",,TRUE,"External-driven agr. + Governed",319,,,FALSE,,
212,,TRUE,"inalienable","kin terms",,,1,"180",,,,,222,,,TRUE,,
109,,TRUE,"inalienable","kin terms",,"N",1,"162",,,,,105,,,TRUE,,"Possessor-Head-Poss.word"
100,,TRUE,"inalienable","body parts,kin terms",,,2,"331,339",,,,,97,,,TRUE,,
319,,TRUE,"inalienable","kin terms",,,1,"243",,,,,229,,,TRUE,"‘country’, and a few others",
2016,,FALSE,"neutral","neutral",,"N_or_Pro",1,"1570","government",,TRUE,"Governed",720,"neutral","neutral",FALSE,,"Dependent-Head"
150,,TRUE,"inalienable","kin terms",,"N_or_Pro",1,"558","agreement/class marker",,TRUE,"Dep-driven agreement",382,,,TRUE,,"Dependent-Head"
165,,TRUE,"inalienable","kin terms",,"N_or_Pro",1,"307",,,,,166,,,TRUE,"'companion' and some social relations",
564,,TRUE,"inalienable","body parts,clothing terms,origin,parents/siblings,property,transportation means",,,6,"489","government",,TRUE,"Governed",246,"neutral","neutral",TRUE,"house, furniture (excluding the fridge)
aeroplanes, car, scooter, boat
feelings, mind","Head-Dependent"
576,,TRUE,"inalienable","kin terms",,,1,"490","agreement/class marker",,TRUE,"Dep-driven agreement",315,,,TRUE,,
408,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"",,,,,327,"referentiality","inanimate",TRUE,,
121,,TRUE,"inalienable","body parts,kin terms",,"N",2,"",,,,,118,,,TRUE,,
121,,TRUE,"inalienable","body parts,kin terms",,"Pro",2,"293",,,,,121,,,TRUE,,
670,,FALSE,"neutral","neutral",,"N_or_Pro",1,"","agreement/class marker",,TRUE,"Dep-driven agreement",714,"pragmatic","non-specific",FALSE,,"Dependent-Head"
146,,TRUE,"inalienable","body parts,kin terms",,,2,"","agreement/class marker",,TRUE,"Dep-driven agreement",1050,,,TRUE,,
38,,TRUE,"inalienable","kin terms",,,1,"158",,,,,45,,,TRUE,,
128,,TRUE,"inalienable","body parts,meronyms,subsets,tracks,volitional",,,5,"","agreement/class marker",,TRUE,"External-driven agreement",129,"neutral","neutral",TRUE,"language, names, voice, characteristic sounds
spirits","Free"
680,,FALSE,"neutral","neutral","juxtaposition","Adj,Num",1,"",,"OK",FALSE,"Juxtaposition",617,"neutral","neutral",FALSE,,"Dependent-Head"
318,,TRUE,"inalienable","kin terms",,"N_or_Pro",1,"",,,,,224,,,TRUE,,
365,,,,"kin terms",,,1,"","mixed",,TRUE,"Dep-driven agr. + Governed",477,,,TRUE,,
404,,TRUE,"inalienable","kin terms",,"N_or_Pro",1,"260",,,,,318,,,TRUE,,
61,,TRUE,"inalienable","body parts,kin terms",,"N",2,"650","agreement/class marker",,TRUE,"Dep-driven agreement",427,,,TRUE,,
635,,TRUE,"inalienable","body parts,kin terms",,"Pro",2,"","mixed",,TRUE,"Dep-driven agr. + Governed",810,,,TRUE,,"Dependent-Head"
707,,FALSE,"neutral","neutral","construct","Adj",1,"","construct markers","ungrammatical",TRUE,"Anti-construct state",680,,,FALSE,,"Dependent-Head"
75,,TRUE,"inalienable","kin terms,topological","juxtaposition","N_or_Pro",2,"",,,FALSE,"Juxtaposition",74,,,TRUE,,"Dependent-Head"
405,,TRUE,"inalienable","kin terms",,"N_or_Pro",1,"254",,,,,322,,,TRUE,,
112,,TRUE,"inalienable","body parts,kin terms,meronyms,tracks","construct","N_or_Pro",4,"163,462","mixed",,TRUE,"Construct state + Anti-construct state",111,"neutral","neutral",TRUE,"ghost, soul, spirit, devil",
706,,FALSE,"neutral","neutral","construct","Adj",1,"","construct markers","OK",TRUE,"Anti-construct state",679,,,FALSE,,"Dependent-Head"
126,,TRUE,"inalienable","body parts,meronyms",,"3sgPro",2,"167",,,,,126,,,TRUE,,
526,,TRUE,"inalienable","body parts,meronyms","juxtaposition",,2,"",,,FALSE,"Juxtaposition",429,,,TRUE,,"Dependent-Head"
318,,TRUE,"inalienable","kin terms,meronyms",,"N_or_Pro",2,"240",,,,,225,,,TRUE,,
173,,TRUE,"inalienable","body parts,meronyms",,,2,"224","agreement/class marker",,TRUE,"Dep-driven agreement",176,,,TRUE,,"Dependent-Head"
585,,TRUE,"inalienable","kin terms,meronyms",,"Pro",2,"",,,,,77,,,TRUE,,
170,,TRUE,"inalienable","body parts,kin terms,meronyms","juxtaposition","N_or_Pro",3,"",,,FALSE,"Juxtaposition",172,,,TRUE,"“etc.”",
324,,TRUE,"inalienable","body parts,meronyms",,"N_or_Pro",2,"321",,,,,233,,,TRUE,,
538,,TRUE,"inalienable","body parts,classifiers,topological","juxtaposition","N_or_Pro",3,"",,,FALSE,"Juxtaposition",555,,,TRUE,"others. no discussion.
Example mó ‘female’","Dependent-Head"
2534,,FALSE,"neutral","neutral",,"N",1,"1564,1565","mixed",,TRUE,"Dep-driven agr. + Governed",711,"pragmatic","specific",FALSE,,"Possessor-Head-Poss.word"
131,,TRUE,"inalienable","kin terms",,,1,"",,,,,133,,,TRUE,,
9,,FALSE,"neutral",,,,0,"",,,,,7,,,,,
125,,FALSE,"neutral","neutral",,,1,"703","agreement/class marker",,TRUE,"Dep-driven agreement",456,,,FALSE,,"Dependent-Head"
34,,FALSE,"neutral","neutral",,"N",1,"","mixed",,TRUE,"Head-driven agr. + Governed",38,,,FALSE,,
178,,TRUE,"alienable","neutral",,"N",1,"",,,,,184,,,FALSE,,"Dependent-Head"
384,,TRUE,"inalienable","kin terms,village group",,,2,"499,501","mixed",,TRUE,"Pronomin. agr. + Construct state",346,,,TRUE,,
369,,TRUE,"alienable","neutral",,"Pro",1,"193",,,,,287,,,FALSE,,
571,,TRUE,"inalienable","kin terms",,"N",1,"425,426","mixed",,TRUE,"Head-driven agr. + Governed",280,"neutral","neutral",TRUE,,"Head-Dependent"
383,,TRUE,"alienable","animals",,,1,"","construct markers",,TRUE,"Dep-driven agr. + Class/poss. noun",508,,,TRUE,,
50,,TRUE,"inalienable","default",,,1,"","agreement/class marker",,TRUE,"Dep-driven agreement",472,,,TRUE,,
201,,TRUE,"unmarked inalienable",,,"N_or_Pro",0,"357",,,,,209,,,,,
805,,,,"neutral","nominalization","Adj",1,"1614",,"OK",TRUE,"Attributive nominalizer",736,"pragmatic","specific",FALSE,,"Dependent-Head"
199,,TRUE,"inalienable","kin terms",,"N",1,"314","government",,TRUE,"Governed",369,"neutral","neutral",TRUE,,"Dependent-Head"
583,,FALSE,"neutral","neutral","construct","N_or_Pro",1,"739","construct markers",,TRUE,"Construct state",493,"neutral","neutral",FALSE,"Must be a common noun. Pronouns and names don’t have a construct state.","Head-Dependent"
26,,TRUE,"inalienable","kin terms",,"N_or_Pro",1,"553","agreement/class marker",,TRUE,"Dep-driven agreement",30,,,TRUE,,"Dependent-Head"
