"LID","VInflClassification.Position","VInflEvidential.Position","VInflInter_clausal.Position","VInflNP_related.Position","VInflNumber.Position","VInflOperators.Position","VInflPerson.Position","VInflPragmatic.Position","VInflRole.Position","VInflTAM.Position","VInflValence.Position"
423,,,,,,,,,,"post",
426,,"post",,,"post",,,,,"post","prae"
426,,,,,,,,,,"prae/post","post"
428,,,,,"post","prae",,,,"prae",
429,,,,,,"post",,,,"post","post"
429,,,,,,,,,,,"prae"
433,,,,,"post","post",,"post",,"post","post"
434,,,,,,"prae",,,,"post",
435,,,,,,,,,,"post","post"
456,,,,,,"prae",,,,"post","post"
456,,,,,,,,,,"prae",
458,,,,,"post","prae",,"prae",,"prae","prae"
458,,,,,,,,,,"post",
460,,,,,,,,,,"prae",
460,,,,,,,,,,"post",
461,,,,,"prae","prae",,,,"prae","prae"
461,,,,,"post",,,,,"post",
463,,,,,,"prae",,,,"post",
464,,,,,,,,,,"post (prae)","post"
468,,,,,,"prae (in)",,,,"post","post"
469,,,,,"post","post",,,,"post",
481,,,,,"post",,,"prae",,"post","post"
481,,,,,,,,,,,"prae"
491,,,,,,,,"prae",,"prae","prae"
495,,,,,,,,,,"prae","post"
498,,,,,"post","prae",,"prae",,"prae","prae"
498,,,,,,,,"post",,,
499,,,,,,,,"post",,"prae",
501,,,,,,"post",,,,"post",
511,,,,,,,,,,"post","post"
514,,,,,"post","post",,,,"post","post"
515,,,,,,"post",,,,"prae",
515,,,,,,,,,,"post",
526,,,,,"post","post",,"post",,"post",
527,,,,,"post",,,,,"post","post"
528,,,,,"post","post",,,,"post",
530,,,,,"in","post","post",,,"post",
533,,,,,,"post",,,,"post",
540,,,,,,"simul (prae)",,,,"prae",
540,,,,,,,,,,"post",
545,,,,,,"prae",,"post",,"prae",
549,,,,,,"prae",,,,"prae","post"
549,,,,,,,,,,"post",
551,,,,,,,,,,"prae",
552,,,,,,"circum",,,,"post",
558,,,,,,"prae",,,,"post",
567,,"post",,,"post","post",,,,"post",
568,,,,,"post",,,,,"in",
568,,,,,"in",,,,,"post",
569,,,,,,,,,,"post",
571,,,,,,"prae",,,,"prae",
580,,,,,,,,"post",,"prae","post"
580,,,,,,,,,,"post",
581,,,,,,,,,,"prae","prae"
581,,,,,,,,,,"post","post"
582,,,,,,,,"post",,"post","post"
583,,,,,,,,,,"in","in"
608,,,,,,,,,,"post","post"
612,,,,,"post","post",,,,"post","post"
619,,,,,,,,,,"post","post"
619,,,,,,,,,,"prae",
620,,,,,,,,"post",,"prae","post"
620,,,,,,,,,,"post",
626,,,,,,"post",,,,"post",
628,,"post",,,,"post",,,,"post","post"
629,,,,,,"prae",,,,"post",
632,,,,,,,,,,"post",
633,,,,,,,,,,"post","post"
635,,,,,"in",,,,,"post","post"
641,,,,,,"post",,,,"post","post"
642,,,,,,"circum",,,,"prae","prae"
642,,,,,,,,,,"in",
643,,,,,"post","simul",,,,"post",
646,,,,,"in","post",,,,"post",
648,,,,,,"post",,,,"post",
654,,,,"post",,,,,,"prae",
655,,,,,"prae",,,"prae",,"prae","prae"
655,,,,,,,,,,"post","post"
656,,,"post",,,"simul",,,,"in",
656,,,,,,,,,,"post",
658,,,,,,,,,,"prae","prae"
658,,,,,,,,,,"post",
662,,,,,,,,,,"post","post"
663,,"post",,,,"prae",,"post",,"prae","prae"
663,,,,,,,,,,"post",
664,,,,,,"prae",,,,"prae",
664,,,,,,,,,,"post",
667,,,,"post",,"prae",,,,"post",
668,,,,,,,,,,"prae",
668,,,,,,,,,,"prae/post",
668,,,,,,,,,,"post",
669,,,,,,,,,,"post",
672,,,,,,"prae",,,,"post",
674,,,,,,"post/prae (simul)",,,,"post",
675,,"post",,,,"prae",,"prae",,"prae","prae"
675,,,,,,,,,,"post",
677,,,,,,,,,,"post","post"
678,,,,,,"prae/post",,,,"prae/post",
679,,,,,,,,,,"post","post"
680,,,,,,,,"post",,"post","post"
681,,,,,,,,"post",,"post","post"
683,,,,,,,,,,"prae/post","prae/post"
685,,,,,"prae",,,,,"post","prae"
685,,,,,"post",,,,,,
686,,,,,"post",,,,,"post",
687,,,,,,,,,,"post","post"
688,,,,,"prae",,,,,"post","prae"
688,,,,,"in",,,,,"prae","post"
688,,,,,,,,,,"in/post",
689,,"post",,,"in/post",,,,,"post","post"
690,,,,,,"prae",,,,,"post"
691,,,,,,"prae",,"in (post)",,"post",
692,,,,,"prae",,,"post",,"prae",
692,,,,,,,,,,"post",
693,"post",,,,,,,,,"post",
699,,,,,,,,,,"prae/post",
700,,,,,,"prae",,,,"post","post"
701,,,,,,,,,,"post","post"
