"LID","LocusA.binned6","Locus.A.default.binned6","Locus.A.default.if.N.binned6","Locus.A.default.if.N_or_Pro.binned6","Locus.A.default.elsewhere.binned6","Locus.A.default.if.Pro.binned6","Locus.A.default.if.SAP.binned6","Locus.A.exp.binned6","Locus.A.poss.binned6","Locus.Act.binned6","Locus.ATTR.default.binned6","Locus.ATTR.default.elsewhere.binned6","Locus.B.ben.binned6","Locus.B.default.binned6","Locus.B.default.elsewhere.binned6","Locus.B.default.if.Pro.binned6","Locus.B.rec.binned6","Locus.G.default.binned6","Locus.I.default.binned6","LocusP.binned6","Locus.Pat.binned6","LocusPOSS.binned6","Locus.POSS.default.binned6","Locus.POSS.default.if.1PERS.binned6","Locus.POSS.default.if.N.binned6","Locus.POSS.default.if.N.alien.binned6","Locus.POSS.default.if.N.inal.binned6","Locus.POSS.default.if.N.kin.binned6","Locus.POSS.default.if.N_or_Pro.binned6","Locus.POSS.default.elsewhere.binned6","Locus.POSS.default.if.Pro.binned6","LocusS.binned6","Locus.S.default.binned6","Locus.S.default.if.N_or_Pro.binned6","Locus.S.default.elsewhere.binned6","Locus.S.default.if.Pro.binned6","Locus.S.default.if.SAP.binned6","Locus.T.def.binned6","Locus.T.default.binned6","Locus.T.default.elsewhere.binned6","Locus.T.emp.binned6","Locus.U.def.binned6","Locus.U.default.binned6","Locus.U.default.if.1PERS.binned6","Locus.U.default.if.N.binned6","Locus.U.default.elsewhere.binned6","Locus.U.default.if.Pro.binned6","Locus.U.default.if.SAP.binned6","Locus.U.emp.binned6","Locus.U.ref.binned6","Locus.U.stim.binned6","LocusAandP.dm.Presence","LocusAandP.hm.Presence","LocusA.dm.Presence","LocusA.hm.Presence","LocusAorP.dm.Presence","LocusAorP.hm.Presence","LocusARG.dm.Presence","LocusP.dm.Presence","LocusP.hm.Presence","LocusPOSS.dm.Presence","LocusPOSS.hm.Presence","LocusSandA.dm.Presence","LocusSandA.hm.Presence","LocusS.dm.Presence","LocusS.hm.Presence","LocusA","Locus.A.default","Locus.A.default.if.N","Locus.A.default.if.N_or_Pro","Locus.A.default.elsewhere","Locus.A.default.if.Pro","Locus.A.default.if.SAP","Locus.A.exp","Locus.A.poss","Locus.Act","LocusARG.hm.Presence","Locus.ATTR.default","Locus.ATTR.default.elsewhere","Locus.B.ben","Locus.B.default","Locus.B.default.elsewhere","Locus.B.default.if.Pro","Locus.B.rec","Locus.G.default","Locus.I.default","LocusP","Locus.Pat","LocusPOSS","Locus.POSS.default","Locus.POSS.default.if.1PERS","Locus.POSS.default.if.N.alien","Locus.POSS.default.if.N.inal","Locus.POSS.default.if.N.kin","Locus.POSS.default.if.N","Locus.POSS.default.if.N_or_Pro","Locus.POSS.default.elsewhere","Locus.POSS.default.if.Pro","LocusS","Locus.S.default","Locus.S.default.if.N_or_Pro","Locus.S.default.elsewhere","Locus.S.default.if.Pro","Locus.S.default.if.SAP","Locus.T.def","Locus.T.default","Locus.T.default.elsewhere","Locus.T.emp","Locus.U.def","Locus.U.default","Locus.U.default.if.1PERS","Locus.U.default.if.N","Locus.U.default.elsewhere","Locus.U.default.if.Pro","Locus.U.default.if.SAP","Locus.U.emp","Locus.U.ref","Locus.U.stim","LocusA.binned5","Locus.A.default.binned5","Locus.A.default.if.N.binned5","Locus.A.default.if.N_or_Pro.binned5","Locus.A.default.elsewhere.binned5","Locus.A.default.if.Pro.binned5","Locus.A.default.if.SAP.binned5","Locus.A.exp.binned5","Locus.A.poss.binned5","Locus.Act.binned5","Locus.ATTR.default.binned5","Locus.ATTR.default.elsewhere.binned5","Locus.B.ben.binned5","Locus.B.default.binned5","Locus.B.default.elsewhere.binned5","Locus.B.default.if.Pro.binned5","Locus.B.rec.binned5","Locus.G.default.binned5","Locus.I.default.binned5","LocusP.binned5","Locus.Pat.binned5","LocusPOSS.binned5","Locus.POSS.default.binned5","Locus.POSS.default.if.1PERS.binned5","Locus.POSS.default.if.N.binned5","Locus.POSS.default.if.N.alien.binned5","Locus.POSS.default.if.N.inal.binned5","Locus.POSS.default.if.N.kin.binned5","Locus.POSS.default.if.N_or_Pro.binned5","Locus.POSS.default.elsewhere.binned5","Locus.POSS.default.if.Pro.binned5","LocusS.binned5","Locus.S.default.binned5","Locus.S.default.if.N_or_Pro.binned5","Locus.S.default.elsewhere.binned5","Locus.S.default.if.Pro.binned5","Locus.S.default.if.SAP.binned5","Locus.T.def.binned5","Locus.T.default.binned5","Locus.T.default.elsewhere.binned5","Locus.T.emp.binned5","Locus.U.def.binned5","Locus.U.default.binned5","Locus.U.default.if.1PERS.binned5","Locus.U.default.if.N.binned5","Locus.U.default.elsewhere.binned5","Locus.U.default.if.Pro.binned5","Locus.U.default.if.SAP.binned5","Locus.U.emp.binned5","Locus.U.ref.binned5","Locus.U.stim.binned5"
59,"H","H",,,,,,,,,,,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,,,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,,,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
61,"H","H",,,,,,,,,,,,"H",,,,,,"H",,"H","H",,,,,,,"Ø",,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,,,,"H",,,,,,"H",,"H","H",,,,,,,"Ø",,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,,,,"H",,,,,,"H",,"H","H",,,,,,,"Ø",,"H","H",,,,,,,,,,"H",,,,,,,,
63,"2","2",,,,,,,,,"Ø",,,,,,,,,"2",,"H","H",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"Ø",,,,,,,,,"H+D",,"H","H",,,,,,,,,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,"Ø",,,,,,,,,"2",,"H","H",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,
64,"D","D",,,,,,,,,"Ø","D",,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"D","D",,,,,,,,,FALSE,"Ø","D",,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,,"D","D",,,,,,,,,"Ø","D",,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,
65,"2","2",,,,,,,,,,,,,,,,,,"D",,"2","2",,,,,,,"D",,"2","2",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,,,,,,,"D",,"H+D","H+D",,,,,,,"D",,"H+D","H+D",,,,,,,,,,"D",,,,,,,,,"2","2",,,,,,,,,,,,,,,,,,"D",,"2","2",,,,,,,"D",,"2","2",,,,,,,,,,"D",,,,,,,,
66,"D","D",,,,,,,,,"D",,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"D","D",,,,,,,,,FALSE,"D",,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,,"D","D",,,,,,,,,"D",,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,
68,"2","2",,,,,,,,,"D",,,"D",,,,,,"2",,"2","2",,,,,,,"D",,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"D",,,"D",,,,,,"H+D",,"H+D","H+D",,,,,,,"DD",,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,"D",,,"D",,,,,,"2",,"2","2",,,,,,,"D",,"2","2",,,,,,,,,,"2",,,,,,,,
69,"2","2",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,,,,"H",,"2","2",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,"D",,,,,,"D",,"D","D",,,,,,,"H",,"H+D","H+D",,,,,,,,,,"D",,,,,,,,,"2","2",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,,,,"H",,"2","2",,,,,,,,,,"D",,,,,,,,
71,"D","D",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,"Ø",,,,,"D","D",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"D","D",,,,,,,,,FALSE,,,,"D",,,,,,"D",,"D","D",,,"Ø",,,,,,"D","D",,,,,,,,,,"D",,,,,,,,,"D","D",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,"Ø",,,,,"D","D",,,,,,,,,,"D",,,,,,,,
72,"D","D",,,,,,,,,"Ø",,,,,,,,,"D",,"D","D",,,,,,,"H",,"2","2",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"D","D",,,,,,,,,TRUE,"Ø",,,,,,,,,"D",,"D","D",,,,,,,"H",,"h+D","h+D",,,,,,,,,,"D",,,,,,,,,"D","D",,,,,,,,,"Ø",,,,,,,,,"D",,"D","D",,,,,,,"H",,"D","D",,,,,,,,,,"D",,,,,,,,
74,"2","2",,,,,,,,,,,,"D",,,,"D",,"D",,"D","D",,,,,,,,,"2","2",,,,,,"D",,,,"D",,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+d","H+d",,,,,,,,,TRUE,,,,"D",,,,"D",,"d",,"D","D",,,,,,,,,"H+d","H+d",,,,,,"d",,,,"d",,,,,,,,,"H","H",,,,,,,,,,,,"D",,,,"D",,"D",,"D","D",,,,,,,,,"H","H",,,,,,"D",,,,"D",,,,,,,,
75,"Ø","Ø",,,"H",,,,,,"Ø",,,"Ø","H",,,,,"Ø",,"D","D",,,"D",,,,"H",,"Ø","Ø",,"H",,,,,,,,"Ø",,,"H",,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ø","Ø",,,"H",,,,,,FALSE,"Ø",,,"Ø","H",,,,,"Ø",,"D","D",,"d",,,,,"h",,"Ø","Ø",,"H",,,,,,,,"Ø",,,"H",,,,,,"Ø","Ø",,,"H",,,,,,"Ø",,,"Ø","H",,,,,"Ø",,"D","D",,,"D",,,,"H",,"Ø","Ø",,"H",,,,,,,,"Ø",,,"H",,,,,
77,"H","H",,,,,,,,,"Ø",,,,,,,,,"H",,"H","H",,,,,,,"D on H",,"H","H",,,,,,,,,,"H",,,"D on H",,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"Ø",,,,,,,,,"H",,"H","H",,,,,,,"d on h",,"H","H",,,,,,,,,,"H",,,"d on h",,,,,,"H","H",,,,,,,,,"Ø",,,,,,,,,"H",,"H","H",,,,,,,"FloatingorClitic",,"H","H",,,,,,,,,,"H",,,"FloatingorClitic",,,,,
78,"2","2",,,,,,,,,"D",,,,,,,,,"D",,"2","2",,,,,,,,,"2","2",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"D",,,,,,,,,"D",,"h+D","h+D",,,,,,,,,"H+D","H+D",,,,,,,,,,"D",,,,,,,,,"2","2",,,,,,,,,"D",,,,,,,,,"D",,"D","D",,,,,,,,,"2","2",,,,,,,,,,"D",,,,,,,,
79,"H","H",,,,,,,,,"D",,,,,,,,,"D on H",,"D","D",,,,,,,,,"H","H",,,,,,,,,,"D on H",,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"d",,,,,,,,,"d on h",,"D","D",,,,,,,,,"H","H",,,,,,,,,,"d on h",,,,,,,,,"H","H",,,,,,,,,"D",,,,,,,,,"FloatingorClitic",,"D","D",,,,,,,,,"H","H",,,,,,,,,,"FloatingorClitic",,,,,,,,
80,"Ø","Ø",,,"H",,,,,,,,,,"H",,,,,"Ø",,"Ø","Ø",,,,,"H",,,"D","Ø","Ø",,"H",,,,,,,,"Ø",,,"H",,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ø","Ø",,,"H",,,,,,FALSE,,,,,"H",,,,,"Ø",,"Ø","Ø",,,,"H",,,,"D","Ø","Ø",,"H",,,,,,,,"Ø",,,"H",,,,,,"Ø","Ø",,,"H",,,,,,,,,,"H",,,,,"Ø",,"Ø","Ø",,,,,"H",,,"D","Ø","Ø",,"H",,,,,,,,"Ø",,,"H",,,,,
81,"2","2",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,,,,,,"2","2",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,"D",,,,,,"D",,"D","D",,,,,,,,,"H+D","H+D",,,,,,,,,,"D",,,,,,,,,"2","2",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,,,,,,"2","2",,,,,,,,,,"D",,,,,,,,
84,"D","D",,,,,,,,,"D",,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"D","D",,,,,,,,,FALSE,"D",,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,,"D","D",,,,,,,,,"D",,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,
86,"2","2",,,,,,,,,"D",,,"2",,,,,,"2",,"D","D",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"D",,,"H+D",,,,,,"H+D",,"D","D",,,,,,,,,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,"D",,,"2",,,,,,"2",,"D","D",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,
87,"2","2",,,,,,"D",,,"D",,,"D",,,,,,"D",,"D","D",,,,,,,,,"2","2",,,,,,,,,,"D",,,,,,,,"2",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,"D",,,TRUE,"D",,,"D",,,,,,"D",,"Dd","Dd",,,,,,,,,"H+D","H+D",,,,,,,,,,"D",,,,,,,,"H+D","2","2",,,,,,"D",,,"D",,,"D",,,,,,"D",,"D","D",,,,,,,,,"2","2",,,,,,,,,,"D",,,,,,,,"2"
89,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"Ø",,,"D",,,,,,"H",,"h","h",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
91,"H","H",,,,,,,,,,,,"D",,,,,,"D",,"Ø","Ø",,,,,,,,"H","H","H",,,,,,,,,,"D",,,,,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,,,,"D",,,,,,"D",,"Ø","Ø",,,,,,,,"H","H","H",,,,,,,,,,"D",,,,,,,,,"H","H",,,,,,,,,,,,"D",,,,,,"D",,"Ø","Ø",,,,,,,,"H","H","H",,,,,,,,,,"D",,,,,,,,
92,"H","H",,,,,,,,,,,,,,,,,,"Ø",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"Ø",,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,,,,,,,,,,"Ø",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"Ø",,,,,,,,,"H","H",,,,,,,,,,,,,,,,,,"Ø",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"Ø",,,,,,,,
93,"H","H",,,,,,,,,"D",,,"D",,,,,,"H",,"D","D",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"D",,,"D",,,,,,"H",,"D","D",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,"D",,,"D",,,,,,"H",,"D","D",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
95,"Ø","Ø",,,,"D",,,,,,,,"D",,,,,,"Ø",,"H","H",,,,,,,,,"Ø","Ø",,,"D",,,,,,,"Ø",,,,"D",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Ø","Ø",,,,"D",,,,,FALSE,,,,"D",,,,,,"Ø",,"H","H",,,,,,,,,"Ø","Ø",,,"D",,,,,,,"Ø",,,,"D",,,,,"Ø","Ø",,,,"D",,,,,,,,"D",,,,,,"Ø",,"H","H",,,,,,,,,"Ø","Ø",,,"D",,,,,,,"Ø",,,,"D",,,,
98,"H","H",,,,,,,,,"D",,,"2",,,,,,"2",,"D","D",,,,,,,"D on H",,"H","H",,,,,,"Ø",,,,"2",,,"D on H",,,,,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"DD",,,"H+D",,,,,,"H+d",,"DD","DD",,,,,,,"H+d on h",,"H","H",,,,,,"Ø",,,,"H+d",,,"H+d on h",,,,,,"H","H",,,,,,,,,"D",,,"2",,,,,,"H",,"D","D",,,,,,,"FloatingorClitic",,"H","H",,,,,,"Ø",,,,"H",,,"FloatingorClitic",,,,,
99,"2","2",,,,,,"D",,,"D",,,"D",,,,"D",,"2",,"D","D",,,,,,,,,"2","2",,,,,"D","2",,,"D","2",,,,,,,,"2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"h+D","h+D",,,,,,"D",,,TRUE,"d",,,"D",,,,"D",,"h+D",,"DD","DD",,,,,,,,,"H+D","H+D",,,,,"D","h+D",,,"D","h+D",,,,,,,,"h+D","D","D",,,,,,"D",,,"D",,,"D",,,,"D",,"D",,"D","D",,,,,,,,,"2","2",,,,,"D","D",,,"D","D",,,,,,,,"D"
101,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"Ø",,,"D",,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
103,"2","2",,,,,,,,,,,,,,,,,,"2",,"2","2",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,,,,,,,"H+D",,"H+D","H+D",,,,,,,,,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,,,,,,,,,,"2",,"2","2",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,
104,"2","2",,,,,,,,,,,,,,,,,,"2",,"2","2",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,,,,,,,"H+D",,"H+D","H+D",,,,,,,,,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,,,,,,,,,,"2",,"2","2",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,
106,"H","H",,,,,,,,,"Ø",,,,"D",,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,"2",,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"Ø",,,,"D",,,,,"h",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"h",,,"h+D",,,,,,"H","H",,,,,,,,,"Ø",,,,"D",,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,"D",,,,,
107,"2","2",,,,,,,,,,,,,,,,,,"2",,"H","H",,,,,,,"2",,"2","2",,,,,,,,,,"2",,,"D",,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,,,,,,,"h+D",,"H","H",,,,,,,"H+D",,"H+D","H+D",,,,,,,,,,"h+D",,,"D",,,,,,"2","2",,,,,,,,,,,,,,,,,,"D",,"H","H",,,,,,,"2",,"2","2",,,,,,,,,,"D",,,"D",,,,,
109,"Ø","Ø",,,,,,,,,,,,,,,,,,"Ø",,"H","H",,,,,,,,"D","Ø","Ø",,,,,,,,,,"Ø",,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Ø","Ø",,,,,,,,,FALSE,,,,,,,,,,"Ø",,"H","H",,,,,,,,"D","Ø","Ø",,,,,,,,,,"Ø",,,,,,,,,"Ø","Ø",,,,,,,,,,,,,,,,,,"Ø",,"H","H",,,,,,,,"D","Ø","Ø",,,,,,,,,,"Ø",,,,,,,,
110,"2","2",,,,,,"D",,,,,,"D",,,,,,"D",,"D","D",,,,"D",,,,,"2","2",,,,,,"D",,,,"D",,,,,,,,"2",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,"D",,,TRUE,,,,"D",,,,,,"D",,"D","D",,,"D",,,,,,"H+D","H+D",,,,,,"D",,,,"D",,,,,,,,"H+D","2","2",,,,,,"D",,,,,,"D",,,,,,"D",,"D","D",,,,"D",,,,,"2","2",,,,,,"D",,,,"D",,,,,,,,"2"
111,"2","2",,,,,,,,,,,,,,,,,,"D",,"D","D",,,,,,,"2",,"2","2",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,,,,,,,"D",,"D","D",,,,,,,"F+D",,"H+D","H+D",,,,,,,,,,"D",,,,,,,,,"2","2",,,,,,,,,,,,,,,,,,"D",,"D","D",,,,,,,"2",,"2","2",,,,,,,,,,"D",,,,,,,,
112,"H","H",,,,,,,,,"D",,,,,,,,,"2",,"2","2",,,,,,,,,"H","H",,,,,,,,,,"2",,,,,,,,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"d",,,,,,,,,"H+d",,"h+D","h+D",,,,,,,,,"H","H",,,,,,,,,,"H+d",,,,,,,,,"H","H",,,,,,,,,"D",,,,,,,,,"H",,"D","D",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
113,"H","H",,,,,,,,,,,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,,,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,,,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
114,"D","D",,,,,,"D","2",,,,,,,,,,,"2",,,,,,,,,,,,"2","2",,"D",,,,,,,,"2",,,"D",,,,,"D",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,TRUE,"D","D",,,,,,"D","h+D",,TRUE,,,,,,,,,,"h+D",,,,,,,,,,,,"h+D","h+D",,"D",,,,,,,,"h+D",,,"D",,,,,"D","D","D",,,,,,"D","D",,,,,,,,,,,"D",,,,,,,,,,,,"D","D",,"D",,,,,,,,"D",,,"D",,,,,"D"
