"LID","LocusMicrorelations.binned6","LocusMicrorelationDefaultStatus","LocusMicrorelations","LocusMicrorelationsRelation.binned5","LocusMicrorelationCategoryCondition","LocusMicrorelations.binned5","LocusMicrorelationsRelation"
414,"Ø","conditioned","Ø","POSS","1PERS","Ø","POSS-default"
414,"Ø","conditioned","Ø","P","#ANY#","Ø","B-default"
414,"H","default","H","A","#ANY#","H","A-default"
414,"Ø","conditioned","Ø","A","#ANY#","Ø","A-default"
414,"F","default","f","P","#ANY#","FloatingorClitic","B-default"
414,"H","default","H","POSS","#ANY#","H","POSS-default"
414,"H","default","H","S","#ANY#","H","S-default"
414,"Ø","conditioned","Ø","S","#ANY#","Ø","S-default"
414,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
414,"Ø","conditioned","Ø","P","#ANY#","Ø","U-default"
414,"F","default","f","P","#ANY#","FloatingorClitic","U-default"
415,"H","default","H","A","#ANY#","H","A-default"
415,"Ø","conditioned","Ø","POSS","#ANY#","Ø","POSS-default"
415,"H","default","H","POSS","#ANY#","H","POSS-default"
415,"H","default","H","S","#ANY#","H","S-default"
415,"H","default","H","P","#ANY#","H","U-default"
416,"F","conditioned","F","A","#ANY#","FloatingorClitic","A-default"
416,"D","default","D","A","#ANY#","D","A-default"
416,"D","default","D","P","#ANY#","D","B-default"
