"LID","LocusMicrorelations.binned6","LocusMicrorelationDefaultStatus","LocusMicrorelations","LocusMicrorelationsRelation.binned5","LocusMicrorelationCategoryCondition","LocusMicrorelations.binned5","LocusMicrorelationsRelation"
325,"2","default","H+D","A","#ANY#","2","A-default"
325,"D","default","D","POSS","#ANY#","D","POSS-default"
325,"2","default","H+D","P","#ANY#","2","B-default"
325,"2","default","H+D","S","#ANY#","2","S-default"
325,"D on H","conditioned","d on h","POSS","#ANY#","FloatingorClitic","POSS-default"
325,"2","default","H+D","P","#ANY#","2","U-default"
326,"2","default","H+D","A","#ANY#","2","A-default"
326,"H","default","H","POSS","#ANY#","H","POSS-default"
326,"2","default","H+D","S","#ANY#","2","S-default"
326,"D","default","D","P","#ANY#","D","U-default"
327,"2","default","H+D","A","#ANY#","2","A-default"
327,"2","default","H+D","P","#ANY#","2","B-default"
327,"2","default","H+D","S","#ANY#","2","S-default"
327,"2","default","h+D","POSS","#ANY#","D","POSS-default"
327,"2","default","H+D","P","#ANY#","2","U-default"
327,,"default",,"ATTR","#ANY#",,"ATTR-default"
329,"H","default","H","POSS","N","H","POSS-default"
329,"2","default","H+D","A","N","2","A-default"
329,"2","default","H+D","S","N","2","S-default"
329,"2","default","H+D","P","N","2","U-default"
329,"D","conditioned","D","P","Pro","D","U-default"
329,"H","conditioned","H","A","Pro","H","A-default"
329,"H","conditioned","H","POSS","Pro","H","POSS-default"
329,"H","conditioned","H","S","Pro","H","S-default"
329,"D","default","D","P","#ANY#","D","B-default"
331,"H","default","H","A","#ANY#","H","A-default"
331,"H","default","H","P","#ANY#","H","B-default"
331,"H","default","H","POSS","#ANY#","H","POSS-default"
331,"H","default","H","S","#ANY#","H","S-default"
331,"H","default","H","P","#ANY#","H","U-default"
331,"H","default","H","P","#ANY#","H","T-default"
332,"H","default","H","A","#ANY#","H","A-default"
332,"Ø","default","Ø","P","#ANY#","Ø","B-default"
332,"H","conditioned","H","P","#ANY#","H","B-default"
332,"H","default","H","POSS","#ANY#","H","POSS-default"
332,"H","default","H","S","#ANY#","H","S-default"
332,"H","default","H","P","#ANY#","H","U-default"
333,"H","conditioned","H","POSS","N","H","POSS-default"
333,"Ø","default","Ø","POSS","Pro","Ø","POSS-default"
333,"Ø","default","Ø","A","#ANY#","Ø","A-default"
333,"Ø","default","Ø","S","#ANY#","Ø","S-default"
333,"Ø","default","Ø","P","#ANY#","Ø","U-default"
333,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
337,"H","default","H","A","#ANY#","H","A-default"
337,"H","default","H","S","#ANY#","H","S-default"
337,"H","default","H","P","#ANY#","H","U-default"
338,"2","default","H+D","A","#ANY#","2","A-default"
338,"H","default","H","POSS","#ANY#","H","POSS-default"
338,"2","default","H+D","S","#ANY#","2","S-default"
338,"2","default","H+D","P","#ANY#","2","U-default"
340,"2","default","H+D","A","#ANY#","2","A-default"
340,"D","default","D","A","#ANY#","D","A-exp"
340,"D","default","D","A","#ANY#","D","A-poss"
340,"D","default","D","P","#ANY#","D","B-default"
340,"2","default","H+D","S","#ANY#","2","S-default"
340,"D","default","D","P","#ANY#","D","U-default"
340,"D","default","D","P","#ANY#","D","T-default"
340,"2","default","H+D","P","#ANY#","2","U-stim"
343,"H","default","H","A","#ANY#","H","A-default"
343,"H","default","H","POSS","#ANY#","H","POSS-default"
343,"D","default","D","P","#ANY#","D","B-default"
