"LID","VInflAktionsart.Position.binned4","VInflApplicative.Position.binned4","VInflAspect.Position.binned4","VInflCausative.Position.binned4","VInflClassifier.Position.binned4","VInflConnective.Position.binned4","VInflConstruct.Position.binned4","VInflControl.Position.binned4","VInflDeixis.Position.binned4","VInflVoice.Position.binned4","VInflFocus.Position.binned4","VInflPosterior.Position.binned4","VInflGender.Position.binned4","VInflIllocution.Position.binned4","VInflMA.Position.binned4","VInflMN.Position.binned4","VInflModality.Position.binned4","VInflMood.Position.binned4","VInflMotion.Position.binned4","VInflMSE.Position.binned4","VInflNominalizer.Position.binned4","VInflNumber.Position.binned4","VInflPerson.Position.binned4","VInflPolarity.Position.binned4","VInflPotentialis.Position.binned4","VInflQuantificational.Position.binned4","VInflReflexive_and_Reciprocal.Position.binned4","VInflRECIP.Position.binned4","VInflReferential.Position.binned4","VInflReflexive.Position.binned4","VInflRepetition.Position.binned4","VInflReversative.Position.binned4","VInflSemistem.Position.binned4","VInflSpatial.Position.binned4","VInflStatus.Position.binned4","VInflSwitch_reference.Position.binned4","VInflTense_and_Evidential.Position.binned4","VInflTA.Position.binned4","VInflTAM.Position.binned4","VInflTense.Position.binned4","VInflTM.Position.binned4","VInflValence.Position.binned4","VInflVersion.Position.binned4"
119,,,"post","post",,,,,,,,,,,,,,,"post",,,,,"post",,"post",,,,,,,,,,,,,,"post",,,
123,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,"prae",,,,,,,,,,,,"prae",,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
125,"post",,,,,,,,,,,,,,,,,,,,,"post",,,,"post",,,,,"in/simul",,,,,,,,,"post",,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"split",,,,,
134,"post",,"post",,,,,,,,,,,,,,,,,,,"prae",,,,"prae",,,,,,,,,"prae",,,,,,,,
136,,,"post",,,,,,,,,,,,,,,"post",,,,,,"post",,,,,,,,,,,,"post",,,,"post",,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
145,,,"in/simul",,,,,,"prae",,,,"prae",,,,,,,,,,"post",,,,,,,,,,,,,,,,,"post",,,
147,,,,,,,,,,"prae",,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,"post",,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,"in/simul",,,,,,,,,"post",,,,,"post",,,
155,"in/simul",,,,,,,,,,,,,,,,,,,,,,,"split",,,,,,,,,,,,,,,,"post",,,
168,,,"post",,,,,,,,,,,,,,,"post",,,,,,"post",,,"post",,,,,,,,,,,,,"post",,,
176,,,,,,,,,,"post",,,,,,,,,,,"post",,,"post",,"post",,,,,,,,,,,,,"post",,,,
177,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,"prae",,,,
178,,"post",,,,,,,,,,,,,,,,,,,,"post",,,,"split",,,,,,,,,"prae",,,,,,"post",,
178,,"prae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,"post",,,,
180,,"post","post","post",,,,,,"post",,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,"post",,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,"post","prae",,,
188,,,,"post",,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
191,,,,,,,,,,,,,,,,,,,,,,"post",,"post",,,,,,"post",,,,,,,,,"post",,,,
192,,"post",,"post",,,,,,"split",,,,,,,"post","post",,,,,,,,"split",,,,,,,,,"in/simul",,,,,,,,
193,,,"post",,,,,,,,,,,,,,"post",,"post",,,,,"post",,,"post",,,,"post",,,,,"post",,"post",,,,,
196,,"post",,,,,,,,,,,,,,,,,,,,"post",,,,,"post",,,,,,,,,,,"post","prae",,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,,
199,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,"post",,,,,,,,,,"post",,,,,,,,,,,"post",,,,,,"post",,,,,,,,,,"post",,,
201,"post",,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,"post",,,
202,,,"prae",,,"post",,,,,,,,,,,,,,,,"split",,"post",,,,,,,,,,,,,,,,,"prae",,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,
206,,,"post",,,,,,,"post",,,,,,,,,,,,,,"split",,,,,,,,,,,,,,,"post",,,,
208,,,"post","prae",,,,,,,,,,,,,,"post",,,,"post",,,,"prae",,"prae",,"prae",,,,,,,,,,"post",,,
