LID,Glottocode,Language,ISO639_3,LanguageAlternativeNames,Stock,StockAlternativeName,MacroQuasiStock,QuasiStock,MajorBranch,SubBranch,SubSubBranch,LowestSubBranch,Genesis,Longitude,Latitude,LocalRegion,IsNearProtoHomeland,Modality,Subsistence,OriginContinent,Continent,Area,Macrocontinent
207,nara1262,Nera,nrb,"Nara, Nera",Nera,,Core Nilo-Saharan,Eastern Sudanic,,,,,,37.58,15.08,,TRUE,,,Africa,Africa,Greater Abyssinia,Africa
69,nubi1251,Nubian (Dongolese),dgl,"Nubian, Dongolese",Nubian,,Core Nilo-Saharan,Eastern Sudanic,,,,,,30.5,19,,TRUE,,,Africa,Africa,N Africa,Africa
159,lang1324,Lango,laj,Lango,Nilotic,,Core Nilo-Saharan,Eastern Sudanic,Western Nilotic,Lwo,Southern Lwo,,,33,2.17,,,,,Africa,Africa,S Africa,Africa
167,masa1300,Maa,mas,"Maa, Maasai",Nilotic,,Core Nilo-Saharan,Eastern Sudanic,Eastern Nilotic,Lotuko-Maa,,,,36,-3,,,,not hg,Africa,Africa,S Africa,Africa
299,nand1266,Nandi,niq,"Nandi, Naandi, Cemual",Nilotic,,Core Nilo-Saharan,Eastern Sudanic,Southern Nilotic,,,,,35,1,,TRUE,,,Africa,Africa,S Africa,Africa
91,gumu1244,Gumuz,guk,Gumuz,Gumuz,,Core Nilo-Saharan,Koman-Gumuz,,,,,,35.83,11.5,,TRUE,,,Africa,Africa,Greater Abyssinia,Africa
421,yoru1245,Yoruba,yor,Yoruba,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Yoruboid,,,,,4.33,8,,,,not hg,Africa,Africa,African Savannah,Africa
120,kaby1243,Kabyle,kab,Kabyle,Berber,,,Afroasiatic,,,,Berber,,5,36.5,,,,not hg,Africa,Africa,N Africa,Africa
98,haus1257,Hausa,hau,Hausa,Chadic,,,Afroasiatic,West Chadic,West - A (West Chadic),,Hausa group,,18,12,,TRUE,,not hg,Africa,Africa,African Savannah,Africa
121,dera1248,Kanakuru,kna,Kanakuru,Chadic,,,Afroasiatic,West Chadic,West - A (West Chadic),,Bole-Angas group,,12,10,,,,,Africa,Africa,African Savannah,Africa
373,tera1251,Tera,ttr,Tera,Chadic,,,Afroasiatic,Biu-Mandara (Central Chadic),,,,,11.83,11,,,,,Africa,Africa,African Savannah,Africa
294,egyp1246,Egyptian (Ancient),egy,Egyptian (Ancient),Egyptian,,,Afroasiatic,,,,,,31,30,,TRUE,,,Africa,Africa,N Africa,Africa
15,akka1240,Akkadian,akk,Akkadian,Semitic,,,Afroasiatic,East Semitic,Akkadian,,,,44.37,32.5,,,,,Africa,W and SW Eurasia,Greater Mesopotamia,Eurasia
23,stan1318,Arabic,arb,"Arabic, Modern Standard Arabic",Semitic,,,Afroasiatic,West Semitic,Central (West Semitic),South-Central Semitic,Arabic,,31,30,,,,,Africa,Africa,N Africa,Africa
21,amha1245,Amharic,amh,"Amharic, Ethiopic",Semitic,,,Afroasiatic,West Semitic,Southern (West Semitic),Ethiopean,,,38,10,,,,,Africa,Africa,Greater Abyssinia,Africa
65,dizi1235,Dizi,mdx,"Dizi, Dizi-Maji, Dizinog, Dizinya, Maji, Majinya, Sizi, Twoyu, Dizin",Omotic,,,Afroasiatic,,,,,,36.5,6.17,,TRUE,,,Africa,Africa,Greater Abyssinia,Africa
324,east2652,Oromo,hae,"Oromo, Harar, Qotu Oromo, Harer, Qottu, Quottu, Qwottu, Kwottu, Ittu",Cushitic,,,Afroasiatic,Eastern Cushitic,,,,,38,0,,,,,Africa,Africa,S Africa,Africa
34,beja1238,Beja,bej,Beja,Beja,,,Afroasiatic,,,,,,36,18,,TRUE,,,Africa,Africa,N Africa,Africa
360,sume1241,Sumerian,sux,Sumerian,Sumerian,,,,,,,,,45,33,,TRUE,,,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
73,elam1244,Elamite,elx,Elamite,Elamite,,,,,,,,,51,32,,TRUE,,,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
108,hurr1240,Hurrian,xhu,Hurrian,Hurro-Urartean,,,,,,,,,40,37,,TRUE,,,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
32,basq1248,Basque,eus,Basque,Basque,,,,,,,,,-3,43,,TRUE,,not hg,Eurasia,W and SW Eurasia,Europe,Eurasia
100,hitt1242,Hittite,hit,Hittite,Indo-European,,,Indo-Uralic,Anatolian,Anatolian,,,,33,39,,,,,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
301,tokh1241,Tocharian,xto,"Tocharian, Tokharian",Indo-European,,,Indo-Uralic,Tocharian,Tocharian,,,,83,41,,,,,Eurasia,N-C Asia,Inner Asia,Eurasia
79,stan1290,French (colloquial),fra,French (colloquial),Indo-European,,,Indo-Uralic,Italic-Celtic,Italic,,,,2,48,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
25,nucl1235,Armenian (Eastern),hye,Armenian (Eastern),Indo-European,,,Indo-Uralic,Greek-Armenian,Armenian,,,,45,40,Caucasus,,,not hg,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
74,stan1293,English,eng,English,Indo-European,,,Indo-Uralic,Germanic,West Germanic,,,,0,52,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
340,russ1263,Russian,rus,Russian,Indo-European,,,Indo-Uralic,Balto-Slavic,Slavic,East Slavic,,,38,56,,,,not hg,Eurasia,N-C Asia,Inner Asia,Eurasia
