dataset,dataset_kind,modules,variable,kind,variant_of,data,n_languages_covered
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForMSE,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForQuantificational,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForMA,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForTense,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForTA,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForPotentialis,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForApplicative,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForNumber,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForReflexiveAndReciprocal,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForVersion,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForIllocution,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForMTN,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForStatus,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForEvidential,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForConstruct,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForNominalizer,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForHonorificity,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForFocus,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForSwitchReference,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForSymmetricalVoice,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForRECIP,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForTE,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForReflexive,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForClassifier,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForME,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForRepetition,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForSpatial,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForMotion,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForModality,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForDirection,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForPosterior,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForControl,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForQuotative,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForReversative,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForAffect,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForAE,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForTAME,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForConditional,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForPossessor,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForTAE,computed,,logical,1
VerbInflectionCategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForTN,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerPosition,derived,VerbInflection,LID,manual entry,,integer,1
VerbInflectionMacrocategoriesAggregatedByMarkerPosition,derived,VerbInflection,Glottocode,manual entry,,string,1
VerbInflectionMacrocategoriesAggregatedByMarkerPosition,derived,VerbInflection,Language,manual entry,,string,1
VerbInflectionMacrocategoriesAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForTAMPlus,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForOperators,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForValence,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForInterClausal,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForOther,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForPragmatic,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForNumber,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForEvidential,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForNPRelated,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForClassification,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForEventSpecs,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForRole,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned4,derived,VerbInflection,LID,manual entry,,integer,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned4,derived,VerbInflection,Glottocode,manual entry,,string,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned4,derived,VerbInflection,Language,manual entry,,string,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForTAMPlus,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForOperators,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForValence,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForInterClausal,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForOther,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForPragmatic,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForNumber,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForEvidential,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForNPRelated,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForClassification,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForEventSpecs,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForRole,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned5,derived,VerbInflection,LID,manual entry,,integer,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned5,derived,VerbInflection,Glottocode,manual entry,,string,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned5,derived,VerbInflection,Language,manual entry,,string,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForTAMPlus,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForOperators,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForValence,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForInterClausal,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForOther,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForPragmatic,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForNumber,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForEvidential,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForNPRelated,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForClassification,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForEventSpecs,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForRole,computed,,value-list,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,LID,manual entry,,integer,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,Glottocode,manual entry,,string,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,Language,manual entry,,string,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForTAMPlus,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForOperators,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForValence,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForInterClausal,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForOther,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForPragmatic,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForNumber,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForEvidential,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForNPRelated,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForClassification,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForEventSpecs,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForRole,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,LID,manual entry,,integer,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,Glottocode,manual entry,,string,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,Language,manual entry,,string,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForTAMPlus,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForOperators,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForValence,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForInterClausal,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForOther,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForPragmatic,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForNumber,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForEvidential,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForNPRelated,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForClassification,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForEventSpecs,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForRole,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,LID,manual entry,,integer,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,Glottocode,manual entry,,string,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,Language,manual entry,,string,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForTAMPlus,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForOperators,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForValence,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForInterClausal,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForOther,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForPragmatic,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForNumber,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForEvidential,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForNPRelated,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForClassification,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForEventSpecs,computed,,logical,1
VerbInflectionMacrocategoriesAggregatedByMarkerHasMultipleExponents,derived,VerbInflection,MarkerHasMultipleExponentsForRole,computed,,logical,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,LID,manual entry,,integer,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,Glottocode,manual entry,,string,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,Language,manual entry,,string,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForADefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForUDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForSDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForBDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForPOSSDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForARGNom,computed,,value-list,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForOAdp,computed,,value-list,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForAFF,computed,,value-list,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForTDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForIDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForGDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForCore,computed,,value-list,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForPat,computed,,value-list,1
VerbAgreementAggregatedByMarkerPosition,derived,VerbInflection,MarkerPositionForUBDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,LID,manual entry,,integer,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,Glottocode,manual entry,,string,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,Language,manual entry,,string,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForADefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForUDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForSDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForBDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForPOSSDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForARGNom,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForOAdp,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForAFF,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForTDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForIDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForGDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForCore,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForPat,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned4,derived,VerbInflection,MarkerPositionBinned4ForUBDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,LID,manual entry,,integer,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,Glottocode,manual entry,,string,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,Language,manual entry,,string,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForADefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForUDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForSDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForBDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForPOSSDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForARGNom,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForOAdp,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForAFF,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForTDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForIDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForGDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForCore,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForPat,computed,,value-list,1
VerbAgreementAggregatedByMarkerPositionBinned5,derived,VerbInflection,MarkerPositionBinned5ForUBDefault,computed,,value-list,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,LID,manual entry,,integer,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,Glottocode,manual entry,,string,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,Language,manual entry,,string,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForADefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForUDefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForSDefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForBDefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForPOSSDefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForARGNom,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForOAdp,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForAFF,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForTDefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForIDefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForGDefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForCore,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForPat,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPreposedExponent,derived,VerbInflection,MarkerHasPreposedExponentForUBDefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,LID,manual entry,,integer,1
VerbAgreementAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,Glottocode,manual entry,,string,1
VerbAgreementAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,Language,manual entry,,string,1
VerbAgreementAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForADefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForUDefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForSDefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForBDefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForPOSSDefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForARGNom,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForOAdp,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForAFF,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForTDefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForIDefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForGDefault,computed,,logical,1
VerbAgreementAggregatedByMarkerHasPostposedExponent,derived,VerbInflection,MarkerHasPostposedExponentForCore,computed,,logical,1
